date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2015-11-06,0.35612,10.899999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.35612,NA,NA,NA,NA
2015-11-07,0.34191,13.17,0.01,2015,1,0.01,0,NA,NA,NA,0.34191,NA,NA,NA,NA
2015-11-08,0.34052,11.35,0.01,2015,1,0.01,0,NA,NA,NA,0.34052,NA,NA,NA,NA
2015-11-09,0.33992,5.5649999999999995,0.01,2015,1,0.01,0,NA,NA,NA,0.33992,NA,NA,NA,NA
2015-11-10,0.34173,4.699999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.34173,NA,NA,NA,NA
2015-11-11,0.34129,5.035,0.01,2015,1,0.01,0,NA,NA,NA,0.34129,NA,NA,NA,NA
2015-11-12,0.3432,4.54,0.01,2015,1,0.01,0,NA,NA,NA,0.3432,NA,NA,NA,NA
2015-11-13,0.34059,7.725,0.01,2015,1,0.01,0,NA,NA,NA,0.34059,NA,NA,NA,NA
2015-11-14,0.33903,8.135,0.01,2015,1,0.01,0,NA,NA,NA,0.33903,NA,NA,NA,NA
2015-11-15,0.34059,3.49,0.01,2015,1,0.01,0,NA,NA,NA,0.34059,NA,NA,NA,NA
2015-11-16,0.33958,3.035,0.01,2015,1,0.01,0,NA,NA,NA,0.33958,NA,NA,NA,NA
2015-11-17,0.32533,4.994999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.32533,NA,NA,NA,NA
2015-11-18,0.32469,0.8049999999999997,0.01,2015,1,0.01,0,NA,NA,NA,0.32469,NA,NA,NA,NA
2015-11-19,0.34214,0.8200000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.34214,NA,NA,NA,NA
2015-11-20,0.33753,3.5000000000000004,0.01,2015,1,0.01,0,NA,NA,NA,0.33753,NA,NA,NA,NA
2015-11-21,0.33675,7.765000000000001,0.01,2015,1,0.01,0,NA,NA,NA,0.33675,NA,NA,NA,NA
2015-11-22,0.3342,2.13,0.01,2015,1,0.01,0,NA,NA,NA,0.3342,NA,NA,NA,NA
2015-11-23,0.3343,2.955,0.01,2015,1,0.01,0,NA,NA,NA,0.3343,NA,NA,NA,NA
2015-11-24,0.33316,-0.1299999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.33316,NA,NA,NA,NA
2015-11-25,0.33279,-2.63,0.01,2015,1,0.01,0,NA,NA,NA,0.33279,NA,NA,NA,NA
2015-11-26,0.33414,-0.915,0.01,2015,1,0.01,0,NA,NA,NA,0.33414,NA,NA,NA,NA
2015-11-27,0.33205,1.9100000000000001,0.01,2015,1,0.01,0,NA,NA,NA,0.33205,NA,NA,NA,NA
2015-11-28,0.33269,7.055000000000001,0.01,2015,1,0.01,0,NA,NA,NA,0.33269,NA,NA,NA,NA
2015-11-29,0.32833,7.824999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.32833,NA,NA,NA,NA
2015-11-30,0.3315,-0.7350000000000001,0.01,2015,1,0.01,0,NA,NA,NA,0.3315,NA,NA,NA,NA
2015-12-01,0.33169,-2.985,0.01,2015,1,0.01,0,NA,NA,NA,0.33169,NA,NA,NA,NA
2015-12-02,0.3308,-1.5850000000000002,0.01,2015,1,0.01,0,NA,NA,NA,0.3308,NA,NA,NA,NA
2015-12-03,0.32711,1.06,0.01,2015,1,0.01,0,NA,NA,NA,0.32711,NA,NA,NA,NA
2015-12-04,0.33227,3.455,0.01,2015,1,0.01,0,NA,NA,NA,0.33227,NA,NA,NA,NA
2015-12-05,0.33002,1.03,0.01,2015,1,0.01,0,NA,NA,NA,0.33002,NA,NA,NA,NA
2015-12-06,0.32966,2.3750000000000004,0.01,2015,1,0.01,0,NA,NA,NA,0.32966,NA,NA,NA,NA
2015-12-07,0.32925,2.12,0.01,2015,1,0.01,0,NA,NA,NA,0.32925,NA,NA,NA,NA
2015-12-08,0.33083,2.7350000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.33083,NA,NA,NA,NA
2015-12-09,0.33069,-0.33499999999999996,0.01,2015,1,0.01,0,NA,NA,NA,0.33069,NA,NA,NA,NA
2015-12-10,0.32894,3.19,0.01,2015,1,0.01,0,NA,NA,NA,0.32894,NA,NA,NA,NA
2015-12-11,0.32856,5.7,0.01,2015,1,0.01,0,NA,NA,NA,0.32856,NA,NA,NA,NA
2015-12-12,0.32843,6.595,0.01,2015,1,0.01,0,NA,NA,NA,0.32843,NA,NA,NA,NA
2015-12-13,0.32964,6.825,0.01,2015,1,0.01,0,NA,NA,NA,0.32964,NA,NA,NA,NA
2015-12-14,0.31327,6.694999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.31327,NA,NA,NA,NA
2015-12-15,0.32776,8.83,0.01,2015,1,0.01,0,NA,NA,NA,0.32776,NA,NA,NA,NA
2015-12-16,0.32905,8.215,0.01,2015,1,0.01,0,NA,NA,NA,0.32905,NA,NA,NA,NA
2015-12-17,0.31775,3.255,0.01,2015,1,0.01,0,NA,NA,NA,0.31775,NA,NA,NA,NA
2015-12-18,0.32588,3.705,0.01,2015,1,0.01,0,NA,NA,NA,0.32588,NA,NA,NA,NA
2015-12-19,0.3267,4.235,0.01,2015,1,0.01,0,NA,NA,NA,0.3267,NA,NA,NA,NA
2015-12-20,0.32759,-0.75,0.01,2015,1,0.01,0,NA,NA,NA,0.32759,NA,NA,NA,NA
2015-12-21,0.32792,-0.22999999999999998,0.01,2015,1,0.01,0,NA,NA,NA,0.32792,NA,NA,NA,NA
2015-12-22,0.32661,1.065,0.01,2015,1,0.01,0,NA,NA,NA,0.32661,NA,NA,NA,NA
2015-12-23,0.32451,5.26,0.01,2015,1,0.01,0,NA,NA,NA,0.32451,NA,NA,NA,NA
2015-12-24,0.31856,7.234999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.31856,NA,NA,NA,NA
2015-12-25,0.32738,10.200000000000001,0.01,2015,1,0.01,0,NA,NA,NA,0.32738,NA,NA,NA,NA
2015-12-26,0.32613,9.165000000000001,0.01,2015,1,0.01,0,NA,NA,NA,0.32613,NA,NA,NA,NA
2015-12-27,0.31146,5.18,0.01,2015,1,0.01,0,NA,NA,NA,0.31146,NA,NA,NA,NA
2015-12-28,0.32393,5.485,0.01,2015,1,0.01,0,NA,NA,NA,0.32393,NA,NA,NA,NA
2015-12-29,0.31939,-1.6,0.01,2015,1,0.01,0,NA,NA,NA,0.31939,NA,NA,NA,NA
2015-12-30,0.31924,-4.34,0.01,2015,1,0.01,0,NA,NA,NA,0.31924,NA,NA,NA,NA
2015-12-31,0.32176,-2.3,0.01,2015,1,0.01,0,NA,NA,NA,0.32176,NA,NA,NA,NA
2016-01-01,0.32194,-1.0400000000000003,0.01,2016,1,0.01,0,NA,NA,NA,0.32194,NA,NA,NA,NA
2016-01-02,0.31801,-0.13,0.01,2016,1,0.01,0,NA,NA,NA,0.31801,NA,NA,NA,NA
2016-01-03,0.31788,-1.475,0.01,2016,1,0.01,0,NA,NA,NA,0.31788,NA,NA,NA,NA
2016-01-04,0.31909,-0.7249999999999999,0.01,2016,1,0.01,0,NA,NA,NA,0.31909,NA,NA,NA,NA
2016-01-05,0.31839,-4.695,0.01,2016,1,0.01,0,NA,NA,NA,0.31839,NA,NA,NA,NA
2016-01-06,0.31834,-11.295,0.01,2016,1,0.01,0,NA,NA,NA,0.31834,NA,NA,NA,NA
2016-01-07,0.3189,-7.630000000000001,0.01,2016,1,0.01,0,NA,NA,NA,0.3189,NA,NA,NA,NA
2016-01-08,0.32054,-4.725,0.01,2016,1,0.01,0,NA,NA,NA,0.32054,NA,NA,NA,NA
2016-01-09,0.31854,-4.64,0.01,2016,1,0.01,0,NA,NA,NA,0.31854,NA,NA,NA,NA
2016-01-10,0.31952,-0.8050000000000002,0.01,2016,1,0.01,0,NA,NA,NA,0.31952,NA,NA,NA,NA
2016-01-11,0.32392,6.25,0.01,2016,1,0.01,0,NA,NA,NA,0.32392,NA,NA,NA,NA
2016-01-12,0.32456,-2.7350000000000003,0.01,2016,1,0.01,0,NA,NA,NA,0.32456,NA,NA,NA,NA
2016-01-13,0.31295,-5.695,0.01,2016,1,0.01,0,NA,NA,NA,0.31295,NA,NA,NA,NA
2016-01-14,0.31725,-7.199999999999999,0.01,2016,1,0.01,0,NA,NA,NA,0.31725,NA,NA,NA,NA
2016-01-15,0.32101,-7.879999999999999,0.01,2016,1,0.01,0,NA,NA,NA,0.32101,NA,NA,NA,NA
2016-01-16,0.31244,-4.005000000000001,0.01,2016,1,0.01,0,NA,NA,NA,0.31244,NA,NA,NA,NA
2016-01-17,0.32039,-2.56,0.01,2016,1,0.01,0,NA,NA,NA,0.32039,NA,NA,NA,NA
2016-01-18,0.31078,-2.505,0.01,2016,1,0.01,0,NA,NA,NA,0.31078,NA,NA,NA,NA
2016-01-19,0.31791,-6.765000000000001,0.01,2016,1,0.01,0,NA,NA,NA,0.31791,NA,NA,NA,NA
2016-01-20,0.31617,-9.600000000000001,0.01,2016,1,0.01,0,NA,NA,NA,0.31617,NA,NA,NA,NA
2016-01-21,0.3163,-8.325,0.01,2016,1,0.01,0,NA,NA,NA,0.3163,NA,NA,NA,NA
2016-01-22,0.31667,-8.035,0.01,2016,1,0.01,0,NA,NA,NA,0.31667,NA,NA,NA,NA
2016-01-23,0.31999,-8.165,0.01,2016,1,0.01,0,NA,NA,NA,0.31999,NA,NA,NA,NA
2016-01-24,0.31667,-8.99,0.01,2016,1,0.01,0,NA,NA,NA,0.31667,NA,NA,NA,NA
2016-01-25,0.31789,-5.97,0.01,2016,1,0.01,0,NA,NA,NA,0.31789,NA,NA,NA,NA
2016-01-26,0.32255,-4.87,0.01,2016,1,0.01,0,NA,NA,NA,0.32255,NA,NA,NA,NA
2016-01-27,0.32257,-2.84,0.01,2016,1,0.01,0,NA,NA,NA,0.32257,NA,NA,NA,NA
2016-01-28,0.32199,0.07999999999999985,0.01,2016,1,0.01,0,NA,NA,NA,0.32199,NA,NA,NA,NA
2016-01-29,0.3225,-3.1100000000000003,0.01,2016,1,0.01,0,NA,NA,NA,0.3225,NA,NA,NA,NA
2016-01-30,0.31952,-3.085,0.01,2016,1,0.01,0,NA,NA,NA,0.31952,NA,NA,NA,NA
2016-01-31,0.32253,-2.285,0.01,2016,1,0.01,0,NA,NA,NA,0.32253,NA,NA,NA,NA
2016-02-01,0.3215,1.0899999999999999,0.01,2016,1,0.01,0,NA,NA,NA,0.3215,NA,NA,NA,NA
2016-02-02,0.32269,5.635,0.01,2016,1,0.01,0,NA,NA,NA,0.32269,NA,NA,NA,NA
2016-02-03,0.3242,1.1099999999999999,0.01,2016,1,0.01,0,NA,NA,NA,0.3242,NA,NA,NA,NA
2016-02-04,0.32293,3.8299999999999996,0.01,2016,1,0.01,0,NA,NA,NA,0.32293,NA,NA,NA,NA
2016-02-05,0.31613,4.41,0.01,2016,1,0.01,0,NA,NA,NA,0.31613,NA,NA,NA,NA
2016-02-06,0.31444,-1.33,0.01,2016,1,0.01,0,NA,NA,NA,0.31444,NA,NA,NA,NA
2016-02-07,0.31514,-5.335,0.01,2016,1,0.01,0,NA,NA,NA,0.31514,NA,NA,NA,NA
2016-02-08,0.31741,-3.435,0.01,2016,1,0.01,0,NA,NA,NA,0.31741,NA,NA,NA,NA
2016-02-09,0.31118,-6.915,0.01,2016,1,0.01,0,NA,NA,NA,0.31118,NA,NA,NA,NA
2016-02-10,0.31295,-6.14,0.01,2016,1,0.01,0,NA,NA,NA,0.31295,NA,NA,NA,NA
2016-02-11,0.31701,-5.7250000000000005,0.01,2016,1,0.01,0,NA,NA,NA,0.31701,NA,NA,NA,NA
2016-02-12,0.31447,-8.055,0.01,2016,1,0.01,0,NA,NA,NA,0.31447,NA,NA,NA,NA
