site,date,value
1,2016-11-04,-0.031921795808147274
1,2016-11-05,-0.04731125357985585
1,2016-11-06,-0.06218643219292662
1,2016-11-07,-0.07657193775678109
1,2016-11-08,-0.09043466244756175
1,2016-11-09,-0.10373789322428816
1,2016-11-10,-0.11670744662230165
1,2016-11-11,-0.1291814972171861
1,2016-11-12,-0.14125274716712116
1,2016-11-13,-0.15293447078475728
1,2016-11-14,-0.16405429972801555
1,2016-11-15,-0.17468811290320024
1,2016-11-16,-0.18470724934755375
1,2016-11-17,-0.1944239681961547
1,2016-11-18,-0.203975000167306
1,2016-11-19,-0.21340958038808863
1,2016-11-20,-0.22263981373969055
1,2016-11-21,-0.23156537888959636
1,2016-11-22,-0.24026308691669393
1,2016-11-23,-0.24863022698627193
1,2016-11-24,-0.2566764704116096
1,2016-11-25,-0.2642951293572538
1,2016-11-26,-0.27157181722310825
1,2016-11-27,-0.27852387823664704
1,2016-11-28,-0.2853368850863834
1,2016-11-29,-0.2922078994659193
1,2016-11-30,-0.2990339539262175
1,2016-12-01,-0.30573010668175954
1,2016-12-02,-0.3124041597424691
1,2016-12-03,-0.3191516093289516
1,2016-12-04,-0.32599430495445986
1,2016-12-05,-0.33297143488065795
1,2016-12-06,-0.3399435863275856
1,2016-12-07,-0.34698199045940736
1,2016-12-08,-0.35386935186602037
1,2016-12-09,-0.36062198627355274
1,2016-12-10,-0.3670887954886866
1,2016-12-11,-0.37331483253764924
1,2016-12-12,-0.3792539133291046
1,2016-12-13,-0.3847298719076003
1,2016-12-14,-0.38982630706973787
1,2016-12-15,-0.3944856437210842
1,2016-12-16,-0.3987151314541319
1,2016-12-17,-0.40257205580643257
1,2016-12-18,-0.4061429497539331
1,2016-12-19,-0.4093558640432324
1,2016-12-20,-0.412239813020948
1,2016-12-21,-0.4149270645766414
1,2016-12-22,-0.4174218986676701
1,2016-12-23,-0.4195835457251453
1,2016-12-24,-0.42138103290453394
1,2016-12-25,-0.4227348995104799
1,2016-12-26,-0.4238757094650389
1,2016-12-27,-0.42493872454898723
1,2016-12-28,-0.4259012742445904
1,2016-12-29,-0.4266826232533309
1,2016-12-30,-0.4273607413908659
1,2016-12-31,-0.4274448436620184
1,2017-01-01,-0.4279641022914826
1,2017-01-02,-0.428365099977198
1,2017-01-03,-0.42863969224097115
1,2017-01-04,-0.4286724434840798
1,2017-01-05,-0.4284069558764111
1,2017-01-06,-0.42808293799517133
1,2017-01-07,-0.42762244119691284
1,2017-01-08,-0.42709937319452257
1,2017-01-09,-0.4266314177239996
1,2017-01-10,-0.4260875078115868
1,2017-01-11,-0.4256637502821888
1,2017-01-12,-0.4255308736229087
1,2017-01-13,-0.42572600265809163
1,2017-01-14,-0.4261702721717376
1,2017-01-15,-0.4269846230282889
1,2017-01-16,-0.42809554777691067
1,2017-01-17,-0.42955259536926815
1,2017-01-18,-0.4311013464001442
1,2017-01-19,-0.43272193553117616
1,2017-01-20,-0.43436099662557115
1,2017-01-21,-0.4359163622695122
1,2017-01-22,-0.43733835009689753
1,2017-01-23,-0.43860066943433135
1,2017-01-24,-0.43972172756097516
1,2017-01-25,-0.4407792152174754
1,2017-01-26,-0.44191015975705084
1,2017-01-27,-0.4430998334235822
1,2017-01-28,-0.4443649001003151
1,2017-01-29,-0.4455751537645133
1,2017-01-30,-0.4467104987545188
1,2017-01-31,-0.4477492449399511
1,2017-02-01,-0.44861888116096105
1,2017-02-02,-0.4491821488327062
1,2017-02-03,-0.44944897392907035
1,2017-02-04,-0.4494196234600848
1,2017-02-05,-0.44910752725179587
1,2017-02-06,-0.448523053608003
1,2017-02-07,-0.4476526843513904
1,2017-02-08,-0.4464822767493964
1,2017-02-09,-0.44499522816101833
1,2017-02-10,-0.4431967744348074
1,2017-02-11,-0.44112547791592477
1,2017-02-12,-0.4388306940200668
1,2017-02-13,-0.4363887637731859
1,2017-02-14,-0.433766743430339
1,2017-02-15,-0.43107075567240644
1,2017-02-16,-0.4283785482153603
1,2017-02-17,-0.42564957561305516
1,2017-02-18,-0.4229281174462785
1,2017-02-19,-0.42028823101293933
1,2017-02-20,-0.41770608966562395
1,2017-02-21,-0.41530222244700365
1,2017-02-22,-0.4131203429069398
1,2017-02-23,-0.41124999711753785
1,2017-02-24,-0.4097440147291855
1,2017-02-25,-0.40865823670745544
1,2017-02-26,-0.40793032417398256
1,2017-02-27,-0.4075216001158153
1,2017-02-28,-0.4075696037771314
1,2017-03-01,-0.4080275912123203
1,2017-03-02,-0.4088829368927165
1,2017-03-03,-0.41005556898847456
1,2017-03-04,-0.4115668806218029
1,2017-03-05,-0.4133074205811918
1,2017-03-06,-0.4152965108576796
1,2017-03-07,-0.41743974458491834
1,2017-03-08,-0.4196439288121816
1,2017-03-09,-0.4218278077441569
1,2017-03-10,-0.42402439484174587
1,2017-03-11,-0.42629307830243734
1,2017-03-12,-0.42861287009280324
1,2017-03-13,-0.43093770993956765
1,2017-03-14,-0.4331172163610912
1,2017-03-15,-0.43511884922751437
1,2017-03-16,-0.4368502001877274
1,2017-03-17,-0.4382939058304259
1,2017-03-18,-0.43941377154668204
1,2017-03-19,-0.44020115098537554
1,2017-03-20,-0.44068018346027127
1,2017-03-21,-0.44083779954566604
1,2017-03-22,-0.44069583236493853
1,2017-03-23,-0.44026633412866434
1,2017-03-24,-0.43955852908506604
1,2017-03-25,-0.438437948352163
1,2017-03-26,-0.43693264586806546
1,2017-03-27,-0.4350248852526385
1,2017-03-28,-0.43274969001757807
1,2017-03-29,-0.4301144591567688
1,2017-03-30,-0.4270679799095649
1,2017-03-31,-0.42352873225671234
1,2017-04-01,-0.4194236856906601
1,2017-04-02,-0.4146561179923636
1,2017-04-03,-0.409093412349998
1,2017-04-04,-0.40281588387853007
1,2017-04-05,-0.3958565519796843
1,2017-04-06,-0.3881399110046122
1,2017-04-07,-0.37962020321262874
1,2017-04-08,-0.3703515487691472
1,2017-04-09,-0.36025038645649476
1,2017-04-10,-0.3491936830425806
1,2017-04-11,-0.33708870571407273
1,2017-04-12,-0.3238059157550664
1,2017-04-13,-0.30935489584134696
1,2017-04-14,-0.29372156273969746
1,2017-04-15,-0.27695076034791427
