V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
54.450667236467915,-5462.174770016141,-9208.659264379665,-15206.918134719499,6240.999946975319,24139.74661134405,8230.607763436501,13259.170805864227,1993.976201918175,-15001.894017046314,13227.498339656835,-8976.533219457433,7183.573590908835,-601.5740744599559,-354.32791637905774,-6468.978803178352,5468.096764708137,10977.211486777413,-707.5506326763077,-3639.1876391851583,16145.973410159655,19375.38897337483,24438.81521382678,8950.714138996535,12362.18959011638,15734.744696865846,1037.3389085866434,-8760.993394617704,-31180.965628299426,8290.476965816568
-5462.174770016141,550959.3944370023,928837.3029218782,1533715.6032744762,-629490.8481050468,-2434786.986568099,-830189.0983872613,-1337395.304639784,-201075.7290877783,1513101.275557366,-1334165.0565877485,905439.2623764095,-724594.8776465334,60639.96108973715,35750.438493549926,652484.7595638101,-551500.7108403894,-1107158.669386788,71398.78768992487,367001.8044409676,-1628506.236111291,-1954317.5055198797,-2464968.341273753,-902770.0425754917,-1246868.3178181853,-1587088.5106979564,-104629.73609351463,883687.0046112698,3144922.0984362373,-836153.8212775134
-9208.659264379665,928837.3029218782,1565884.6065253995,2585622.509527789,-1061230.1047819036,-4104697.3866329603,-1399578.050292766,-2254653.96934293,-338984.79835922783,2550869.2545470186,-2249208.511872583,1526438.7982807802,-1221561.4372222428,102230.44634005406,60269.95509122843,1099994.5089943537,-929750.3160050614,-1866508.9919772781,120367.73352995128,618712.180144279,-2745425.178329727,-3294695.038540204,-4155578.6414755275,-1521939.370521479,-2102039.0388093228,-2675600.45815032,-176390.53308605557,1489767.7400490807,5301882.536283216,-1409634.2766322691
-15206.918134719499,1533715.6032744762,2585622.509527789,4269442.220891117,-1752326.6234194555,-6777768.92484543,-2311013.3654115414,-3722933.3318719654,-559741.2324189238,4212053.879598182,-3713943.317164562,2520488.030751091,-2017067.7777036761,168806.88671316297,99518.54133805766,1816335.309111083,-1535225.773882145,-3082022.981233365,198752.36339514403,1021634.0253637871,-4533308.521107024,-5440271.374903784,-6861784.427505352,-2513061.4730083253,-3470934.68720826,-4418009.617254337,-291259.9543057085,2459936.5287112696,8754590.70079986,-2327621.834103672
6240.999946975319,-629490.8481050468,-1061230.1047819036,-1752326.6234194555,719216.0919278049,2781832.6642669877,948520.942234659,1528022.3414187958,229736.69842355174,-1728773.4245941779,1524331.9867478968,-1034496.8634913763,827875.6020095245,-69283.685812833,-40846.06411386701,-745487.4781893144,630109.8264988409,1264969.2777657318,-81575.40828010022,-419313.39718266,1860627.6921589386,2232878.15177088,2816315.8080662484,1031447.7657298555,1424592.4704281455,1813305.9005309392,119543.26306784157,-1009644.2297002082,-3593188.3690491877,955336.5191163631
24139.74661134405,-2434786.986568099,-4104697.3866329603,-6777768.92484543,2781832.6642669877,10759761.115452684,3668753.2360761263,5910187.871464545,888591.716444451,-6686667.429804342,5895914.530357531,-4001296.557713307,3202112.856862896,-267980.6099338572,-157987.01608290002,-2883446.9257254857,2437181.8444499434,4892734.345694286,-315522.4618117631,-1621849.5157812976,7196662.170222326,8636476.660252698,10893137.139941745,3989503.887386714,5510135.526814731,7013626.967423298,462377.5215341832,-3905170.01290007,-13897978.50960838,3695115.948809268
8230.607763436501,-830189.0983872613,-1399578.050292766,-2311013.3654115414,948520.942234659,3668753.2360761263,1250934.2774957549,2015195.8800512694,302982.47572259116,-2279951.1970681003,2010328.7219248028,-1364321.647111964,1091824.1392555598,-91372.90083827371,-53868.92803465497,-983168.3257626615,831005.0745353696,1668274.2030656526,-107583.97887111329,-553001.0693377074,2453844.098833978,2944778.2128698146,3714230.607035212,1360300.0127989205,1878789.5300337607,2391435.261223685,157656.77301213477,-1331545.269645894,-4738789.8745789,1259922.3784567674
13259.170805864227,-1337395.304639784,-2254653.96934293,-3722933.3318719654,1528022.3414187958,5910187.871464545,2015195.8800512694,3246385.158323315,488090.5034569755,-3672893.5373087237,3238544.4498259444,-2197857.5395386773,1758876.9456006084,-147197.47169551105,-86780.28617388406,-1583837.635451668,1338709.8916306589,2687510.8487748993,-173312.64628792228,-890858.6401326254,3953026.752604996,4743898.239460115,5983449.74649337,2191378.9761886597,3026641.0533769,3852488.9759289487,253977.60561519235,-2145056.3593485756,-7633966.359103348,2029675.4078271333
1993.976201918175,-201075.7290877783,-338984.79835922783,-559741.2324189238,229736.69842355174,888591.716444451,302982.47572259116,488090.5034569755,73384.63943588924,-552216.7677524546,486912.2248372028,-330445.2729449777,264444.9560891281,-22131.58657474464,-13047.147825670132,-238128.4896345137,201274.2628048687,404065.3900444147,-26056.875612869193,-133940.70169744865,594334.3899486737,713239.895858831,899606.3121499417,329472.25523656246,455053.0459672621,579217.677125417,38185.29209796691,-322506.85772622423,-1147761.2546481984,305160.62833168585
-15001.894017046314,1513101.275557366,2550869.2545470186,4212053.879598182,-1728773.4245941779,-6686667.429804342,-2279951.1970681003,-3672893.5373087237,-552216.7677524546,4155438.265244464,-3664023.611976013,2486610.5700251423,-1989956.8460227496,166537.1599694654,98181.14534474708,1791921.7438333095,-1514589.974552994,-3040596.269382463,196081.5945615563,1007900.8739459587,-4472375.075285013,-5367149.0279642,-6769554.010181016,-2479282.472930813,-3424280.8991942448,-4358627.178617741,-287345.09604293824,2426872.694094585,8636917.102010215,-2296334.8811375187
13227.498339656835,-1334165.0565877485,-2249208.511872583,-3713943.317164562,1524331.9867478968,5895914.530357531,2010328.7219248028,3238544.4498259444,486912.2248372028,-3664023.611976013,3230723.098278511,-2192549.0795065714,1754628.673685405,-146842.41082183202,-86570.56035367423,-1580012.4929021657,1335477.129645918,2681020.716049807,-172893.69256775742,-888707.8241380005,3943480.169402686,4732440.670648263,5968999.275515687,2186086.926946616,3019331.6970151667,3843184.494510469,253364.21914484733,-2139875.563895249,-7615530.701361177,2024774.1497048095
-8976.533219457433,905439.2623764095,1526438.7982807802,2520488.030751091,-1034496.8634913763,-4001296.557713307,-1364321.647111964,-2197857.5395386773,-330445.2729449777,2486610.5700251423,-2192549.0795065714,1487986.7419743089,-1190789.489858309,99654.99467876533,58751.7601531399,1072284.7589081037,-906328.9969292085,-1819489.9060456036,117335.73687079914,603126.0203642977,-2676265.517329614,-3211699.23738556,-4050896.1507701697,-1483600.3303271004,-2049086.8377027619,-2608200.043493382,-171947.11002138816,1452239.396932361,5168323.30578815,-1374124.1784309095
7183.573590908835,-724594.8776465334,-1221561.4372222428,-2017067.7777036761,827875.6020095245,3202112.856862896,1091824.1392555598,1758876.9456006084,264444.9560891281,-1989956.8460227496,1754628.673685405,-1190789.489858309,952951.7938814957,-79750.70717525827,-47017.22495922511,-858116.0749634547,725306.7808272656,1456080.9717743674,-93900.20489239787,-482662.82705635915,2141731.8119230713,2570222.90694126,3241805.898357951,1187279.0419174011,1639820.2752524095,2087261.2639072372,137603.91156024902,-1162181.980336405,-4136047.8419547747,1099668.634488164
-601.5740744599559,60639.96108973715,102230.44634005406,168806.88671316297,-69283.685812833,-267980.6099338572,-91372.90083827371,-147197.47169551105,-22131.58657474464,166537.1599694654,-146842.41082183202,99654.99467876533,-79750.70717525827,6674.709447285705,3934.6438878135186,71814.48066775785,-60700.27890461123,-121857.85124095526,7857.940695987851,40394.13661006593,-179238.86723274097,-215097.6056647896,-271302.24495203467,-99362.06532782639,-137234.51597022163,-174679.51479402505,-11515.867305618995,97261.03493265843,346141.1578820676,-92030.36831700054
-354.32791637905774,35750.438493549926,60269.95509122843,99518.54133805766,-40846.06411386701,-157987.01608290002,-53868.92803465497,-86780.28617388406,-13047.147825670132,98181.14534474708,-86570.56035367423,58751.7601531399,-47017.22495922511,3934.6438878135186,2319.8018778991072,42338.074976198805,-35785.37046345868,-71840.56495319762,4632.9970176160805,23813.607866103783,-105669.50908726089,-126810.84047179547,-159945.4679612681,-58578.34027791797,-80906.02424591337,-102982.22208583172,-6789.161572748629,57340.26777730351,204065.64597199814,-54255.713400430745
-6468.978803178352,652484.7595638101,1099994.5089943537,1816335.309111083,-745487.4781893144,-2883446.9257254857,-983168.3257626615,-1583837.635451668,-238128.4896345137,1791921.7438333095,-1580012.4929021657,1072284.7589081037,-858116.0749634547,71814.48066775785,42338.074976198805,772718.5033824384,-653126.3707497643,-1311175.8505121858,84555.16759008181,434630.0189021165,-1928592.3534544054,-2314440.285831106,-2919189.6560451053,-1069124.3034517528,-1476629.7212643244,-1879541.9834611493,-123909.91510447867,1046524.3152776915,3724439.7038260577,-990232.8899003143
5468.096764708137,-551500.7108403894,-929750.3160050614,-1535225.773882145,630109.8264988409,2437181.8444499434,831005.0745353696,1338709.8916306589,201274.2628048687,-1514589.974552994,1335477.129645918,-906328.9969292085,725306.7808272656,-60700.27890461123,-35785.37046345868,-653126.3707497643,552043.6066911748,1108248.1719725004,-71468.38982255686,-367363.8035582047,1630108.2452967032,1956238.4162941177,2467392.572195271,903658.3508016408,1248094.9048971487,1588648.6830020188,104732.61845441851,-884555.5708552061,-3148016.521890467,836977.0416392997
10977.211486777413,-1107158.669386788,-1866508.9919772781,-3082022.981233365,1264969.2777657318,4892734.345694286,1668274.2030656526,2687510.8487748993,404065.3900444147,-3040596.269382463,2681020.716049807,-1819489.9060456036,1456080.9717743674,-121857.85124095526,-71840.56495319762,-1311175.8505121858,1108248.1719725004,2224849.7632472995,-143475.71163888657,-737496.3021866555,3272503.6224080217,3927222.7900546547,4953383.634452707,1814128.0485847227,2505597.468680798,3189272.3875122117,210254.68852439578,-1775778.8505926642,-6319761.3412586,1680262.651218782
