V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
876787.6489475018,280892.23274002934,1160225.461931168,-597666.993156025,795766.5307880364,310865.47299664747,1017825.3815089657,-727693.7569015776,-2199199.574858176,1682165.2081275648,-589175.5491769862,-73423.43278840839,-3474194.9273249195,-462944.53089389054,1478788.0097008084,-732710.6546968974,244238.5156309303,449687.14897499414,-279736.91176778707,393940.9353431071,-754382.1899591453,613595.5667138326,-460906.06738323666,-325305.56785602606,1393085.9537593774,-1671920.2804833902,2009774.1434260635,-1991971.1109010812,-359025.38849040464,-1048411.5534642795
280892.23274002934,89988.26550239335,371695.8503759305,-191472.04456986286,254935.70051810486,99590.45310061637,326075.46789987414,-233128.09309773805,-704546.4689491634,538906.7662981923,-188751.45562103335,-23522.148691978844,-1113010.6945256765,-148311.51244111772,473752.1579298867,-234734.87516722362,78245.69356128387,144064.2756269785,-89617.7113198813,126204.50415121291,-241677.61857480425,196574.30114186325,-147658.34544403467,-104216.3357702108,446296.1070062216,-535625.0335598908,643861.2886779498,-638157.81083755,-115019.65976038456,-335874.0884187968
1160225.461931168,371695.8503759305,1535289.8862485045,-790873.6725213426,1053012.842113978,411358.44140498945,1346856.3848799837,-962934.4176451663,-2910131.8696211535,2225956.4776735874,-779637.6586569166,-97159.08039371045,-4597292.860753031,-612599.9388062216,1956833.8077349085,-969573.0393824085,323193.1559049649,595056.856411668,-370167.11817876407,521289.72030249774,-998250.3561374958,811951.9517656534,-609902.6428033622,-430466.6389152722,1843426.8474560203,-2212399.530859876,2659470.948445588,-2635912.9440392507,-475086.9078522407,-1387330.1349096936
-597666.993156025,-191472.04456986286,-790873.6725213426,407404.2262865014,-542437.9251308738,-211903.1724416276,-693805.0291478778,496036.60068522015,1499094.1102417177,-1146655.3727167873,401614.378502375,50048.70628806528,2368202.191098235,315568.98214558675,-1008023.0920976156,499455.6009254755,-166486.81255934894,-306531.9634914048,190683.41165642664,-268530.71635883,514227.84240135807,-418259.239479948,314178.85980849585,221745.67307588737,-949603.9456496544,1139673.0949219393,-1369972.0846201908,1357836.070755342,244732.69046070444,714653.9055400308
795766.5307880364,254935.70051810486,1053012.842113978,-542437.9251308738,722232.5871930504,282139.38481472054,923771.9273210978,-660449.7023611568,-1995979.5329649558,1526722.4294799988,-534731.7895004704,-66638.9375665898,-3153156.4032777455,-420165.11699353554,1342138.2222654647,-665003.4525901882,221669.04437845273,408132.83745355025,-253887.68145169833,357538.7208819549,-684672.5097736148,556895.8182798959,-418315.2686192125,-295245.4306436314,1264355.6119919575,-1517423.631447887,1824057.9567083784,-1807900.213393759,-325848.4647953913,-951531.8979292618
310865.47299664747,99590.45310061637,411358.44140498945,-211903.1724416276,282139.38481472054,110217.51816161971,360870.44228771183,-258004.04998582692,-779727.1312087851,596412.3884948287,-208892.3665300971,-26032.25991652963,-1231777.3936115056,-164137.17028781524,524304.8887983724,-259782.86659950073,86594.85453645205,159436.76464846623,-99180.84356801958,139671.94459886142,-267466.50175313355,217550.515587753,-163414.3857793636,-115337.24938312292,493919.2457148401,-592780.0741642885,712566.3318795012,-706254.1830173202,-127292.61229843873,-371714.78155931644
1017825.3815089657,326075.46789987414,1346856.3848799837,-693805.0291478778,923771.9273210978,360870.44228771183,1181551.0026473808,-844748.2421670267,-2552958.6357207485,1952755.0967162442,-683948.8667405422,-85234.73761716185,-4033045.8433816503,-537412.186258904,1716662.3735553613,-850572.9631146214,283525.7485633458,522022.3138669533,-324735.3042950941,457310.3266073583,-875730.7442606358,712298.1014455102,-535046.2809502799,-377633.9114400974,1617174.4996593161,-1940861.1434121889,2333062.1048673,-2312395.6398949283,-416776.254868452,-1217057.494903577
-727693.7569015776,-233128.09309773805,-962934.4176451663,496036.60068522015,-660449.7023611568,-258004.04998582692,-844748.2421670267,603953.6645786985,1825235.0986158561,-1396120.155407812,488989.4767096338,60938.09563064013,2883422.9764982853,384223.289624592,-1227326.9851101302,608116.448422072,-202707.21071092176,-373220.1925171229,232168.54123220895,-326952.3252795372,626102.8217735724,-509256.1720072871,382531.4950909264,269988.3897989154,-1156197.767171225,1387617.7747438655,-1668020.48265147,1653245.1082853281,297975.3696298109,870133.1951572477
-2199199.574858176,-704546.4689491634,-2910131.8696211535,1499094.1102417177,-1995979.5329649558,-779727.1312087851,-2552958.6357207485,1825235.0986158561,5516137.897159693,-4219287.4426999735,1477798.0833935922,184165.28676223714,8714139.475337027,1161178.5058683436,-3709166.0087395567,1837819.8096209457,-612609.9621455059,-1127925.7955117594,701650.2708226081,-988102.8184925581,1892177.7976649492,-1539051.2355737519,1156066.4797215597,815947.4587642546,-3494203.8689650623,4193588.761384733,-5041010.874734608,4996357.294781029,900522.5316515286,2629676.822814583
1682165.2081275648,538906.7662981923,2225956.4776735874,-1146655.3727167873,1526722.4294799988,596412.3884948287,1952755.0967162442,-1396120.155407812,-4219287.4426999735,3227328.0476296814,-1130365.9929881028,-140867.7914521018,-6665435.173612678,-888184.0770122979,2837136.739638661,-1405746.2261283372,468584.63580494095,862749.1211544742,-536691.4788701519,755798.7080300405,-1447324.5810505175,1177218.473809479,-884273.8746157048,-624117.273253133,2672712.478561161,-3207671.1651941314,3855863.36817071,-3821707.861230851,-688808.632650839,-2011436.7497627926
