site,date,value
1,2016-10-28,-0.45438031919746946
1,2016-10-29,-0.45311399087950055
1,2016-10-30,-0.45267958588961327
1,2016-10-31,-0.4522250853137545
1,2016-11-01,-0.4511896792367434
1,2016-11-02,-0.45049113685426867
1,2016-11-03,-0.4502866376487533
1,2016-11-04,-0.45049784191838665
1,2016-11-05,-0.450597217899483
1,2016-11-06,-0.4508376603125091
1,2016-11-07,-0.4512065417002107
1,2016-11-08,-0.4514666172742193
1,2016-11-09,-0.45149851674224645
1,2016-11-10,-0.4514765021358372
1,2016-11-11,-0.4512914713224062
1,2016-11-12,-0.451142771631047
1,2016-11-13,-0.4507112968076575
1,2016-11-14,-0.44996050276214167
1,2016-11-15,-0.44912029474064097
1,2016-11-16,-0.44785001945040603
1,2016-11-17,-0.44627979742842216
1,2016-11-18,-0.44398484373765973
1,2016-11-19,-0.441144002358226
1,2016-11-20,-0.43800960506603126
1,2016-11-21,-0.4347446409767759
1,2016-11-22,-0.4312304224019601
1,2016-11-23,-0.42716681649997135
1,2016-11-24,-0.4225963049229123
1,2016-11-25,-0.4179393202808249
1,2016-11-26,-0.41268029581183163
1,2016-11-27,-0.4075245604726907
1,2016-11-28,-0.4023829081099213
1,2016-11-29,-0.3966869020961844
1,2016-11-30,-0.3911224542569381
1,2016-12-01,-0.3858816501125265
1,2016-12-02,-0.38072819620821385
1,2016-12-03,-0.3763906915922643
1,2016-12-04,-0.3725974779459593
1,2016-12-05,-0.3690896063703084
1,2016-12-06,-0.3656951814280292
1,2016-12-07,-0.3628754927852556
1,2016-12-08,-0.3611665962651888
1,2016-12-09,-0.35939163481625563
1,2016-12-10,-0.35791246082376726
1,2016-12-11,-0.35609690825202145
1,2016-12-12,-0.35463140910525864
1,2016-12-13,-0.35367135774205477
1,2016-12-14,-0.3531087003070658
1,2016-12-15,-0.35290477938767156
1,2016-12-16,-0.3534361316250315
1,2016-12-17,-0.35379754121508183
1,2016-12-18,-0.3539209463561937
1,2016-12-19,-0.3540674564018418
1,2016-12-20,-0.35504695704559885
1,2016-12-21,-0.35558662195188284
1,2016-12-22,-0.356376924577971
1,2016-12-23,-0.3573397470609729
1,2016-12-24,-0.35896927676540413
1,2016-12-25,-0.36050768965371005
1,2016-12-26,-0.361540249680086
1,2016-12-27,-0.36241710453118997
1,2016-12-28,-0.36267966233264964
1,2016-12-29,-0.36182683545804745
1,2016-12-30,-0.36014506039139577
1,2016-12-31,-0.35987993121518963
1,2017-01-01,-0.3570121393528707
1,2017-01-02,-0.3541546242315165
1,2017-01-03,-0.3512308941939447
1,2017-01-04,-0.348433075012941
1,2017-01-05,-0.3451388267368412
1,2017-01-06,-0.34180325898792924
1,2017-01-07,-0.3381116267214808
1,2017-01-08,-0.335112178983637
1,2017-01-09,-0.33235381736700426
1,2017-01-10,-0.3291650424186523
1,2017-01-11,-0.3257315090846616
1,2017-01-12,-0.32255066623754897
1,2017-01-13,-0.3195595812798591
1,2017-01-14,-0.316861131136411
1,2017-01-15,-0.31455883414199154
1,2017-01-16,-0.3126170201674202
1,2017-01-17,-0.31051196111077706
1,2017-01-18,-0.3085034689939261
1,2017-01-19,-0.30687229733693816
1,2017-01-20,-0.3057285274225121
1,2017-01-21,-0.3049590010852381
1,2017-01-22,-0.3045124770080361
1,2017-01-23,-0.3043574024983154
1,2017-01-24,-0.3045864891025765
1,2017-01-25,-0.3051561321362104
1,2017-01-26,-0.30614212806706165
1,2017-01-27,-0.30743049534223527
1,2017-01-28,-0.3088052799229625
1,2017-01-29,-0.31033671060130447
1,2017-01-30,-0.31199333886651587
1,2017-01-31,-0.31383724553295844
1,2017-02-01,-0.3158190483095017
1,2017-02-02,-0.31799814014616556
1,2017-02-03,-0.3200234094602566
1,2017-02-04,-0.32188360625146145
1,2017-02-05,-0.3235030802131029
1,2017-02-06,-0.324975597909994
1,2017-02-07,-0.32628621499646565
1,2017-02-08,-0.3275494920158295
1,2017-02-09,-0.32863820716273884
1,2017-02-10,-0.3294574796345379
1,2017-02-11,-0.32993025645351526
1,2017-02-12,-0.33016104435067806
1,2017-02-13,-0.3300699610465454
1,2017-02-14,-0.3297683530862489
1,2017-02-15,-0.3294019899933121
1,2017-02-16,-0.3287676862013194
1,2017-02-17,-0.3279823226977206
1,2017-02-18,-0.3270287140024788
1,2017-02-19,-0.3260233069974506
1,2017-02-20,-0.32476142989634166
1,2017-02-21,-0.32340997908426805
1,2017-02-22,-0.3219798511864972
1,2017-02-23,-0.32053288761123816
1,2017-02-24,-0.31910134110196287
1,2017-02-25,-0.31788448861102764
1,2017-02-26,-0.31682823423062906
1,2017-02-27,-0.3158683195399655
1,2017-02-28,-0.3149324840862653
1,2017-03-01,-0.31384130741584787
1,2017-03-02,-0.31262313018564714
1,2017-03-03,-0.31164614288230996
1,2017-03-04,-0.31091471688328387
1,2017-03-05,-0.31014930811885005
1,2017-03-06,-0.30944743558075616
1,2017-03-07,-0.3090021711550514
1,2017-03-08,-0.3087835965460257
1,2017-03-09,-0.3088821747430565
1,2017-03-10,-0.3092115248171728
1,2017-03-11,-0.3097343145338659
1,2017-03-12,-0.31027539661950315
1,2017-03-13,-0.31090447554051936
1,2017-03-14,-0.3116995055336503
1,2017-03-15,-0.3128207720297845
1,2017-03-16,-0.3143290697375568
1,2017-03-17,-0.31609269556753256
1,2017-03-18,-0.31791218110323366
1,2017-03-19,-0.31969895219369515
1,2017-03-20,-0.3217619810192736
1,2017-03-21,-0.32389800332415775
1,2017-03-22,-0.3259340446781242
1,2017-03-23,-0.3277356121656152
1,2017-03-24,-0.3294609911751209
1,2017-03-25,-0.3309982075907967
1,2017-03-26,-0.3323531288290781
1,2017-03-27,-0.3336131651259351
1,2017-03-28,-0.3346952822972725
1,2017-03-29,-0.3356005788217906
1,2017-03-30,-0.3362527654561616
1,2017-03-31,-0.33666986514652164
1,2017-04-01,-0.33677413237488896
1,2017-04-02,-0.3369313353101112
1,2017-04-03,-0.3367841583099408
1,2017-04-04,-0.3362788423725766
1,2017-04-05,-0.33557434498275895
1,2017-04-06,-0.33460265643204995
1,2017-04-07,-0.3332626965824778
