date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2015-10-30,0.31693,5.035,0.01,2015,1,0.01,0,NA,NA,NA,0.31693,NA,NA,NA,NA
2015-10-31,0.3071,7.54,0.01,2015,1,0.01,0,NA,NA,NA,0.3071,NA,NA,NA,NA
2015-11-01,0.31386,7.38,0.01,2015,1,0.01,0,NA,NA,NA,0.31386,NA,NA,NA,NA
2015-11-02,0.31888,8.87,0.01,2015,1,0.01,0,NA,NA,NA,0.31888,NA,NA,NA,NA
2015-11-03,0.31936,12.14,0.01,2015,1,0.01,0,NA,NA,NA,0.31936,NA,NA,NA,NA
2015-11-04,0.31506,13.545,0.01,2015,1,0.01,0,NA,NA,NA,0.31506,NA,NA,NA,NA
2015-11-05,0.3149,11.84,0.01,2015,1,0.01,0,NA,NA,NA,0.3149,NA,NA,NA,NA
2015-11-06,0.31738,14.344999999999999,0.01,2015,1,0.01,0,NA,NA,NA,0.31738,NA,NA,NA,NA
2015-11-07,0.31583,6.355,0.01,2015,1,0.01,0,NA,NA,NA,0.31583,NA,NA,NA,NA
2015-11-08,0.32205,5.085,0.01,2015,1,0.01,0,NA,NA,NA,0.32205,NA,NA,NA,NA
2015-11-09,0.32192,7.84,0.01,2015,1,0.01,0,NA,NA,NA,0.32192,NA,NA,NA,NA
2015-11-10,0.32091,10.15,0.01,2015,1,0.01,0,NA,NA,NA,0.32091,NA,NA,NA,NA
2015-11-11,0.31569,9.11,0.01,2015,1,0.01,0,NA,NA,NA,0.31569,NA,NA,NA,NA
2015-11-12,0.31337,7.165,0.01,2015,1,0.01,0,NA,NA,NA,0.31337,NA,NA,NA,NA
2015-11-13,0.31518,4.99,0.01,2015,1,0.01,0,NA,NA,NA,0.31518,NA,NA,NA,NA
2015-11-14,0.31502,3.4699999999999998,0.01,2015,1,0.01,0,NA,NA,NA,0.31502,NA,NA,NA,NA
