date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2012-05-16,0.31543,21.455000000000002,0.01,2012,1,0.01,0,NA,NA,NA,0.31543,NA,NA,NA,NA
2012-05-17,0.31703,22.01,0.01,2012,1,0.01,0,NA,NA,NA,0.31703,NA,NA,NA,NA
2012-05-18,0.3184,22.84,0.01,2012,1,0.01,0,NA,NA,NA,0.3184,NA,NA,NA,NA
2012-05-19,0.32678,25.174999999999997,0.01,2012,1,0.01,0,NA,NA,NA,0.32678,NA,NA,NA,NA
2012-05-20,0.3173,25.82,0.01,2012,1,0.01,0,NA,NA,NA,0.3173,NA,NA,NA,NA
2012-05-21,0.31784,21.105,0.01,2012,1,0.01,0,NA,NA,NA,0.31784,NA,NA,NA,NA
2012-05-22,NA,19.935,0.01,2012,1,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-23,NA,21.105,0.01,2012,1,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-24,0.32357,25.615,0.01,2012,1,0.01,0,NA,NA,NA,0.32357,NA,NA,NA,NA
2012-05-25,NA,27.589999999999996,0.01,2012,1,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-26,NA,27.045,0.01,2012,1,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-27,NA,28.25,0.01,2012,1,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-28,NA,26.795,0.01,2012,1,0.01,0,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-29,0.32242,27.72,0.01,2012,1,0.01,0,NA,NA,NA,0.32242,NA,NA,NA,NA
2012-05-30,0.32079,24.525,0.01,2012,1,0.01,0,NA,NA,NA,0.32079,NA,NA,NA,NA
2012-05-31,0.32039,23.835,0.01,2012,1,0.01,0,NA,NA,NA,0.32039,NA,NA,NA,NA
2012-06-01,0.32181,19.455,0.01,2012,1,0.01,0,NA,NA,NA,0.32181,NA,NA,NA,NA
2012-06-02,0.32284,12.81,0.01,2012,1,0.01,0,NA,NA,NA,0.32284,NA,NA,NA,NA
2012-06-03,0.32252,21.125,0.01,2012,1,0.01,0,NA,NA,NA,0.32252,NA,NA,NA,NA
2012-06-04,0.32077,24.375,0.01,2012,1,0.01,0,NA,NA,NA,0.32077,NA,NA,NA,NA
2012-06-05,0.3222,27.13,0.01,2012,1,0.01,0,NA,NA,NA,0.3222,NA,NA,NA,NA
2012-06-06,0.32243,26.15,0.01,2012,1,0.01,0,NA,NA,NA,0.32243,NA,NA,NA,NA
2012-06-07,0.32183,22.445,0.01,2012,1,0.01,0,NA,NA,NA,0.32183,NA,NA,NA,NA
2012-06-08,0.32344,22.04,0.01,2012,1,0.01,0,NA,NA,NA,0.32344,NA,NA,NA,NA
2012-06-09,0.32382,21.74,0.01,2012,1,0.01,0,NA,NA,NA,0.32382,NA,NA,NA,NA
2012-06-10,0.32382,23.990000000000002,0.01,2012,1,0.01,0,NA,NA,NA,0.32382,NA,NA,NA,NA
2012-06-11,0.32106,27.939999999999998,0.01,2012,1,0.01,0,NA,NA,NA,0.32106,NA,NA,NA,NA
2012-06-12,0.31993,27.845,0.01,2012,1,0.01,0,NA,NA,NA,0.31993,NA,NA,NA,NA
2012-06-13,0.32218,22.595,0.01,2012,1,0.01,0,NA,NA,NA,0.32218,NA,NA,NA,NA
2012-06-14,0.32072,24.66,0.01,2012,1,0.01,0,NA,NA,NA,0.32072,NA,NA,NA,NA
2012-06-15,0.31978,27.24,0.01,2012,1,0.01,0,NA,NA,NA,0.31978,NA,NA,NA,NA
2012-06-16,0.31864,24.83,0.01,2012,1,0.01,0,NA,NA,NA,0.31864,NA,NA,NA,NA
2012-06-17,0.31726,24.955,0.01,2012,1,0.01,0,NA,NA,NA,0.31726,NA,NA,NA,NA
2012-06-18,0.31695,27.445,0.01,2012,1,0.01,0,NA,NA,NA,0.31695,NA,NA,NA,NA
2012-06-19,0.31984,27.99,0.01,2012,1,0.01,0,NA,NA,NA,0.31984,NA,NA,NA,NA
