site,date,value
1,2016-07-25,-0.028198515019762754
1,2016-07-26,-0.031914676545826796
1,2016-07-27,-0.03591847862517324
1,2016-07-28,-0.0395909299025082
1,2016-07-29,-0.04255924556621942
1,2016-07-30,-0.0450022646308286
1,2016-07-31,-0.04702524789099121
1,2016-08-01,-0.04875778915286412
1,2016-08-02,-0.049958942918172225
1,2016-08-03,-0.05028201306343537
1,2016-08-04,-0.049707364600447966
1,2016-08-05,-0.04825959870514987
1,2016-08-06,-0.04604396218950337
1,2016-08-07,-0.043461348486487784
1,2016-08-08,-0.04074013416178573
1,2016-08-09,-0.03820578089329294
1,2016-08-10,-0.03605776863197323
1,2016-08-11,-0.03427757445903485
1,2016-08-12,-0.032540360574661364
1,2016-08-13,-0.03049153085145311
1,2016-08-14,-0.028282640930141652
1,2016-08-15,-0.02649818943045406
1,2016-08-16,-0.02620567248186004
1,2016-08-17,-0.02840100233144137
1,2016-08-18,-0.033411853565003855
1,2016-08-19,-0.040795550943439465
1,2016-08-20,-0.049313021265594045
1,2016-08-21,-0.05724516298719104
1,2016-08-22,-0.063177922055425
1,2016-08-23,-0.06665371420680855
1,2016-08-24,-0.06840325568421354
1,2016-08-25,-0.07019721186590282
1,2016-08-26,-0.07375705720579692
1,2016-08-27,-0.0798760486347429
1,2016-08-28,-0.0879378948150233
1,2016-08-29,-0.09663440315795026
1,2016-08-30,-0.10458813079849355
1,2016-08-31,-0.11098746483028424
1,2016-09-01,-0.1157484144668721
1,2016-09-02,-0.11917908784384351
1,2016-09-03,-0.12146433339691994
1,2016-09-04,-0.12279541910791544
1,2016-09-05,-0.12357912004075261
1,2016-09-06,-0.12449037140469607
1,2016-09-07,-0.1263388560413673
1,2016-09-08,-0.1296140014069458
1,2016-09-09,-0.13432623957950524
1,2016-09-10,-0.1401502012265741
1,2016-09-11,-0.14689298380010765
1,2016-09-12,-0.154495339369685
1,2016-09-13,-0.16309606990785816
1,2016-09-14,-0.17281704319961236
1,2016-09-15,-0.18396593783244417
1,2016-09-16,-0.19689376573229211
1,2016-09-17,-0.21175366991936312
1,2016-09-18,-0.22821432333896374
1,2016-09-19,-0.24529114957613768
1,2016-09-20,-0.2613768610137802
1,2016-09-21,-0.27491601139442784
1,2016-09-22,-0.28497763310184154
1,2016-09-23,-0.29175806202646504
1,2016-09-24,-0.2963909819562283
1,2016-09-25,-0.3002982314061627
1,2016-09-26,-0.3044112328047322
1,2016-09-27,-0.3089643242350293
1,2016-09-28,-0.31382190297426554
1,2016-09-29,-0.3191164708675074
1,2016-09-30,-0.3255300859049058
1,2016-10-01,-0.3337854498869518
1,2016-10-02,-0.34405430548938554
1,2016-10-03,-0.3557478351002905
1,2016-10-04,-0.36795962820291345
1,2016-10-05,-0.3799755554344356
1,2016-10-06,-0.3917244397756506
1,2016-10-07,-0.403414019831523
1,2016-10-08,-0.41510657984782584
1,2016-10-09,-0.4266232030424387
1,2016-10-10,-0.43773952376356334
1,2016-10-11,-0.44803279249321964
1,2016-10-12,-0.4568034458397497
1,2016-10-13,-0.4628982239715791
1,2016-10-14,-0.46525803166469415
1,2016-10-15,-0.46316836437517134
1,2016-10-16,-0.45657391709427514
1,2016-10-17,-0.44631170058688996
1,2016-10-18,-0.43343248151653135
1,2016-10-19,-0.41892852696404276
1,2016-10-20,-0.40342730998907694
1,2016-10-21,-0.3873133493574692
1,2016-10-22,-0.3709529481386932
1,2016-10-23,-0.35502512348839765
1,2016-10-24,-0.3403660465452347
1,2016-10-25,-0.3278781898194086
1,2016-10-26,-0.3177252395072913
1,2016-10-27,-0.30951206807506115
1,2016-10-28,-0.3022232480584153
1,2016-10-29,-0.29483889337076524
1,2016-10-30,-0.287108956564386
1,2016-10-31,-0.27983264597386315
1,2016-11-01,-0.2743148526486531
1,2016-11-02,-0.2714696934823058
1,2016-11-03,-0.2707202617006696
1,2016-11-04,-0.2706225929494661
1,2016-11-05,-0.26985948428638484
1,2016-11-06,-0.2680554733345466
1,2016-11-07,-0.26550495268476804
1,2016-11-08,-0.2626712538689343
1,2016-11-09,-0.2594872537302729
1,2016-11-10,-0.2558798408664981
1,2016-11-11,-0.2523399813130531
1,2016-11-12,-0.2500396472939244
1,2016-11-13,-0.2497727757399081
1,2016-11-14,-0.2513916336312209
1,2016-11-15,-0.2542279321499751
1,2016-11-16,-0.2578746981583347
1,2016-11-17,-0.26325614193265584
1,2016-11-18,-0.2723303903467246
1,2016-11-19,-0.2865059661057576
1,2016-11-20,-0.3050935266296459
1,2016-11-21,-0.3253395748434963
1,2016-11-22,-0.34392169544260326
1,2016-11-23,-0.35894052927959846
1,2016-11-24,-0.37017230777211596
1,2016-11-25,-0.37869007340978855
1,2016-11-26,-0.3855723381062592
1,2016-11-27,-0.3912239076854186
1,2016-11-28,-0.3954174280577203
1,2016-11-29,-0.3977060637078377
1,2016-11-30,-0.3978954976842516
1,2016-12-01,-0.3962527498639637
1,2016-12-02,-0.39335135745699495
1,2016-12-03,-0.38987639865609447
1,2016-12-04,-0.38647576892444474
1,2016-12-05,-0.38351755526041853
