date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2015-07-27,0.34916,22.01,0.01,2015,1,0.01,0,NA,NA,NA,0.34916,NA,NA,NA,NA
2015-07-28,0.34743,22.32,0.01,2015,1,0.01,0,NA,NA,NA,0.34743,NA,NA,NA,NA
2015-07-29,0.34588,23.77,0.01,2015,1,0.01,0,NA,NA,NA,0.34588,NA,NA,NA,NA
2015-07-30,0.35542,25.535,0.01,2015,1,0.01,0,NA,NA,NA,0.35542,NA,NA,NA,NA
2015-07-31,0.35434,27.005000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.35434,NA,NA,NA,NA
2015-08-01,0.34816,26.494999999999997,0.01,2015,1,0.01,0,NA,NA,NA,0.34816,NA,NA,NA,NA
2015-08-02,0.34034,24.450000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.34034,NA,NA,NA,NA
2015-08-03,0.34251,25.060000000000002,0.01,2015,1,0.01,0,NA,NA,NA,0.34251,NA,NA,NA,NA
2015-08-04,0.34717,23.6,0.01,2015,1,0.01,0,NA,NA,NA,0.34717,NA,NA,NA,NA
2015-08-05,0.35008,21.315,0.01,2015,1,0.01,0,NA,NA,NA,0.35008,NA,NA,NA,NA
2015-08-06,0.34555,21.655,0.01,2015,1,0.01,0,NA,NA,NA,0.34555,NA,NA,NA,NA
2015-08-07,0.3477,22.439999999999998,0.01,2015,1,0.01,0,NA,NA,NA,0.3477,NA,NA,NA,NA
2015-08-08,0.3405,21.79,0.01,2015,1,0.01,0,NA,NA,NA,0.3405,NA,NA,NA,NA
2015-08-09,0.34136,21.69,0.01,2015,1,0.01,0,NA,NA,NA,0.34136,NA,NA,NA,NA
2015-08-10,0.33904,22.905,0.01,2015,1,0.01,0,NA,NA,NA,0.33904,NA,NA,NA,NA
2015-08-11,0.33638,22.46,0.01,2015,1,0.01,0,NA,NA,NA,0.33638,NA,NA,NA,NA
2015-08-12,0.33416,21.46,0.01,2015,1,0.01,0,NA,NA,NA,0.33416,NA,NA,NA,NA
2015-08-13,0.33362000000000003,22.060000000000002,0.01,2015,1,0.01,0,NA,NA,NA,0.33362000000000003,NA,NA,NA,NA
2015-08-14,0.3331,22.77,0.01,2015,1,0.01,0,NA,NA,NA,0.3331,NA,NA,NA,NA
2015-08-15,0.32831,23.72,0.01,2015,1,0.01,0,NA,NA,NA,0.32831,NA,NA,NA,NA
2015-08-16,0.33669,24.07,0.01,2015,1,0.01,0,NA,NA,NA,0.33669,NA,NA,NA,NA
2015-08-17,0.32857,26.15,0.01,2015,1,0.01,0,NA,NA,NA,0.32857,NA,NA,NA,NA
2015-08-18,0.32927,26.57,0.01,2015,1,0.01,0,NA,NA,NA,0.32927,NA,NA,NA,NA
2015-08-19,0.32763,26.715000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.32763,NA,NA,NA,NA
2015-08-20,0.32504,25.625,0.01,2015,1,0.01,0,NA,NA,NA,0.32504,NA,NA,NA,NA
2015-08-21,0.32366,24.19,0.01,2015,1,0.01,0,NA,NA,NA,0.32366,NA,NA,NA,NA
2015-08-22,0.32332,23.585,0.01,2015,1,0.01,0,NA,NA,NA,0.32332,NA,NA,NA,NA
2015-08-23,0.32457,22.915000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.32457,NA,NA,NA,NA
2015-08-24,0.32579,22.96,0.01,2015,1,0.01,0,NA,NA,NA,0.32579,NA,NA,NA,NA
2015-08-25,0.32405,22.93,0.01,2015,1,0.01,0,NA,NA,NA,0.32405,NA,NA,NA,NA
2015-08-26,0.33501,24.25,0.01,2015,1,0.01,0,NA,NA,NA,0.33501,NA,NA,NA,NA
2015-08-27,0.32712,24.810000000000002,0.01,2015,1,0.01,0,NA,NA,NA,0.32712,NA,NA,NA,NA
2015-08-28,0.32747,25.165,0.01,2015,1,0.01,0,NA,NA,NA,0.32747,NA,NA,NA,NA
2015-08-29,0.32505,25.405,0.01,2015,1,0.01,0,NA,NA,NA,0.32505,NA,NA,NA,NA
2015-08-30,0.32139,23.605,0.01,2015,1,0.01,0,NA,NA,NA,0.32139,NA,NA,NA,NA
2015-08-31,0.32009,22.105,0.01,2015,1,0.01,0,NA,NA,NA,0.32009,NA,NA,NA,NA
2015-09-01,0.31956,21.52,0.01,2015,1,0.01,0,NA,NA,NA,0.31956,NA,NA,NA,NA
2015-09-02,0.32131,21.505000000000003,0.01,2015,1,0.01,0,NA,NA,NA,0.32131,NA,NA,NA,NA
2015-09-03,0.32238,20.41,0.01,2015,1,0.01,0,NA,NA,NA,0.32238,NA,NA,NA,NA
2015-09-04,0.31758,18.93,0.01,2015,1,0.01,0,NA,NA,NA,0.31758,NA,NA,NA,NA
2015-09-05,0.31937,17.84,0.01,2015,1,0.01,0,NA,NA,NA,0.31937,NA,NA,NA,NA
2015-09-06,0.31361,17.495,0.01,2015,1,0.01,0,NA,NA,NA,0.31361,NA,NA,NA,NA
2015-09-07,0.30508,18.255,0.01,2015,1,0.01,0,NA,NA,NA,0.30508,NA,NA,NA,NA
2015-09-08,0.31749,19.56,0.01,2015,1,0.01,0,NA,NA,NA,0.31749,NA,NA,NA,NA
2015-09-09,0.32423,22.155,0.01,2015,1,0.01,0,NA,NA,NA,0.32423,NA,NA,NA,NA
