date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2011-12-08,0.30691,-5.125,0.01,2011,1,0.01,0,NA,NA,NA,0.30691,NA,NA,NA,NA
2011-12-09,0.30873,-11.86,0.01,2011,1,0.01,0,NA,NA,NA,0.30873,NA,NA,NA,NA
2011-12-10,0.30763,-0.7650000000000006,0.01,2011,1,0.01,0,NA,NA,NA,0.30763,NA,NA,NA,NA
2011-12-11,0.30438,3.79,0.01,2011,1,0.01,0,NA,NA,NA,0.30438,NA,NA,NA,NA
2011-12-12,0.30746,-3.7649999999999997,0.01,2011,1,0.01,0,NA,NA,NA,0.30746,NA,NA,NA,NA
2011-12-13,0.31008,-11.005,0.01,2011,1,0.01,0,NA,NA,NA,0.31008,NA,NA,NA,NA
2011-12-14,0.31323,-11.095,0.01,2011,1,0.01,0,NA,NA,NA,0.31323,NA,NA,NA,NA
2011-12-15,0.3138,-5.6049999999999995,0.01,2011,1,0.01,0,NA,NA,NA,0.3138,NA,NA,NA,NA
2011-12-16,0.31262,-5.075,0.01,2011,1,0.01,0,NA,NA,NA,0.31262,NA,NA,NA,NA
2011-12-17,0.30727,-2.2950000000000004,0.01,2011,1,0.01,0,NA,NA,NA,0.30727,NA,NA,NA,NA
2011-12-18,0.3059,6.995,0.01,2011,1,0.01,0,NA,NA,NA,0.3059,NA,NA,NA,NA
2011-12-19,0.30553,2.7700000000000005,0.01,2011,1,0.01,0,NA,NA,NA,0.30553,NA,NA,NA,NA
2011-12-20,0.30788,-1.6199999999999997,0.01,2011,1,0.01,0,NA,NA,NA,0.30788,NA,NA,NA,NA
2011-12-21,0.31215,2.185,0.01,2011,1,0.01,0,NA,NA,NA,0.31215,NA,NA,NA,NA
2011-12-22,0.30622,-5.8,0.01,2011,1,0.01,0,NA,NA,NA,0.30622,NA,NA,NA,NA
2011-12-23,0.30601,-2.6250000000000004,0.01,2011,1,0.01,0,NA,NA,NA,0.30601,NA,NA,NA,NA
2011-12-24,0.30752,2.5599999999999996,0.01,2011,1,0.01,0,NA,NA,NA,0.30752,NA,NA,NA,NA
2011-12-25,0.30699,4.77,0.01,2011,1,0.01,0,NA,NA,NA,0.30699,NA,NA,NA,NA
2011-12-26,0.307,6.6450000000000005,0.01,2011,1,0.01,0,NA,NA,NA,0.307,NA,NA,NA,NA
2011-12-27,0.30906,1.335,0.01,2011,1,0.01,0,NA,NA,NA,0.30906,NA,NA,NA,NA
2011-12-28,0.31404,3.08,0.01,2011,1,0.01,0,NA,NA,NA,0.31404,NA,NA,NA,NA
2011-12-29,0.30626,5.59,0.01,2011,1,0.01,0,NA,NA,NA,0.30626,NA,NA,NA,NA
2011-12-30,0.30392,5.05,0.01,2011,1,0.01,0,NA,NA,NA,0.30392,NA,NA,NA,NA
2011-12-31,0.30601,2.6899999999999995,0.01,2011,1,0.01,0,NA,NA,NA,0.30601,NA,NA,NA,NA
2012-01-01,0.31387,-4.455,0.01,2012,1,0.01,0,NA,NA,NA,0.31387,NA,NA,NA,NA
2012-01-02,0.30694,-5.01,0.01,2012,1,0.01,0,NA,NA,NA,0.30694,NA,NA,NA,NA
2012-01-03,0.31249,5.115,0.01,2012,1,0.01,0,NA,NA,NA,0.31249,NA,NA,NA,NA
2012-01-04,0.3121,6.47,0.01,2012,1,0.01,0,NA,NA,NA,0.3121,NA,NA,NA,NA
2012-01-05,0.31106,9.05,0.01,2012,1,0.01,0,NA,NA,NA,0.31106,NA,NA,NA,NA
2012-01-06,0.31356,4.58,0.01,2012,1,0.01,0,NA,NA,NA,0.31356,NA,NA,NA,NA
2012-01-07,0.31393,-0.6699999999999999,0.01,2012,1,0.01,0,NA,NA,NA,0.31393,NA,NA,NA,NA
2012-01-08,0.30792,-2.0250000000000004,0.01,2012,1,0.01,0,NA,NA,NA,0.30792,NA,NA,NA,NA
