date,pheno,env,env_sd,year,site,pheno_sd,pheno_mis,value,lower,upper,mismatch_actual,mismatch_model,mismatch_model_upper,mismatch_model_lower,pred_error
2013-03-14,0.3364,-4.41,0.01,2013,1,0.01,0,NA,NA,NA,0.3364,NA,NA,NA,NA
2013-03-15,0.33721,-3.3649999999999998,0.01,2013,1,0.01,0,NA,NA,NA,0.33721,NA,NA,NA,NA
2013-03-16,0.3359,-3.315,0.01,2013,1,0.01,0,NA,NA,NA,0.3359,NA,NA,NA,NA
2013-03-17,0.33499,-3.3049999999999997,0.01,2013,1,0.01,0,NA,NA,NA,0.33499,NA,NA,NA,NA
2013-03-18,0.33607,-5.33,0.01,2013,1,0.01,0,NA,NA,NA,0.33607,NA,NA,NA,NA
2013-03-19,0.33495,-4.79,0.01,2013,1,0.01,0,NA,NA,NA,0.33495,NA,NA,NA,NA
2013-03-20,0.33377,-6.930000000000001,0.01,2013,1,0.01,0,NA,NA,NA,0.33377,NA,NA,NA,NA
2013-03-21,0.3351,-10.225,0.01,2013,1,0.01,0,NA,NA,NA,0.3351,NA,NA,NA,NA
2013-03-22,0.33522,-8.29,0.01,2013,1,0.01,0,NA,NA,NA,0.33522,NA,NA,NA,NA
2013-03-23,0.33499,-5.78,0.01,2013,1,0.01,0,NA,NA,NA,0.33499,NA,NA,NA,NA
2013-03-24,0.33628,-3.8549999999999995,0.01,2013,1,0.01,0,NA,NA,NA,0.33628,NA,NA,NA,NA
2013-03-25,0.33462,-3.705,0.01,2013,1,0.01,0,NA,NA,NA,0.33462,NA,NA,NA,NA
2013-03-26,0.33536,-1.665,0.01,2013,1,0.01,0,NA,NA,NA,0.33536,NA,NA,NA,NA
2013-03-27,0.33338,-0.33499999999999996,0.01,2013,1,0.01,0,NA,NA,NA,0.33338,NA,NA,NA,NA
2013-03-28,0.33151,1.7000000000000002,0.01,2013,1,0.01,0,NA,NA,NA,0.33151,NA,NA,NA,NA
2013-03-29,0.32981,1.165,0.01,2013,1,0.01,0,NA,NA,NA,0.32981,NA,NA,NA,NA
2013-03-30,0.32773,2.13,0.01,2013,1,0.01,0,NA,NA,NA,0.32773,NA,NA,NA,NA
2013-03-31,0.32409,4.395,0.01,2013,1,0.01,0,NA,NA,NA,0.32409,NA,NA,NA,NA
2013-04-01,0.32653,3.92,0.01,2013,1,0.01,0,NA,NA,NA,0.32653,NA,NA,NA,NA
2013-04-02,0.3271,-1.7650000000000001,0.01,2013,1,0.01,0,NA,NA,NA,0.3271,NA,NA,NA,NA
2013-04-03,0.32745,-1.2550000000000001,0.01,2013,1,0.01,0,NA,NA,NA,0.32745,NA,NA,NA,NA
2013-04-04,0.32759,-0.42500000000000027,0.01,2013,1,0.01,0,NA,NA,NA,0.32759,NA,NA,NA,NA
2013-04-05,0.32763,4.515000000000001,0.01,2013,1,0.01,0,NA,NA,NA,0.32763,NA,NA,NA,NA
2013-04-06,0.32482,1.585,0.01,2013,1,0.01,0,NA,NA,NA,0.32482,NA,NA,NA,NA
2013-04-07,0.32321,6.06,0.01,2013,1,0.01,0,NA,NA,NA,0.32321,NA,NA,NA,NA
