V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
76776524.58491136,-568867756.0461693,725033981.1772263,269928390.62968457,6246866.121484418,-413373511.2764489,446110154.21584517,-498272435.11618495,188366656.62346402,-216200383.67789224,-596017071.0581604,-463879925.2340637,-212307272.46462592,42713071.31763344,507816135.6373966,-180885968.74070862,216359127.73976576,-605243634.7460514,-652416093.3995917,-47866692.96864287,-524580647.0967022,98003870.71847175,-434924938.8297205,472976628.30268663,-221452856.590818,406650353.4558417,-324639289.17238057,-142676749.08430436,-7510833.490911445,-214966119.09094825,277189546.021945,-102658130.6920674,-264713642.517068,-106469720.23152502,-28662415.401935447,88317293.68201332,358488154.3065889,-214346752.78965843,447028947.7195078,678797978.5908252,-420393237.349008,553509219.0875634,84618792.16585404,232137728.42279184,-875685972.3048097,347734142.3894508,-501421203.52869314,-324401369.409104,481409583.9389681,165925543.14734524,-521608891.56666714,-494587680.3361057,118232928.02263124,-239680637.60372758,-91692930.59048635,355498556.55815727
-568867756.0461693,4214967176.13602,-5372064767.150271,-2000006670.2633975,-46285504.896638006,3062848539.0368595,-3305407336.209467,3691898393.60539,-1395683375.8822834,1601914525.1986585,4416127229.698921,3437070611.174659,1573068910.5326335,-316478117.271369,-3762611457.1895957,1340255992.611235,-1603090720.1867962,4484490507.956813,4834009985.1147375,354663354.9065079,3886826382.7406287,-726149603.6290504,3222531641.851043,-3504471711.1815634,1640832182.7489617,-3013033997.001124,2405381446.508085,1057148699.2642039,55650753.82447182,1592769371.729204,-2053807441.294207,760634867.2147192,1961368519.3390813,788876438.9341488,212371217.480461,-654377924.0583426,-2656181119.0303216,1588180239.6656046,-3312215036.5720105,-5029483845.959668,3114860489.0258512,-4101169662.3684707,-626974258.1479312,-1720000637.726643,6488305196.858536,-2576500366.8243303,3715228870.5265884,2403618599.1833925,-3566954826.364744,-1229408259.0339568,3864807474.9855995,3664596576.837581,-876034725.0689467,1775889055.577316,679389352.7822971,-2634030007.6945767
725033981.1772263,-5372064767.150271,6846810107.370208,2549050779.845992,58991854.85257087,-3903665209.8835,4212811524.01583,-4705402546.93511,1778827966.6730416,-2041673925.485223,-5628447508.1489105,-4380619152.184223,-2004909580.244489,403358050.290044,4795527841.592601,-1708184594.7383375,2043173011.0567343,-5715577951.260409,-6161047913.831962,-452025942.44107676,-4953842389.95267,925493020.3327824,-4107184699.1779194,4466523278.23358,-2091275302.8664033,3840175522.730423,-3065709501.6870666,-1347358365.0702882,-70928061.87849106,-2030018233.9972196,2617621000.5325193,-969445217.5862719,-2499805640.2524033,-1005439698.2640449,-270671606.2732957,834018496.5111237,3385358986.814069,-2024169288.2051666,4221488082.381594,6410183481.9806595,-3969955538.966542,5227027430.948254,799091945.0146122,2192177172.5153117,-8269482132.30363,3283804184.088101,-4735137732.941277,-3063462715.7835746,4546159329.553598,1566906814.9331436,-4925778826.00499,-4670605804.595264,1116524776.0493526,-2263408142.114873,-865896091.503962,3357126926.8854547
269928390.62968457,-2000006670.2633975,2549050779.845992,949005416.6390485,21962524.158169508,-1453325079.8845716,1568419502.2220838,-1751809944.062414,662253333.0836917,-760110245.6276528,-2095457342.1321793,-1630893874.3686616,-746422968.9766041,150169222.94916695,1785363372.3344834,-635952977.3366448,760668351.4713615,-2127895794.6340063,-2293743180.0028467,-168288161.21925747,-1844303494.3480866,344558804.40402925,-1529094891.9896696,1662875772.2473233,-778576717.9633064,1429688023.6199262,-1141356204.3224785,-501618247.89873153,-26406345.354365498,-755770860.0371149,974533943.0118647,-360922100.8015865,-930671570.486003,-374322758.34923583,-100770381.77224824,310503061.69403124,1260360931.22989,-753593311.6986095,1571649763.6958158,2386495747.016709,-1478004808.7334921,1946009621.8286223,297499991.3801195,816142238.9558964,-3078708120.337198,1222552324.5875025,-1762880281.6354284,-1140519731.2637868,1692524080.7377818,583355602.9707237,-1833855497.8535266,-1738855201.2548068,415679463.26813495,-842661356.1711115,-322371012.76731753,1249850203.9902918
6246866.121484418,-46285504.896638006,58991854.85257087,21962524.158169508,508272.1962308229,-33633831.25885522,36297423.61790079,-40541569.25055105,15326314.491209991,-17590984.469216045,-48494489.29696873,-37743249.1499823,-17274224.87438575,3475317.1518385783,41318085.73894452,-14717653.501795214,17603900.775227655,-49245201.63089982,-53083354.40862886,-3894637.2247392484,-42682117.773469955,7974012.905214534,-35387346.1653087,38483394.72010024,-18018348.12767234,33086806.132194918,-26414036.29354008,-11608789.059685664,-611113.0628035062,-17490559.245407302,22553323.66582033,-8352703.134441209,-21538230.781041868,-8662830.96669486,-2332096.541983283,7185870.453889969,29168125.275357712,-17440165.03524192,36372180.98760111,55229897.458907716,-34204985.27927421,45035869.77565221,6884944.553120506,18887715.16451408,-71249543.99409036,28293133.47629298,-40797766.40748874,-26394678.50233667,39169536.142780505,13500409.352037732,-42440322.39558511,-40241762.24982391,9619935.195442691,-19501437.872072436,-7460527.097714287,28924878.45137005
-413373511.2764489,3062848539.0368595,-3903665209.8835,-1453325079.8845716,-33633831.25885522,2225649877.293206,-2401907680.380756,2682755317.4340215,-1014187445.3623669,1164047395.2280576,3209023527.702632,2497582133.097873,1143086438.3758159,-229972024.9761337,-2734139681.0314245,973910576.0280162,-1164902089.5812752,3258700395.096881,3512682259.870143,257719713.32174426,2824401713.1870713,-527663956.07474047,2341685217.646678,-2546559822.751568,1192327304.9849114,-2189451635.7943873,1747894762.4356213,768187798.0732791,40439182.67136121,1157401976.6877248,-1492419955.9445875,552723021.3901091,1425248277.8161983,573245046.2569772,154321694.0848099,-475510336.9767233,-1930140883.3639865,1154067237.5475514,-2406854565.4051113,-3654725319.0627527,2263444885.5913725,-2980156425.8721366,-455597185.85663897,-1249855864.2035134,4714792612.29105,-1872240059.404297,2699708644.4351745,1746613772.187701,-2591963810.8581877,-893361948.7708331,2808401449.9947147,2662916176.647019,-636579495.8425894,1290467747.590718,493685145.41129756,-1914044553.5923564
446110154.21584517,-3305407336.209467,4212811524.01583,1568419502.2220838,36297423.61790079,-2401907680.380756,2592124019.667749,-2895213064.8680778,1094504862.945039,-1256232801.3752742,-3463158485.9266167,-2695375300.2967625,-1233611864.8912117,248184397.59547633,2950666754.147031,-1051038313.2197304,1257155182.0151234,-3516769456.4130387,-3790865124.855955,-278129533.0276766,-3048076985.0876102,569451700.982008,-2527132308.259141,2748231723.1645703,-1286752306.1400843,2362842760.8040524,-1886317294.5855634,-829023553.9838543,-43641717.99960669,-1249061106.5768566,1610610451.4936578,-596495290.6338471,-1538119189.1288116,-618642533.1810116,-166543024.3565155,513167836.8216983,2082996188.2030764,-1245462276.5303776,2597462667.15824,3944157121.6977854,-2442695822.1412125,3216166514.546936,491677686.4060036,1348836773.7158043,-5088175234.996784,2020509974.060044,-2913508991.289165,-1884934857.4143734,2797231428.1027193,964110729.4478908,-3030809600.0212336,-2873802785.5978127,686992682.7341703,-1392664869.4012966,-532781978.00809544,2065625128.3060486
-498272435.11618495,3691898393.60539,-4705402546.93511,-1751809944.062414,-40541569.25055105,2682755317.4340215,-2895213064.8680778,3233741374.8316483,-1222481931.810931,1403120217.7166321,3868094897.5216017,3010537198.7543387,1377854285.236988,-277203831.56704515,-3295679092.608882,1173932972.7630944,-1404150449.5448189,3927974432.924933,4234119260.3170533,310650358.93195873,3404479200.5743423,-636035927.3613374,2822622073.4982295,-3069573959.441677,1437208273.8529377,-2639122657.52412,2106878542.213575,925958714.466139,48744609.018271565,1395109958.8168592,-1798934150.782794,666241640.2487184,1717966709.2439778,690978491.5505885,186016385.2190522,-573170964.6777761,-2326554490.8661747,1391090328.7106326,-2901175944.021193,-4405335216.386001,2728312690.2291837,-3592222918.8888206,-549168037.4428413,-1506552086.2857718,5683119829.72102,-2256761957.0728455,3254176587.345604,2105334461.0316029,-3124303048.4006934,-1076841215.4146035,3385192793.381207,3209827657.9126024,-767320612.5928476,1555504865.5261803,595078526.8618367,-2307152286.572662
188366656.62346402,-1395683375.8822834,1778827966.6730416,662253333.0836917,15326314.491209991,-1014187445.3623669,1094504862.945039,-1222481931.810931,462146443.1931989,-530434847.6527137,-1462292612.2290587,-1138101940.3787003,-520883327.90862477,104793994.0797669,1245896835.1541255,-443793019.33077306,530824316.1312955,-1484929440.9287581,-1600664274.9300401,-117438101.69934706,-1287027572.1407673,240446696.15053242,-1067062601.2485735,1160420166.3527398,-543321478.9708663,997692576.6980428,-796483284.1066065,-350048958.2617782,-18427386.716814272,-527406653.3182002,680068144.8045927,-251865648.20975763,-649459254.5502794,-261217155.32366464,-70321539.1183048,216681256.88225946,879529467.96323,-525887074.473422,1096759067.051694,1665390667.5349443,-1031409930.5761049,1358002111.2419684,207607202.5271367,569536178.5384747,-2148443707.8931904,853145134.6206626,-1230207249.0216408,-795899560.7490473,1181109923.253684,407088501.02626336,-1279736548.1098213,-1213441602.8080428,290077491.23020774,-588042261.680416,-224963180.8070956,872194668.2663541
-216200383.67789224,1601914525.1986585,-2041673925.485223,-760110245.6276528,-17590984.469216045,1164047395.2280576,-1256232801.3752742,1403120217.7166321,-530434847.6527137,608813791.2239567,1678366178.9571579,1306271936.3571413,597850904.0275693,-120278728.65868565,-1429994990.0343018,509369457.0193338,-609260808.5787259,1704347906.481779,1837184131.215276,134791175.5479028,1477203351.4076495,-275975956.29825753,1224735574.2785542,-1331887984.4313352,623604596.887608,-1145115186.568275,914174492.1279769,401773438.6374782,21150283.625356972,605338140.3211038,-780557435.9330567,289082213.75106895,745425667.3075618,299815531.82176316,80712499.87767702,-248698853.08345687,-1009491874.4070071,603594023.0013001,-1258820094.027149,-1911474725.5562944,1183814737.5708213,-1558665341.1937666,-238283984.1606809,-653692873.3986446,2465905404.080707,-979208897.2333612,1411987055.3912325,913504515.1456604,-1355634933.1925826,-467241348.551049,1468834980.796984,1392744056.9271662,-332940374.55591375,674933482.1515812,258204542.8757877,-1001073259.1709346
