site,date,value
1,2015-01-01,-0.40797863226749276
1,2015-01-02,-0.4093868714237937
1,2015-01-03,-0.41074200433124197
1,2015-01-04,-0.41198182103619413
1,2015-01-05,-0.4132001264297705
1,2015-01-06,-0.4143724622197031
1,2015-01-07,-0.4155132415212121
1,2015-01-08,-0.41667468228614724
1,2015-01-09,-0.41779902858140494
1,2015-01-10,-0.4189241822435478
1,2015-01-11,-0.4200065974697253
1,2015-01-12,-0.42096617580443196
1,2015-01-13,-0.4217130232257986
1,2015-01-14,-0.4221799054117122
1,2015-01-15,-0.4222612319104099
1,2015-01-16,-0.42183976870788165
1,2015-01-17,-0.42077814184550644
1,2015-01-18,-0.4191006464625988
1,2015-01-19,-0.4169233349613707
1,2015-01-20,-0.4143711661131906
1,2015-01-21,-0.41150565330409167
1,2015-01-22,-0.408440367144005
1,2015-01-23,-0.4053997810673985
1,2015-01-24,-0.40241648778963046
1,2015-01-25,-0.39961844750713266
1,2015-01-26,-0.39717107162714277
1,2015-01-27,-0.3952267862348629
1,2015-01-28,-0.3939469087059155
1,2015-01-29,-0.39340471981735164
1,2015-01-30,-0.39363848253030714
1,2015-01-31,-0.39464970878930444
1,2015-02-01,-0.39639435845988785
1,2015-02-02,-0.3987891447297178
1,2015-02-03,-0.40176060075111525
1,2015-02-04,-0.4051550995018789
1,2015-02-05,-0.40882631905831107
1,2015-02-06,-0.41270023359491387
1,2015-02-07,-0.4165893399337045
1,2015-02-08,-0.4203027062703145
1,2015-02-09,-0.4236677358065184
1,2015-02-10,-0.4264970434721436
1,2015-02-11,-0.42865284364801176
1,2015-02-12,-0.4301467545744833
1,2015-02-13,-0.43099995548509784
1,2015-02-14,-0.4312061279151944
1,2015-02-15,-0.430782193984805
1,2015-02-16,-0.4297784384683322
1,2015-02-17,-0.42820648947424006
1,2015-02-18,-0.42617695121168775
1,2015-02-19,-0.423829289339698
1,2015-02-20,-0.42132059714071973
1,2015-02-21,-0.4188282906086475
1,2015-02-22,-0.41647516153918235
1,2015-02-23,-0.4143913139841643
1,2015-02-24,-0.41268865379887404
1,2015-02-25,-0.41144130652932226
1,2015-02-26,-0.4106344900598547
1,2015-02-27,-0.41034781377489044
1,2015-02-28,-0.4105518546392894
1,2015-03-01,-0.41113713104965965
1,2015-03-02,-0.4119815629981632
1,2015-03-03,-0.41318967617661595
1,2015-03-04,-0.4145947328285832
1,2015-03-05,-0.41615681185087317
1,2015-03-06,-0.41787446786317894
1,2015-03-07,-0.4195780457318488
1,2015-03-08,-0.42103391516274924
1,2015-03-09,-0.4221476915490706
1,2015-03-10,-0.422901173329026
1,2015-03-11,-0.42334464243442393
1,2015-03-12,-0.4235033824795875
1,2015-03-13,-0.42336756604208775
1,2015-03-14,-0.42299701445921883
1,2015-03-15,-0.4225041365716463
1,2015-03-16,-0.4220169482494338
1,2015-03-17,-0.42146747864227935
1,2015-03-18,-0.4209723253406015
1,2015-03-19,-0.4205462393938622
1,2015-03-20,-0.4203020632456616
1,2015-03-21,-0.4202549753461401
1,2015-03-22,-0.42049608619288037
1,2015-03-23,-0.4209765539303614
1,2015-03-24,-0.421641057068413
1,2015-03-25,-0.4224320381848613
1,2015-03-26,-0.42331373428705044
1,2015-03-27,-0.42426504227234907
1,2015-03-28,-0.42521275099450734
1,2015-03-29,-0.42603472642742757
1,2015-03-30,-0.4266473263984632
1,2015-03-31,-0.4269753446551131
1,2015-04-01,-0.42704436679092467
1,2015-04-02,-0.4268414900996698
1,2015-04-03,-0.4263301792317553
1,2015-04-04,-0.4254570456074334
1,2015-04-05,-0.4241325017930645
1,2015-04-06,-0.4223654711601041
1,2015-04-07,-0.42019543048681596
1,2015-04-08,-0.41764388281215953
1,2015-04-09,-0.41468682902960463
1,2015-04-10,-0.41127893014669625
1,2015-04-11,-0.40743160483960356
1,2015-04-12,-0.4031434406990396
1,2015-04-13,-0.3984565577299042
1,2015-04-14,-0.3933936230893981
1,2015-04-15,-0.38791439222288837
1,2015-04-16,-0.38202410755200866
1,2015-04-17,-0.3756917882198575
1,2015-04-18,-0.3689944023339098
1,2015-04-19,-0.36210469636232134
1,2015-04-20,-0.3551684625043125
1,2015-04-21,-0.34828096473554765
1,2015-04-22,-0.34153722868125547
1,2015-04-23,-0.33484049029043794
1,2015-04-24,-0.3282513146222833
1,2015-04-25,-0.3217775814040522
1,2015-04-26,-0.3153564515316527
1,2015-04-27,-0.3088407291394713
1,2015-04-28,-0.30209992184079
1,2015-04-29,-0.2950763506036849
1,2015-04-30,-0.2877243551605651
1,2015-05-01,-0.280097423626496
1,2015-05-02,-0.27188818645101737
1,2015-05-03,-0.26283248044716273
1,2015-05-04,-0.2526087028079151
1,2015-05-05,-0.24073010036395528
1,2015-05-06,-0.2268342310084971
1,2015-05-07,-0.21105744115264877
1,2015-05-08,-0.19313852144043264
1,2015-05-09,-0.1731133945712943
1,2015-05-10,-0.151025118344281
1,2015-05-11,-0.12692808995649937
1,2015-05-12,-0.1009672062163403
1,2015-05-13,-0.0732826350575509
1,2015-05-14,-0.043840006177680156
1,2015-05-15,-0.012959970863438856
1,2015-05-16,0.0190048542491816
1,2015-05-17,0.051833541053691784
1,2015-05-18,0.08521091719611258
1,2015-05-19,0.11867509571363685
1,2015-05-20,0.15167853160217493
1,2015-05-21,0.18377140502764341
1,2015-05-22,0.21439133262807997
1,2015-05-23,0.24303223228206397
1,2015-05-24,0.2692450175897238
1,2015-05-25,0.2929054397322249
1,2015-05-26,0.3138469144495769
1,2015-05-27,0.3321610177401665
1,2015-05-28,0.34798787869960934
1,2015-05-29,0.36121714726847215
1,2015-05-30,0.37153107966719484
1,2015-05-31,0.37902739118274414
1,2015-06-01,0.38375005886750635
1,2015-06-02,0.38585939268697184
1,2015-06-03,0.3857146203160208
1,2015-06-04,0.38355947989200334
1,2015-06-05,0.37972406073969633
1,2015-06-06,0.3749296554014447
1,2015-06-07,0.36979799774313943
1,2015-06-08,0.36461413045642493
1,2015-06-09,0.3594742868236305
1,2015-06-10,0.3542875667126643
1,2015-06-11,0.3487502805948269
1,2015-06-12,0.3429745176326075
1,2015-06-13,0.3370699182353247
1,2015-06-14,0.3311820320801477
1,2015-06-15,0.32537109299182404
1,2015-06-16,0.3195744525638758
1,2015-06-17,0.3135763629549552
1,2015-06-18,0.3074946231328146
1,2015-06-19,0.3011005268000822
1,2015-06-20,0.29409635629692304
1,2015-06-21,0.2864050054670987
1,2015-06-22,0.2781177603234907
1,2015-06-23,0.26929175033193975
1,2015-06-24,0.26002255283902675
1,2015-06-25,0.25055198288367814
1,2015-06-26,0.24093849004482012
1,2015-06-27,0.23128576871744594
1,2015-06-28,0.22157783271261622
1,2015-06-29,0.21193839018950117
1,2015-06-30,0.2025087276702757
1,2015-07-01,0.19332069284084735
1,2015-07-02,0.18443118898636565
1,2015-07-03,0.175873559849658
1,2015-07-04,0.167700640131325
1,2015-07-05,0.159897825751961
1,2015-07-06,0.152526741923305
1,2015-07-07,0.1455826852072333
1,2015-07-08,0.1389802361915119
1,2015-07-09,0.1327734540814178
1,2015-07-10,0.12698885250670194
1,2015-07-11,0.12170035603423345
1,2015-07-12,0.11716554091269883
1,2015-07-13,0.11343393754295082
1,2015-07-14,0.11026396858950445
1,2015-07-15,0.10761551180667588
1,2015-07-16,0.10568354086211876
1,2015-07-17,0.10437884375738118
1,2015-07-18,0.10349302535119036
1,2015-07-19,0.10297861731970229
1,2015-07-20,0.10284739544229875
1,2015-07-21,0.10293388374114176
1,2015-07-22,0.10310896454915541
1,2015-07-23,0.10327882118256553
1,2015-07-24,0.10331907009487268
1,2015-07-25,0.10321310999197454
1,2015-07-26,0.10276344537489765
1,2015-07-27,0.1019097711506997
1,2015-07-28,0.10063891652786716
1,2015-07-29,0.09877106101135832
1,2015-07-30,0.09609725960410002
1,2015-07-31,0.09263928123056013
1,2015-08-01,0.08855684372428954
1,2015-08-02,0.08400553415695479
1,2015-08-03,0.07897850422421517
1,2015-08-04,0.07351657002436875
1,2015-08-05,0.0678210036899187
1,2015-08-06,0.06212630939605036
1,2015-08-07,0.05663496665767275
1,2015-08-08,0.05143100901077826
1,2015-08-09,0.04659839702072165
1,2015-08-10,0.042420192541858415
1,2015-08-11,0.039146556497706333
1,2015-08-12,0.03700796360788844
1,2015-08-13,0.03601198865475179
1,2015-08-14,0.0363419334822829
1,2015-08-15,0.037918316617509676
1,2015-08-16,0.04068371052207658
1,2015-08-17,0.0445889918666085
1,2015-08-18,0.04953359258911046
1,2015-08-19,0.05516657558172516
1,2015-08-20,0.060987959651254364
1,2015-08-21,0.066579865626614193
1,2015-08-22,0.07161683201055015
1,2015-08-23,0.07584739238203494
1,2015-08-24,0.07918301935410763
1,2015-08-25,0.08136384974944763
1,2015-08-26,0.08219689210670833
1,2015-08-27,0.08169997587769959
1,2015-08-28,0.07961353480232762
1,2015-08-29,0.07563086796032394
1,2015-08-30,0.06988467495222006
1,2015-08-31,0.06269983560016461
1,2015-09-01,0.054379269035847215
1,2015-09-02,0.04522544486044115
1,2015-09-03,0.03574461849949291
1,2015-09-04,0.026310437427249964
1,2015-09-05,0.01753979430682786
1,2015-09-06,0.00955781116557177
1,2015-09-07,0.002546480668096756
1,2015-09-08,-0.003377876856371721
1,2015-09-09,-0.007918876698482973
1,2015-09-10,-0.010716114427858784
1,2015-09-11,-0.011556918458394766
1,2015-09-12,-0.010273894481219433
1,2015-09-13,-0.006760981910389984
1,2015-09-14,-0.0015034921917597612
1,2015-09-15,0.005020988761627516
1,2015-09-16,0.012658675623201079
1,2015-09-17,0.02105542055567347
1,2015-09-18,0.02986571380866388
1,2015-09-19,0.03856852404841591
1,2015-09-20,0.04652926304890431
1,2015-09-21,0.05324064563223273
1,2015-09-22,0.05834563406569473
1,2015-09-23,0.06160284057458453
1,2015-09-24,0.06272734709453578
1,2015-09-25,0.06190866786089096
1,2015-09-26,0.05912918013988798
1,2015-09-27,0.054431868107875196
1,2015-09-28,0.048196648051894615
1,2015-09-29,0.040871075533133606
1,2015-09-30,0.03249261101121545
1,2015-10-01,0.023374442685673968
1,2015-10-02,0.014076182284425058
1,2015-10-03,0.0052697679774816155
1,2015-10-04,-0.002691476436929703
1,2015-10-05,-0.009441025315664694
1,2015-10-06,-0.014838954743116436
1,2015-10-07,-0.01877729830301451
1,2015-10-08,-0.02125283622791827
1,2015-10-09,-0.02245456046368462
1,2015-10-10,-0.02261940717601987
1,2015-10-11,-0.021964714848045776
1,2015-10-12,-0.02076511872937762
1,2015-10-13,-0.01950096090721478
1,2015-10-14,-0.01852005035220227
1,2015-10-15,-0.018111414912913418
1,2015-10-16,-0.018615327480071015
1,2015-10-17,-0.020367963962306553
1,2015-10-18,-0.023724496039130454
1,2015-10-19,-0.0290224849702586
1,2015-10-20,-0.03643821502251626
1,2015-10-21,-0.04606254784767739
1,2015-10-22,-0.05783062892816627
1,2015-10-23,-0.07176748773414814
1,2015-10-24,-0.08751562293027788
1,2015-10-25,-0.10464383051147053
1,2015-10-26,-0.1228363776874942
1,2015-10-27,-0.14177498269586106
1,2015-10-28,-0.16086201677179315
1,2015-10-29,-0.17977948904006907
1,2015-10-30,-0.19803969849318137
1,2015-10-31,-0.21546019373738054
1,2015-11-01,-0.23183126222300632
1,2015-11-02,-0.24690080173463103
1,2015-11-03,-0.2604608047573385
1,2015-11-04,-0.27233839284636613
1,2015-11-05,-0.28253166538087987
1,2015-11-06,-0.2909683568808125
1,2015-11-07,-0.29788119261917584
1,2015-11-08,-0.3036092888951492
1,2015-11-09,-0.30824584597973587
1,2015-11-10,-0.31196216849521446
1,2015-11-11,-0.31541022213380876
1,2015-11-12,-0.3189717080938623
1,2015-11-13,-0.3224505567722602
1,2015-11-14,-0.32533760440021964
1,2015-11-15,-0.3277078787269475
1,2015-11-16,-0.32968761122125906
1,2015-11-17,-0.3313147269489847
1,2015-11-18,-0.33274113388407933
1,2015-11-19,-0.33423912134928085
1,2015-11-20,-0.3359974499162761
1,2015-11-21,-0.3380221890954692
1,2015-11-22,-0.3402660693046977
1,2015-11-23,-0.3425834579103071
1,2015-11-24,-0.344878562355662
1,2015-11-25,-0.3470699606700172
1,2015-11-26,-0.3490491583320174
1,2015-11-27,-0.35093469809009237
1,2015-11-28,-0.35293602594991086
1,2015-11-29,-0.3549875733828821
1,2015-11-30,-0.3569853771566468
1,2015-12-01,-0.3588539513155265
1,2015-12-02,-0.3604818368568143
1,2015-12-03,-0.3618590676215676
1,2015-12-04,-0.36293124441396246
1,2015-12-05,-0.3636246701020211
1,2015-12-06,-0.3640940789214924
1,2015-12-07,-0.36439649102057164
1,2015-12-08,-0.36457188795575607
1,2015-12-09,-0.3647284289897439
1,2015-12-10,-0.3650441702432608
1,2015-12-11,-0.36565623581593676
1,2015-12-12,-0.36644824851701224
1,2015-12-13,-0.3673834260508959
1,2015-12-14,-0.3685732613305336
1,2015-12-15,-0.37009431647600416
1,2015-12-16,-0.37196250364033395
1,2015-12-17,-0.37404836109470757
1,2015-12-18,-0.37622813245480197
1,2015-12-19,-0.37842616267324897
1,2015-12-20,-0.380487261067291
1,2015-12-21,-0.3824981684958719
1,2015-12-22,-0.384388729428934
1,2015-12-23,-0.38610202161264384
1,2015-12-24,-0.38761206864682113
1,2015-12-25,-0.388929589877615
1,2015-12-26,-0.39002957098270974
1,2015-12-27,-0.39102925791381193
1,2015-12-28,-0.3919391981449199
1,2015-12-29,-0.39271930384402903
1,2015-12-30,-0.39342845005345634
1,2015-12-31,-0.3940909373830763
1,2016-01-01,-0.394834491210531
1,2016-01-02,-0.39568789529027704
1,2016-01-03,-0.39668082879260314
1,2016-01-04,-0.39782727349096
1,2016-01-05,-0.39917569550736776
1,2016-01-06,-0.40076501236724127
1,2016-01-07,-0.40253059873038444
1,2016-01-08,-0.404393502022564
1,2016-01-09,-0.40624096047636576
1,2016-01-10,-0.40794246065297757
1,2016-01-11,-0.40945413691808435
1,2016-01-12,-0.41077886548438536
1,2016-01-13,-0.41190623775134866
1,2016-01-14,-0.4127115195781366
1,2016-01-15,-0.413086789891518
1,2016-01-16,-0.4130028459098929
1,2016-01-17,-0.4124000757255435
1,2016-01-18,-0.4113212380981119
1,2016-01-19,-0.40984507934790854
1,2016-01-20,-0.40804982998697636
1,2016-01-21,-0.4059857246922002
1,2016-01-22,-0.40370729232420294
1,2016-01-23,-0.40135121928376855
1,2016-01-24,-0.399035540268551
1,2016-01-25,-0.3969103077027093
1,2016-01-26,-0.3951279918026101
1,2016-01-27,-0.39379401265015046
1,2016-01-28,-0.3930361332291939
1,2016-01-29,-0.3929317829823622
1,2016-01-30,-0.39355100702213364
1,2016-01-31,-0.3949162169391373
1,2016-02-01,-0.3970299031197666
1,2016-02-02,-0.39982107229683134
1,2016-02-03,-0.4031982790626469
1,2016-02-04,-0.4071025022193816
1,2016-02-05,-0.4114050468491431
1,2016-02-06,-0.4159061061898296
1,2016-02-07,-0.42041546504825006
1,2016-02-08,-0.4247647215046543
1,2016-02-09,-0.42876784476043583
1,2016-02-10,-0.4322751034637459
1,2016-02-11,-0.4351901340658035
1,2016-02-12,-0.4373368609124191
1,2016-02-13,-0.4385963487588403
1,2016-02-14,-0.43902236982627696
1,2016-02-15,-0.4386143306992405
1,2016-02-16,-0.4374468981059725
1,2016-02-17,-0.43564363646846455
1,2016-02-18,-0.4333434067125373
1,2016-02-19,-0.43067775352633697
1,2016-02-20,-0.427887994916145
1,2016-02-21,-0.4250943553882324
1,2016-02-22,-0.42246953295931655
1,2016-02-23,-0.4201554098172089
1,2016-02-24,-0.4181872783320968
1,2016-02-25,-0.4167609029253211
1,2016-02-26,-0.415997597259909
1,2016-02-27,-0.41584648578443895
1,2016-02-28,-0.4161835491566415
1,2016-02-29,-0.41691509409971594
1,2016-03-01,-0.4179757390009487
1,2016-03-02,-0.41927807042036286
1,2016-03-03,-0.4207206017997903
1,2016-03-04,-0.4221577998018235
1,2016-03-05,-0.4234322855627617
1,2016-03-06,-0.4243837391340108
1,2016-03-07,-0.42488541971762955
1,2016-03-08,-0.42496463698461495
1,2016-03-09,-0.42478735146004704
1,2016-03-10,-0.42434474532303307
1,2016-03-11,-0.4236240876085216
1,2016-03-12,-0.4227987221975995
1,2016-03-13,-0.42181323659729975
1,2016-03-14,-0.42066529311579354
1,2016-03-15,-0.4194600470977893
1,2016-03-16,-0.41832354302866337
1,2016-03-17,-0.4173072214677209
1,2016-03-18,-0.41655673761279505
1,2016-03-19,-0.416077516576244
1,2016-03-20,-0.41586016851636426
1,2016-03-21,-0.41587612750523173
1,2016-03-22,-0.4161052650445085
1,2016-03-23,-0.41644222728538544
1,2016-03-24,-0.41682861191127174
1,2016-03-25,-0.41727658525074907
1,2016-03-26,-0.4177737905676112
1,2016-03-27,-0.4182464220827735
1,2016-03-28,-0.418664177943368
1,2016-03-29,-0.41901778955297564
1,2016-03-30,-0.4192444715742635
1,2016-03-31,-0.4191872411696123
1,2016-04-01,-0.41876355564056156
1,2016-04-02,-0.4179876101457797
1,2016-04-03,-0.41690883098855935
1,2016-04-04,-0.4155531137693239
1,2016-04-05,-0.4139095215226255
1,2016-04-06,-0.41198932694136836
1,2016-04-07,-0.40981661933565333
1,2016-04-08,-0.4073875716191019
1,2016-04-09,-0.40454389560836584
1,2016-04-10,-0.40118428845044773
1,2016-04-11,-0.39735233659775754
1,2016-04-12,-0.39308258233329485
1,2016-04-13,-0.38838430875095364
1,2016-04-14,-0.3833875048790663
1,2016-04-15,-0.378215671502126
1,2016-04-16,-0.3729248418639785
1,2016-04-17,-0.36753546310320984
1,2016-04-18,-0.36214075815327457
1,2016-04-19,-0.35682557211221155
1,2016-04-20,-0.351625607427519
1,2016-04-21,-0.34649938459292895
1,2016-04-22,-0.34141958924658367
1,2016-04-23,-0.336480590655338
1,2016-04-24,-0.33169883368748554
1,2016-04-25,-0.3270811814680455
1,2016-04-26,-0.32267059671016834
1,2016-04-27,-0.3183939731124516
1,2016-04-28,-0.3141368075813031
1,2016-04-29,-0.30961549175350483
1,2016-04-30,-0.3045246856778605
1,2016-05-01,-0.29861204099612015
1,2016-05-02,-0.29172644605877696
1,2016-05-03,-0.283857627665951
1,2016-05-04,-0.2746689923089853
1,2016-05-05,-0.26367645937776524
1,2016-05-06,-0.2505584830685297
1,2016-05-07,-0.23529941064903329
1,2016-05-08,-0.21794798740830448
1,2016-05-09,-0.19809461264831985
1,2016-05-10,-0.17567625870437137
1,2016-05-11,-0.1508988444665193
1,2016-05-12,-0.12386713109589031
1,2016-05-13,-0.09469936598422371
1,2016-05-14,-0.06363865420297403
1,2016-05-15,-0.031049501310497104
1,2016-05-16,0.0029657458818466193
1,2016-05-17,0.038174944760535665
1,2016-05-18,0.07436331638710024
1,2016-05-19,0.11077043482152363
1,2016-05-20,0.14652165286693197
1,2016-05-21,0.18094490801603838
1,2016-05-22,0.21350747345029011
1,2016-05-23,0.2438396831641757
1,2016-05-24,0.27192652897035646
1,2016-05-25,0.2977336785594487
1,2016-05-26,0.32098163239350974
1,2016-05-27,0.34118449898387926
1,2016-05-28,0.3580421835737538
1,2016-05-29,0.3715494017689458
1,2016-05-30,0.38166090931272845
1,2016-05-31,0.3885415105347497
1,2016-06-01,0.3923615639119596
1,2016-06-02,0.3934816030568457
1,2016-06-03,0.392458531589086
1,2016-06-04,0.3899229190891149
1,2016-06-05,0.3861351718582821
1,2016-06-06,0.3812963947587292
1,2016-06-07,0.37563581912135485
1,2016-06-08,0.36934887532145255
1,2016-06-09,0.3625933754253714
1,2016-06-10,0.3555534962807661
1,2016-06-11,0.3486006975149835
1,2016-06-12,0.34203230970454385
1,2016-06-13,0.33609367396033124
1,2016-06-14,0.3307072896975007
1,2016-06-15,0.32566446935653565
1,2016-06-16,0.3206182148833151
1,2016-06-17,0.31530867720093675
1,2016-06-18,0.3095336855661648
1,2016-06-19,0.3032931747982096
1,2016-06-20,0.2965659581702782
1,2016-06-21,0.2891863172706388
1,2016-06-22,0.28114802643237985
1,2016-06-23,0.27238463431932614
1,2016-06-24,0.26304731672676224
1,2016-06-25,0.25311974069677773
1,2016-06-26,0.24268785692030334
1,2016-06-27,0.23197317424522584
1,2016-06-28,0.22117264993872068
1,2016-06-29,0.21053571042736974
1,2016-06-30,0.20020147018050946
1,2016-07-01,0.19020976148885682
1,2016-07-02,0.1806390053094039
1,2016-07-03,0.17171488625439027
1,2016-07-04,0.1634776772909358
1,2016-07-05,0.155963125384274
1,2016-07-06,0.1491222519441051
1,2016-07-07,0.14277630730298535
1,2016-07-08,0.1368694445210679
1,2016-07-09,0.13132041996035373
1,2016-07-10,0.12602436430769895
1,2016-07-11,0.12088038843719377
1,2016-07-12,0.11597579958725188
1,2016-07-13,0.11142520307334379
1,2016-07-14,0.10722302464403408
1,2016-07-15,0.10326838537736702
1,2016-07-16,0.09956422195708667
1,2016-07-17,0.09634589337199738
1,2016-07-18,0.09358958716631845
1,2016-07-19,0.09119061650314347
1,2016-07-20,0.0893050433530983
1,2016-07-21,0.08812144547869709
1,2016-07-22,0.08754658744358519
1,2016-07-23,0.08751091826465204
1,2016-07-24,0.08781026719719952
1,2016-07-25,0.08825740305174698
1,2016-07-26,0.08844409506419729
1,2016-07-27,0.08790404669829747
1,2016-07-28,0.08656658388800392
1,2016-07-29,0.08449156801474376
1,2016-07-30,0.0816352835395056
1,2016-07-31,0.07775328960144649
1,2016-08-01,0.0730702889112989
1,2016-08-02,0.06782884290532136
1,2016-08-03,0.062330323579378746
1,2016-08-04,0.05671744354697578
1,2016-08-05,0.051146790454488125
1,2016-08-06,0.04573152423852829
1,2016-08-07,0.04098013785381075
1,2016-08-08,0.03736594827549448
1,2016-08-09,0.03509843906641645
1,2016-08-10,0.03431279205491501
1,2016-08-11,0.035012882059040636
1,2016-08-12,0.037268046712602164
1,2016-08-13,0.04107479873703108
1,2016-08-14,0.0462350037438647
1,2016-08-15,0.052581458802647134
1,2016-08-16,0.06004308441317561
1,2016-08-17,0.0681303750128625
1,2016-08-18,0.07633834333247268
1,2016-08-19,0.0843584049931951
1,2016-08-20,0.09177356900018177
1,2016-08-21,0.098300893958082
1,2016-08-22,0.10370417022980859
1,2016-08-23,0.10791500058442337
1,2016-08-24,0.1109335866740322
1,2016-08-25,0.1124609398670533
1,2016-08-26,0.11213930185885523
1,2016-08-27,0.10986099740603744
1,2016-08-28,0.10599945320619214
1,2016-08-29,0.10048612504557904
1,2016-08-30,0.0932762232470753
1,2016-08-31,0.0846341828266048
1,2016-09-01,0.075031520905378
1,2016-09-02,0.06484245084211533
1,2016-09-03,0.05450565198438905
1,2016-09-04,0.0443978281561651
1,2016-09-05,0.03482191694848558
