site,date,value
1,2014-01-01,-0.4134788033754964
1,2014-01-02,-0.41385495783432963
1,2014-01-03,-0.4142482207288971
1,2014-01-04,-0.41464287284887635
1,2014-01-05,-0.41502789463330125
1,2014-01-06,-0.4153949672914456
1,2014-01-07,-0.4157329441460595
1,2014-01-08,-0.4160241858460183
1,2014-01-09,-0.4162516955434844
1,2014-01-10,-0.4164118401318269
1,2014-01-11,-0.4164995794433038
1,2014-01-12,-0.4165112445181014
1,2014-01-13,-0.4164439428642571
1,2014-01-14,-0.4163109002347466
1,2014-01-15,-0.41613091897173565
1,2014-01-16,-0.41592204000838534
1,2014-01-17,-0.4156961942521977
1,2014-01-18,-0.41545360767231626
1,2014-01-19,-0.41520854973807836
1,2014-01-20,-0.4149772982254229
1,2014-01-21,-0.41478264413830296
1,2014-01-22,-0.41463088923870256
1,2014-01-23,-0.4145290364379035
1,2014-01-24,-0.41448938800133894
1,2014-01-25,-0.4145268036701825
1,2014-01-26,-0.414656613845067
1,2014-01-27,-0.41488843881268156
1,2014-01-28,-0.4152030452020078
1,2014-01-29,-0.41557637274970993
1,2014-01-30,-0.41598714301580636
1,2014-01-31,-0.41642221801522344
1,2014-02-01,-0.4168618626067039
1,2014-02-02,-0.4172796586131068
1,2014-02-03,-0.41764776729156344
1,2014-02-04,-0.41794402395806296
1,2014-02-05,-0.41815279948395445
1,2014-02-06,-0.41825852250009016
1,2014-02-07,-0.4182362382636683
1,2014-02-08,-0.4180667271830019
1,2014-02-09,-0.4177477343210911
1,2014-02-10,-0.4172900530213014
1,2014-02-11,-0.4167071483964593
1,2014-02-12,-0.4160210370697122
1,2014-02-13,-0.4152562385104624
1,2014-02-14,-0.41443362172343085
1,2014-02-15,-0.41357106605481153
1,2014-02-16,-0.4126920929565182
1,2014-02-17,-0.4118354511956807
1,2014-02-18,-0.41103728592294253
1,2014-02-19,-0.41032419847137636
1,2014-02-20,-0.4097331997312653
1,2014-02-21,-0.4092996228752241
1,2014-02-22,-0.4090484999305697
1,2014-02-23,-0.40899039219743966
1,2014-02-24,-0.4091193706442536
1,2014-02-25,-0.40942952565538754
1,2014-02-26,-0.40991747799081446
1,2014-02-27,-0.41057989881719187
1,2014-02-28,-0.41140333976093
1,2014-03-01,-0.41236520062824894
1,2014-03-02,-0.41343601409243047
1,2014-03-03,-0.41457642647963955
1,2014-03-04,-0.4157455317957512
1,2014-03-05,-0.4168977707411737
1,2014-03-06,-0.4179936875873734
1,2014-03-07,-0.41900255463933606
1,2014-03-08,-0.4199045729533268
1,2014-03-09,-0.42067481430014
1,2014-03-10,-0.4212897386051886
1,2014-03-11,-0.42171776578097653
1,2014-03-12,-0.4219412817809496
1,2014-03-13,-0.4219603831554965
1,2014-03-14,-0.42177536801535037
1,2014-03-15,-0.4213973997079922
1,2014-03-16,-0.4208628747749261
1,2014-03-17,-0.42021691740446765
1,2014-03-18,-0.4195012975801796
1,2014-03-19,-0.4187352994862631
1,2014-03-20,-0.4179387805198734
1,2014-03-21,-0.41714628371602713
1,2014-03-22,-0.4163873339389857
1,2014-03-23,-0.41570337594767903
1,2014-03-24,-0.41512674583042203
1,2014-03-25,-0.41466834339755454
1,2014-03-26,-0.4143419723266704
1,2014-03-27,-0.41414306297456627
1,2014-03-28,-0.41406505078516004
1,2014-03-29,-0.4140860062333626
1,2014-03-30,-0.4141843910575374
1,2014-03-31,-0.4143538452080726
1,2014-04-01,-0.41458258054891706
1,2014-04-02,-0.414847350772087
1,2014-04-03,-0.41512010916948244
1,2014-04-04,-0.41535980938331923
1,2014-04-05,-0.4155209900696837
1,2014-04-06,-0.41555949714000584
1,2014-04-07,-0.415441289100939
1,2014-04-08,-0.41513012847834746
1,2014-04-09,-0.414588692376787
1,2014-04-10,-0.4137911818236734
1,2014-04-11,-0.41273639050893035
1,2014-04-12,-0.4114240897659426
1,2014-04-13,-0.40985494076586665
1,2014-04-14,-0.4080343736103705
1,2014-04-15,-0.4059848082550925
1,2014-04-16,-0.4037315479548965
1,2014-04-17,-0.4013126816509724
1,2014-04-18,-0.3987802673258879
1,2014-04-19,-0.3961829843539953
1,2014-04-20,-0.39354831299104437
1,2014-04-21,-0.39087259383734563
1,2014-04-22,-0.3881271948350231
1,2014-04-23,-0.3852431644869725
1,2014-04-24,-0.38222308285506557
1,2014-04-25,-0.3789503789806081
1,2014-04-26,-0.37533852203783113
1,2014-04-27,-0.37131612552672694
1,2014-04-28,-0.3667451641279066
1,2014-04-29,-0.3614458056484089
1,2014-04-30,-0.3553831538034628
1,2014-05-01,-0.3485469250076401
1,2014-05-02,-0.34071442251828304
1,2014-05-03,-0.33148508658308184
1,2014-05-04,-0.3205765954660432
1,2014-05-05,-0.3077516495405377
1,2014-05-06,-0.29270706344852243
1,2014-05-07,-0.27515779052136263
1,2014-05-08,-0.2547803794898308
1,2014-05-09,-0.2313816199029158
1,2014-05-10,-0.20472584368505237
1,2014-05-11,-0.1746537631537334
1,2014-05-12,-0.14141063601362516
1,2014-05-13,-0.10513808536677666
1,2014-05-14,-0.06594936254471145
1,2014-05-15,-0.024113403674264726
1,2014-05-16,0.019979709722934034
1,2014-05-17,0.0657475040779257
1,2014-05-18,0.1123962656860497
1,2014-05-19,0.159076381641869
1,2014-05-20,0.20499922738847073
1,2014-05-21,0.24923628286285826
1,2014-05-22,0.2913381843109011
1,2014-05-23,0.33086135147588236
1,2014-05-24,0.3672593045061593
1,2014-05-25,0.40015060536569613
1,2014-05-26,0.42950878139660115
1,2014-05-27,0.4551676493963108
1,2014-05-28,0.47664342035938556
1,2014-05-29,0.4937495044496426
1,2014-05-30,0.5066562096041626
1,2014-05-31,0.5155731613062093
1,2014-06-01,0.5208861909322781
1,2014-06-02,0.522947392262995
1,2014-06-03,0.5219201016434603
1,2014-06-04,0.5180725336779222
1,2014-06-05,0.511503245235562
1,2014-06-06,0.50260166575897
1,2014-06-07,0.49197118026756387
1,2014-06-08,0.4801915464829046
1,2014-06-09,0.4676913977503677
1,2014-06-10,0.4549471874265492
1,2014-06-11,0.44250467967750995
1,2014-06-12,0.4308548385051683
1,2014-06-13,0.4201228268383153
1,2014-06-14,0.41046623907702673
1,2014-06-15,0.40211237657597104
1,2014-06-16,0.3953218280043783
1,2014-06-17,0.3902049478154529
1,2014-06-18,0.38689038768983064
1,2014-06-19,0.38516994037059116
1,2014-06-20,0.38482886537944355
1,2014-06-21,0.3855630613602025
1,2014-06-22,0.386866131077717
1,2014-06-23,0.3883694557444025
1,2014-06-24,0.38975206553193426
1,2014-06-25,0.39072767729847335
1,2014-06-26,0.390997893996387
1,2014-06-27,0.3903407631155724
1,2014-06-28,0.3885994976258962
1,2014-06-29,0.3857259601152653
1,2014-06-30,0.3816046747134149
1,2014-07-01,0.3763050550061773
1,2014-07-02,0.3699912195845123
1,2014-07-03,0.3630480353697686
1,2014-07-04,0.35591879439549
1,2014-07-05,0.34884199799566484
1,2014-07-06,0.3420401546751296
1,2014-07-07,0.3356579307416499
1,2014-07-08,0.3298279287312018
1,2014-07-09,0.32477758510875965
1,2014-07-10,0.32075401895859623
1,2014-07-11,0.31795022469065404
1,2014-07-12,0.3164541015757336
1,2014-07-13,0.3161604498908431
1,2014-07-14,0.3168781027125847
1,2014-07-15,0.318383677607297
1,2014-07-16,0.3204169424288751
1,2014-07-17,0.3229175633965716
1,2014-07-18,0.32569059894359037
