V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
58406.56211170924,-17696.468837266228,-45969.251223264444,-110462.78609866316,-219027.42059673212,21375.907043260813,-6679.552640613536,1826.1713175752536,-50226.289625957164,-64679.92946014032,86483.70923011919,34883.33818014267,89844.22009551754,-149877.99975631808,106551.35198107387,-8797.30940633301,67341.72374431958,40439.08318345484,-5355.151991621105,-22790.94377755907,-84751.91548848322,12766.294096118412,35661.68326461823,-20260.194676188126,-18851.803647564655,-103898.22904130594,55177.543858432306,114301.52951282456,50281.72805656616,75930.14334257772,103155.89524197858,-60270.00160255181,-6040.589572137363,-10594.74451759222,42228.57695844898,61901.73742458712,93958.18655211385,-34751.061544149445,-74162.59606391953,45110.5163842215,-67037.7206822186,7837.73656973122,78574.01545420934,-20947.967909543113,-83714.350063521,-157911.77210451823,-20748.347189494714,-104167.71685565081,-53597.3855529023,-107673.16743089023,6702.6668452769645,-104133.6354267695,44477.70638410945,152723.62013564847,-46166.05271968011,15773.921076399762
-17696.468837266228,5361.844056158979,13928.226304499169,33468.864869564786,66362.7014629899,-6476.495452299171,2023.8103053762159,-553.1584657871338,15217.980371648426,19597.302184351083,-26203.50389537661,-10569.205292135068,-27221.68407572085,45411.21935100368,-32283.752768923525,2665.492081148167,-20403.71204812453,-12252.656982289669,1622.5484989231302,6905.43341732034,25678.90022517426,-3868.081796846797,-10805.124982054056,6138.473004708346,5711.875986515005,31479.906930187484,-16718.07040049464,-34631.923932920174,-15234.824778010843,-23005.936271145805,-31254.907324008473,18261.176631045244,1830.2254662101284,3210.0369322758966,-12794.752502813777,-18755.433844263076,-28468.255423422936,10529.154951757731,22470.364820807903,-13668.024436425329,20311.670111758118,-2374.6471191820474,-23807.04853957601,6346.8592918204,25364.568197265686,47845.33755832449,6286.469987772625,31561.52888723944,16239.396172895542,32623.60160215762,-2030.7512277659166,31551.278085245605,-13476.239542608893,-46273.42207670719,13987.873478718957,-4779.303202777972
-45969.251223264444,13928.226304499169,36180.7855876524,86940.53486338344,172387.20105481797,-16823.578784781257,5257.226161103004,-1436.9620935865291,39531.10223910634,50907.01447077743,-68067.56435888185,-27455.08087448852,-70712.46102080849,117962.57953667195,-83861.93457463721,6924.035878045307,-53001.7692772118,-31828.173834449593,4214.779461263311,17937.836902964846,66704.772296762,-10047.910461027224,-28067.927874571724,15945.633311642394,14837.478708875744,81773.84648798252,-43427.61405715279,-89961.66995541293,-39574.7691042408,-59761.48482889852,-81189.39141012418,47436.156624530675,4754.299975467047,8338.511912594468,-33236.44458259365,-48720.06659879633,-73950.58632594872,27351.068122355162,58370.29275898577,-35504.785402161535,52762.68346096469,-6168.545093905597,-61842.37309780421,16486.929244056515,65888.46736028243,124285.58317992272,16330.123761638017,81985.7769446298,42184.38494336835,84744.74673007836,-5275.147358886009,81959.27670699469,-35006.68178128709,-120202.28458471301,36335.646468509294,-12414.954710415168
-110462.78609866316,33468.864869564786,86940.53486338344,208916.05049633046,414240.7040934974,-40427.765539672684,12633.41829660691,-3454.886342002259,94992.07249961428,122327.36386864542,-163564.41139664635,-65973.85616480882,-169920.24560080998,283460.71311651904,-201517.86083997763,16638.100625685835,-127361.92102801758,-76481.04214018978,10127.85187822161,43103.20706842157,160288.1807127989,-24144.216827705117,-67445.53765829589,38318.2581713945,35653.947239867986,196500.07928356697,-104355.5280064664,-216175.74889336943,-95096.11549852275,-143605.07552999406,-195096.6566936646,113986.43206533321,11424.467956061955,20037.480046075874,-79866.6311014872,-117073.31199506643,-177700.19462447733,65723.69097502116,140262.48516981653,-85316.05942255036,126786.69863648867,-14824.014730004488,-148604.32953560064,39619.020696170955,158326.97249065473,298654.9475464497,39241.3457339994,197009.34178877287,101367.71566892654,203639.79945903705,-12676.733080123864,196945.23276168032,-84119.9832707785,-288842.44204847305,87312.16227461513,-29832.786203414817
-219027.42059673212,66362.7014629899,172387.20105481797,414240.7040934974,821363.6529920636,-80160.25722416339,25048.5532782823,-6847.677567504718,188351.04537597418,242553.08155662834,-324318.09528251074,-130814.15973595207,-336920.1130019497,562049.7809621021,-399572.72107129905,32990.370947073876,-252534.67348968846,-151648.8664483697,20082.1178941341,85467.39324574903,317824.20013658865,-47874.41390432003,-133733.30221594463,75976.27843856438,70695.19737929948,389623.4218305253,-206918.36813951732,-428636.1220319813,-188559.17241684557,-284741.76571493066,-386839.3410793505,226015.79202216776,22652.495036735494,39730.69270586976,-158359.14467885613,-232134.40309874836,-352348.01945933147,130318.19687652508,278113.2554094717,-169166.92032293387,251394.87969115915,-29391.54455045871,-294656.68170226645,78555.48450313346,313933.2437123878,592176.749783877,77807.16930501915,390633.9832895855,200992.87502641365,403779.4166918804,-25135.09008645207,390506.34037238295,-166793.60352400556,-572721.0374033361,173125.34242439762,-59152.970232710744
21375.907043260813,-6476.495452299171,-16823.578784781257,-40427.765539672684,-80160.25722416339,7823.903252521886,-2444.736729347893,669.1660140783849,-18381.97162541166,-23671.50551384463,31651.68347720867,12766.829838419355,32881.664721512934,-54852.94606646826,38996.13439611768,-3219.6199666566163,24646.081585886503,14799.542834878206,-1959.8519329520118,-8340.768422173074,-31017.264473026946,4671.979904575124,13051.227535821989,-7415.551307031292,-6899.428716275676,-38025.066485819305,20194.275628828556,41832.78345404829,18401.93569441327,27789.147169464846,37753.81849150519,-22057.326891134468,-2210.7700992235223,-3877.6850289436147,15455.064404501605,22655.230664133578,34386.81998405987,-12718.29405431696,-27142.426343242212,16509.29032767136,-24534.47499104305,2868.997982416906,28756.38704192798,-7667.239235390403,-30637.54013015743,-57793.27711891879,-7593.760399339354,-38123.75991218009,-19615.657452843814,-39406.949407908476,2453.4277902449903,-38111.015831950295,16278.043177287313,55894.33229306132,-16895.433277146993,5773.006601112903
-6679.552640613536,2023.8103053762159,5257.226161103004,12633.41829660691,25048.5532782823,-2444.736729347893,764.3411372275292,-209.78193888455533,5744.355157198882,7396.903492116892,-9890.582053300905,-3989.308691931196,-10275.056483695946,17140.817798724758,-12185.615458468512,1006.0697817281471,-7701.6436123718095,-4624.432307454958,612.2639547051906,2605.855099680334,9691.740221813208,-1459.6992759821728,-4077.9790049661574,2317.6182906112936,2155.9700933598647,11882.192490388243,-6310.044468405817,-13072.113407016992,-5750.03224343276,-8683.906740384362,-11797.755270610354,6892.116369392019,690.8692191635873,1211.600742634846,-4830.0524823779615,-7079.432840383285,-10744.958636244824,3974.174326842762,8482.037837883863,-5158.721458698821,7666.631951259672,-896.952634954332,-8985.423693890556,2396.2626555426114,9573.958377697818,18059.728846553928,2373.28966059734,11912.692603278205,6129.856913634373,12314.150776363134,-766.6931513500737,11909.046123379365,-5086.968378348821,-17466.155925455714,5279.262051707356,-1803.9410624578861
1826.1713175752536,-553.1584657871338,-1436.9620935865291,-3454.886342002259,-6847.677567504718,669.1660140783849,-209.78193888455533,59.563699133650175,-1570.9296939310912,-2021.8297113445337,2704.0927336109676,1090.6337977286312,2809.53058932312,-4686.642943327791,3331.60610468731,-274.9776887806189,2106.021643579594,1263.3389990116812,-167.0785397858396,-711.1742148174969,-2647.9383779074587,398.3532350935442,1113.912941744307,-635.1503351948105,-589.4311169219226,-3248.5894527239766,1724.9104408482435,3574.4167674131304,1571.1421711874798,2374.5224705195847,3226.618589864184,-1882.912013306026,-188.96614527385248,-331.33021052593864,1321.6148260058012,1935.8763125464507,2936.63657840657,-1086.3723336787557,-2319.922997275525,1409.5528429018511,-2095.7484805549884,246.63628692135927,2455.284878452568,-656.6021010978337,-2617.1326155211555,-4938.182319533153,-649.7185688988567,-3256.481414264832,-1676.2033387180181,-3367.3503215149317,210.17776565220365,-3255.6398846166053,1391.230726677007,4775.381980102639,-1442.0874829126278,493.1642246084518
-50226.289625957164,15217.980371648426,39531.10223910634,94992.07249961428,188351.04537597418,-18381.97162541166,5744.355157198882,-1570.9296939310912,43192.02750740416,55621.07058213614,-74371.04967677142,-29997.602099010743,-77261.0003548403,128886.7358833913,-91628.09517496165,7565.198863214619,-57910.19668998459,-34775.20829611568,4604.990233422618,19598.51559501035,72881.34302319564,-10978.112693392575,-30666.780914202467,17422.930263000268,16211.504707189251,89346.59434142652,-47449.262616632746,-98292.89196010344,-43239.248045986555,-65295.84104524902,-88708.47493720103,51828.46262024979,5194.603194186975,9110.785892901422,-36314.68046269677,-53232.00851698209,-80798.44557222747,29883.882372155636,63776.03841489235,-38792.36794373339,57648.66180699417,-6740.356771064106,-67568.83080390266,18014.34054627613,71989.84423469863,135795.4089416124,17842.70314527233,89578.04444517648,46090.96368599636,92592.91427006118,-5763.93294187426,89549.0450006078,-38248.61567586885,-131333.76517120542,39699.99258836833,-13564.648762904
-64679.92946014032,19597.302184351083,50907.01447077743,122327.36386864542,242553.08155662834,-23671.50551384463,7396.903492116892,-2021.8297113445337,55621.07058213614,71627.32617167561,-95772.80418939971,-38630.075041158365,-99494.21099811156,165976.21287297018,-117995.87853661866,9742.263071747644,-74574.77055320023,-44782.910193676886,5930.366631230637,25239.100516727784,93855.37234719751,-14137.664828475117,-39492.285252608635,22435.957592401744,20876.67880056712,115057.83832369915,-61103.99191405667,-126578.38547036293,-55682.664558657445,-84085.74511804411,-114235.51008908688,66743.85704100045,6689.399426156937,11732.619567458803,-46764.23712417229,-68550.4122266007,-104050.35170551731,38483.66050501109,82128.25288070497,-49956.031316638364,74238.30755906404,-8679.278373270945,-87013.8259199395,23197.589473674474,92706.35461484606,174872.82353851118,22976.784121587014,115356.23501503633,59354.28566630507,119238.03751817449,-7422.388341955776,115318.65567526892,-49255.05629654564,-169127.53391204032,51125.05597241718,-17468.172334325373
86483.70923011919,-26203.50389537661,-68067.56435888185,-163564.41139664635,-324318.09528251074,31651.68347720867,-9890.582053300905,2704.0927336109676,-74371.04967677142,-95772.80418939971,128058.09321905597,51652.41561073596,133034.07506060458,-221927.26296395453,157772.64085288453,-13026.335061397041,99714.19545015709,59878.914197258506,-7929.469923315913,-33746.95824483425,-125493.74731276685,18903.290347722985,52804.92358466481,-29999.666652813434,-27914.224212696932,-153844.1028003327,81702.43148898394,169248.47116162858,74453.09614736449,112431.25064848308,152744.93767735595,-89242.91711419748,-8944.416930597645,-15687.824774327546,62528.71899099441,91659.10480707815,139125.6713487445,-51456.55741470007,-109814.01682624288,66796.01167844346,-99264.05486731284,11605.512496093823,116346.0265006863,-31018.089562762932,-123957.4660151892,-233823.03205889644,-30722.50252365596,-154243.1135448043,-79362.70827737433,-159433.74604042445,9924.761872147743,-154192.67097890246,65859.02030280752,226140.80911532207,-68358.94462534536,23356.751137690724
34883.33818014267,-10569.205292135068,-27455.08087448852,-65973.85616480882,-130814.15973595207,12766.829838419355,-3989.308691931196,1090.6337977286312,-29997.602099010743,-38630.075041158365,51652.41561073596,20834.102679573334,53659.467089587524,-89514.62311199735,63637.816638803895,-5254.188623001232,40219.833141709765,24152.23369743026,-3198.388829914947,-13611.949323003204,-50618.150839977294,7624.685749638693,21298.96682753266,-12100.388157655687,-11259.235904244448,-62053.22764206367,32954.86609783681,68266.60979080445,30030.780003909495,45349.238297336655,61609.85016675858,-35996.29314676695,-3607.736178461961,-6327.744030759868,25220.929238202865,36970.82832215831,56116.56600430258,-20755.085383655478,-44293.545842033505,26942.253886171937,-40038.26419587056,4681.056198773099,46928.38232215616,-12511.164679500465,-49998.31687589417,-94312.78477743884,-12391.907016414156,-62214.24207455436,-32010.986304105558,-64307.81427291898,4003.1902675067836,-62193.807126024534,26564.248451600342,91214.17496730646,-27572.677529243505,9420.982147074064
