site,date,value
1,2015-01-01,-0.4604109052824604
1,2015-01-02,-0.46195454673325775
1,2015-01-03,-0.4635458623342288
1,2015-01-04,-0.46512406501540177
1,2015-01-05,-0.4666058569777549
1,2015-01-06,-0.46787052741496193
1,2015-01-07,-0.46878769081146043
1,2015-01-08,-0.46925530162638257
1,2015-01-09,-0.469215471116475
1,2015-01-10,-0.468645413311244
1,2015-01-11,-0.46755728329200985
1,2015-01-12,-0.46601164611748647
1,2015-01-13,-0.46410693831428773
1,2015-01-14,-0.46196547399894666
1,2015-01-15,-0.45974000099508194
1,2015-01-16,-0.4575884030513486
1,2015-01-17,-0.45566201853669985
1,2015-01-18,-0.45407881292305563
1,2015-01-19,-0.4529130449057586
1,2015-01-20,-0.4521875513433052
1,2015-01-21,-0.4518755779893852
1,2015-01-22,-0.4519315442741252
1,2015-01-23,-0.45229187446116675
1,2015-01-24,-0.4528833140241382
1,2015-01-25,-0.4536287486518042
1,2015-01-26,-0.45444692063029124
1,2015-01-27,-0.4552637618722509
1,2015-01-28,-0.4560272819620466
1,2015-01-29,-0.45672826168815667
1,2015-01-30,-0.45737327123841004
1,2015-01-31,-0.45796835855621393
1,2015-02-01,-0.458548942704513
1,2015-02-02,-0.4591359669259013
1,2015-02-03,-0.459698485139877
1,2015-02-04,-0.46018188494624723
1,2015-02-05,-0.460469322694139
1,2015-02-06,-0.4604545392319628
1,2015-02-07,-0.46003113487713787
1,2015-02-08,-0.4591457183304842
1,2015-02-09,-0.4577608647330642
1,2015-02-10,-0.4558674078401929
1,2015-02-11,-0.4535534104037463
1,2015-02-12,-0.45094762983661857
1,2015-02-13,-0.44817673844484246
1,2015-02-14,-0.4453984504970088
1,2015-02-15,-0.442772635400502
1,2015-02-16,-0.44048101867810896
1,2015-02-17,-0.43869240509656554
1,2015-02-18,-0.4375319115685687
1,2015-02-19,-0.43707403931767275
1,2015-02-20,-0.43731162769035464
1,2015-02-21,-0.4381705059930557
1,2015-02-22,-0.43951720826240154
1,2015-02-23,-0.44116193463408604
1,2015-02-24,-0.44286769859711056
1,2015-02-25,-0.44438930118576364
1,2015-02-26,-0.44552158025475014
1,2015-02-27,-0.44609222858196224
1,2015-02-28,-0.4459805285075729
1,2015-03-01,-0.44514381054447155
1,2015-03-02,-0.44360415901530237
1,2015-03-03,-0.4414603761716632
1,2015-03-04,-0.4388782751763262
1,2015-03-05,-0.4360677540494187
1,2015-03-06,-0.43326723260370503
1,2015-03-07,-0.4307190025946141
1,2015-03-08,-0.42864500329122196
1,2015-03-09,-0.4272106557292686
1,2015-03-10,-0.42650785743072084
1,2015-03-11,-0.42654069166955166
1,2015-03-12,-0.42724808302441214
1,2015-03-13,-0.4285194599287183
1,2015-03-14,-0.4302074982265358
1,2015-03-15,-0.43214886150038384
1,2015-03-16,-0.43416883395702627
1,2015-03-17,-0.43609915218459094
1,2015-03-18,-0.4377878083965412
1,2015-03-19,-0.43911103852846456
1,2015-03-20,-0.4400062477814427
1,2015-03-21,-0.44046609552790006
1,2015-03-22,-0.4405288919958387
1,2015-03-23,-0.4402700496780824
1,2015-03-24,-0.43979262587843754
1,2015-03-25,-0.4392122280231475
1,2015-03-26,-0.4386416400140789
1,2015-03-27,-0.438171941786621
1,2015-03-28,-0.43787026549377184
1,2015-03-29,-0.4377775645526289
1,2015-03-30,-0.4379122749949063
1,2015-03-31,-0.4382623705651999
1,2015-04-01,-0.43878651630369336
1,2015-04-02,-0.4394267790087228
1,2015-04-03,-0.44011274583506665
1,2015-04-04,-0.44076447221493803
1,2015-04-05,-0.4413067670265058
1,2015-04-06,-0.4416667436031719
1,2015-04-07,-0.441786235342607
1,2015-04-08,-0.4416247947739381
1,2015-04-09,-0.4411624087063513
1,2015-04-10,-0.44039539231732683
1,2015-04-11,-0.4393319303504001
1,2015-04-12,-0.43799861513789407
1,2015-04-13,-0.43644434826226874
1,2015-04-14,-0.4347291679071209
1,2015-04-15,-0.43292183587632954
1,2015-04-16,-0.43110949806664833
1,2015-04-17,-0.4293942245806453
1,2015-04-18,-0.42787849201227546
1,2015-04-19,-0.4266528601551166
1,2015-04-20,-0.42577739909350293
1,2015-04-21,-0.4252627387157531
1,2015-04-22,-0.4250703120953296
1,2015-04-23,-0.4251278256776856
1,2015-04-24,-0.42531271847789864
1,2015-04-25,-0.4254587727217013
1,2015-04-26,-0.42538841067506133
1,2015-04-27,-0.42493100766654346
1,2015-04-28,-0.42394568730208776
1,2015-04-29,-0.4223092861546152
1,2015-04-30,-0.4199217447838398
1,2015-05-01,-0.4167461991230162
1,2015-05-02,-0.4128304181827653
1,2015-05-03,-0.4082807750472371
1,2015-05-04,-0.4032132370221008
1,2015-05-05,-0.3976629887279585
1,2015-05-06,-0.39165093161103265
1,2015-05-07,-0.3850095393784449
1,2015-05-08,-0.3773246328088031
1,2015-05-09,-0.3680154194826884
1,2015-05-10,-0.3563846452594181
1,2015-05-11,-0.34165633734547163
1,2015-05-12,-0.3230402891687736
1,2015-05-13,-0.2999051941288768
1,2015-05-14,-0.2719301739411209
1,2015-05-15,-0.23880584511087863
1,2015-05-16,-0.20039849798326753
1,2015-05-17,-0.15671279827552145
1,2015-05-18,-0.10814345731574988
1,2015-05-19,-0.05572588054789453
1,2015-05-20,-5.281089287977307e-4
1,2015-05-21,0.05598268518847525
1,2015-05-22,0.1122042065432965
1,2015-05-23,0.16659183161433805
1,2015-05-24,0.21777814911219695
1,2015-05-25,0.26463549430941813
1,2015-05-26,0.3066280073382048
1,2015-05-27,0.3434894565894977
1,2015-05-28,0.37500764363965083
1,2015-05-29,0.4012925445284177
1,2015-05-30,0.42258709557385465
1,2015-05-31,0.4392125226347085
1,2015-06-01,0.45160722745212944
1,2015-06-02,0.46048817454635327
1,2015-06-03,0.46642058083622384
1,2015-06-04,0.46993817389645814
1,2015-06-05,0.4713725563601024
1,2015-06-06,0.4710943973809348
1,2015-06-07,0.46946849146453423
1,2015-06-08,0.4669160994077957
1,2015-06-09,0.4637532458051657
1,2015-06-10,0.46035889828848525
1,2015-06-11,0.4570491617727014
1,2015-06-12,0.4540798514545679
1,2015-06-13,0.4516642972283189
1,2015-06-14,0.4499240180284606
1,2015-06-15,0.449067977297314
1,2015-06-16,0.44907778066159515
1,2015-06-17,0.4498154674367877
1,2015-06-18,0.4510565377909896
1,2015-06-19,0.4523834930455831
1,2015-06-20,0.45330845333707304
1,2015-06-21,0.4533889950559205
1,2015-06-22,0.45220209396497674
1,2015-06-23,0.44945345086276506
1,2015-06-24,0.4449793156854103
1,2015-06-25,0.43884171231020386
1,2015-06-26,0.43123728317378024
1,2015-06-27,0.42255995550524433
1,2015-06-28,0.41332541871969425
1,2015-06-29,0.4040223980086746
1,2015-06-30,0.395167537431703
1,2015-07-01,0.38717142208714633
1,2015-07-02,0.3803709735524
1,2015-07-03,0.37499717548013495
1,2015-07-04,0.3711514540325404
1,2015-07-05,0.368782623841886
1,2015-07-06,0.3677084027151891
1,2015-07-07,0.36761508571559764
1,2015-07-08,0.36815866917444734
1,2015-07-09,0.36895411815054924
1,2015-07-10,0.3696587812164653
1,2015-07-11,0.37004540941505604
1,2015-07-12,0.3700167501174247
1,2015-07-13,0.3695718193890493
1,2015-07-14,0.3687835143454351
1,2015-07-15,0.36776346432830875
1,2015-07-16,0.36662978463739937
1,2015-07-17,0.36550549277638683
1,2015-07-18,0.36448078642476606
1,2015-07-19,0.3635968562558642
1,2015-07-20,0.3628712596470305
1,2015-07-21,0.3623029655374085
1,2015-07-22,0.3618062426506032
1,2015-07-23,0.36119757030955285
1,2015-07-24,0.3602967974585496
1,2015-07-25,0.35895436371924455
1,2015-07-26,0.3570883959560441
1,2015-07-27,0.3546637301626911
1,2015-07-28,0.35170434051825705
1,2015-07-29,0.34826053086704983
1,2015-07-30,0.3444300860953455
1,2015-07-31,0.3403185172101096
1,2015-08-01,0.33606975842995773
1,2015-08-02,0.3318323549615578
1,2015-08-03,0.3277195202862231
1,2015-08-04,0.3238543913798712
1,2015-08-05,0.32033943668482573
1,2015-08-06,0.31724663126214214
1,2015-08-07,0.31461659751832005
1,2015-08-08,0.3124536045454526
1,2015-08-09,0.3107347878169701
1,2015-08-10,0.3094077890841171
1,2015-08-11,0.3084340176683891
1,2015-08-12,0.3077296727292903
1,2015-08-13,0.3071755278261116
1,2015-08-14,0.30667484378705484
1,2015-08-15,0.30614458180333237
1,2015-08-16,0.3054743296956202
1,2015-08-17,0.30464638421812135
1,2015-08-18,0.3036327474907639
1,2015-08-19,0.30236215293685104
1,2015-08-20,0.30084104614428686
1,2015-08-21,0.2990697832078216
1,2015-08-22,0.29704327411861114
1,2015-08-23,0.2947684899852322
1,2015-08-24,0.2922152454241037
1,2015-08-25,0.2893383400284506
1,2015-08-26,0.2860776953480231
1,2015-08-27,0.2823318229420321
1,2015-08-28,0.2779539515968455
1,2015-08-29,0.27277032922040384
1,2015-08-30,0.266612519461072
1,2015-08-31,0.25927535466861806
1,2015-09-01,0.2505974400297129
1,2015-09-02,0.24048596758699353
1,2015-09-03,0.2290943509991033
1,2015-09-04,0.2167228016816486
1,2015-09-05,0.20366782452570012
1,2015-09-06,0.19035823132186286
1,2015-09-07,0.17712567548435193
