site,date,value
1,2014-01-01,-0.19582562830197747
1,2014-01-02,-0.1967080451618374
1,2014-01-03,-0.19929267793557248
1,2014-01-04,-0.20340410287114707
1,2014-01-05,-0.20893649376891837
1,2014-01-06,-0.21586568267652428
1,2014-01-07,-0.22408827155034858
1,2014-01-08,-0.2334014428048327
1,2014-01-09,-0.24343838188774136
1,2014-01-10,-0.2539666705386718
1,2014-01-11,-0.26467189222327886
1,2014-01-12,-0.275283400189463
1,2014-01-13,-0.28546818657391
1,2014-01-14,-0.2949268221067335
1,2014-01-15,-0.3033593119939993
1,2014-01-16,-0.3106350850814596
1,2014-01-17,-0.3166137641082997
1,2014-01-18,-0.3211233887484349
1,2014-01-19,-0.3239841222793714
1,2014-01-20,-0.32514239726785504
1,2014-01-21,-0.3246264773483279
1,2014-01-22,-0.32255925959887494
1,2014-01-23,-0.31909180075463167
1,2014-01-24,-0.3143612587620157
1,2014-01-25,-0.3085673100498874
1,2014-01-26,-0.30193430919536696
1,2014-01-27,-0.29468139444610153
1,2014-01-28,-0.2870127047442997
1,2014-01-29,-0.2791818604223623
1,2014-01-30,-0.27139530627723163
1,2014-01-31,-0.26383692844317025
1,2014-02-01,-0.2566568198536096
1,2014-02-02,-0.2500201525429177
1,2014-02-03,-0.24406889324700898
1,2014-02-04,-0.2389331657739907
1,2014-02-05,-0.23475228206101204
1,2014-02-06,-0.2316495848872713
1,2014-02-07,-0.22968210513911883
1,2014-02-08,-0.2289048997538783
1,2014-02-09,-0.22935010572844516
1,2014-02-10,-0.23103597050633712
1,2014-02-11,-0.23389580178368607
1,2014-02-12,-0.23783654770824778
1,2014-02-13,-0.24273630696618245
1,2014-02-14,-0.24844387479353675
1,2014-02-15,-0.2547917608493637
1,2014-02-16,-0.26156442378710504
1,2014-02-17,-0.26854061025440384
1,2014-02-18,-0.27547412533571675
1,2014-02-19,-0.2820972516000227
1,2014-02-20,-0.2881521467270805
1,2014-02-21,-0.2934151083487194
1,2014-02-22,-0.2977314357966473
1,2014-02-23,-0.3009914808256233
1,2014-02-24,-0.30314530937622075
1,2014-02-25,-0.30421359319048347
1,2014-02-26,-0.3041880157744764
1,2014-02-27,-0.30308118540317336
1,2014-02-28,-0.30096030877166924
1,2014-03-01,-0.29793700829870534
1,2014-03-02,-0.294175628473413
1,2014-03-03,-0.28978208006360273
1,2014-03-04,-0.2849271680496665
1,2014-03-05,-0.2798313648445693
1,2014-03-06,-0.27468683710279257
1,2014-03-07,-0.26969976583278304
1,2014-03-08,-0.26501958100497947
1,2014-03-09,-0.2607753837688304
1,2014-03-10,-0.2570500244147992
1,2014-03-11,-0.2538826232876129
1,2014-03-12,-0.25129194132277255
1,2014-03-13,-0.24931676216603976
1,2014-03-14,-0.2480297698420981
1,2014-03-15,-0.24742848665628914
1,2014-03-16,-0.24740723498309736
1,2014-03-17,-0.24791762911848186
1,2014-03-18,-0.24890353220248718
1,2014-03-19,-0.2502741273824465
1,2014-03-20,-0.2519090743412685
1,2014-03-21,-0.2537169426276558
1,2014-03-22,-0.25559993654753066
1,2014-03-23,-0.25750462454341894
1,2014-03-24,-0.2593823664419193
1,2014-03-25,-0.2611978510979581
1,2014-03-26,-0.26292056688273757
1,2014-03-27,-0.264522854810945
1,2014-03-28,-0.2659899611766091
1,2014-03-29,-0.2673212812273827
1,2014-03-30,-0.2685648096224302
1,2014-03-31,-0.26974785748356545
1,2014-04-01,-0.2708588183667851
1,2014-04-02,-0.2718783407780024
1,2014-04-03,-0.272819571771222
1,2014-04-04,-0.2736858557531605
1,2014-04-05,-0.27449098746435585
1,2014-04-06,-0.27522303535551274
1,2014-04-07,-0.2758641109562597
1,2014-04-08,-0.276391050295303
1,2014-04-09,-0.2767796492101489
1,2014-04-10,-0.27701131755998676
1,2014-04-11,-0.2770612132368522
1,2014-04-12,-0.27690185909777537
1,2014-04-13,-0.27649861073834364
1,2014-04-14,-0.27586520492034894
1,2014-04-15,-0.2750465272562583
1,2014-04-16,-0.27406970833241145
1,2014-04-17,-0.27296905469010696
1,2014-04-18,-0.27181215583123663
1,2014-04-19,-0.2706296804879353
1,2014-04-20,-0.2694563629742236
1,2014-04-21,-0.2683243472718861
1,2014-04-22,-0.2672471030960825
1,2014-04-23,-0.266228737811296
