site,lower,upper,range
1,40,140,100
2,40,140,100
3,40,140,100
4,40,140,100
5,40,140,100
6,40,140,100
7,40,140,100
8,40,140,100
9,40,140,100
10,40,140,100
11,40,140,100
12,40,140,100
13,40,140,100
14,40,140,100
15,40,140,100
16,40,140,100
17,40,140,100
18,40,140,100
19,40,140,100
20,40,140,100
21,40,140,100
22,40,140,100
23,40,140,100
24,40,140,100
25,40,140,100
26,40,140,100
27,40,140,100
28,40,140,100
29,40,140,100
30,40,140,100
31,40,140,100
32,40,140,100
33,40,140,100
34,40,140,100
35,40,140,100
36,40,140,100
37,40,140,100
38,40,140,100
39,40,140,100
40,40,140,100
41,40,140,100
42,40,140,100
43,40,140,100
44,40,140,100
45,40,140,100
46,40,140,100
47,40,140,100
48,40,140,100
49,40,140,100
50,40,140,100
51,40,140,100
52,40,140,100
53,40,140,100
54,40,140,100
55,40,140,100
56,40,140,100
57,40,140,100
58,40,140,100
59,40,140,100
60,40,140,100
61,40,140,100
62,40,140,100
63,40,140,100
64,40,140,100
65,40,140,100
66,40,140,100
67,40,140,100
68,40,140,100
69,40,140,100
70,40,140,100
71,40,140,100
72,40,140,100
73,40,140,100
74,40,140,100
75,40,140,100
76,40,140,100
77,40,140,100
78,40,140,100
79,40,140,100
80,40,140,100
81,40,140,100
82,40,140,100
83,40,140,100
84,40,140,100
85,40,140,100
86,40,140,100
87,40,140,100
88,40,140,100
89,40,140,100
90,40,140,100
91,40,140,100
92,40,140,100
93,40,140,100
94,40,140,100
95,40,140,100
96,40,140,100
97,40,140,100
98,40,140,100
99,40,140,100
100,40,140,100
101,40,140,100
102,40,140,100
103,40,140,100
104,40,140,100
105,40,140,100
106,40,140,100
107,40,140,100
108,40,140,100
109,40,140,100
110,40,140,100
111,40,140,100
112,40,140,100
113,40,140,100
114,40,140,100
115,40,140,100
116,40,140,100
117,40,140,100
118,40,140,100
119,40,140,100
120,40,140,100
121,40,140,100
122,40,140,100
123,40,140,100
124,40,140,100
125,40,140,100
126,40,140,100
127,40,140,100
128,40,140,100
129,40,140,100
130,40,140,100
131,40,140,100
132,40,140,100
133,40,140,100
134,40,140,100
135,40,140,100
136,40,140,100
