V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
206133792.90740165,73691388.85998262,104303471.0376374,185182748.25638384,3694645.783270829,-389268847.13314307,-206534784.95502743,-11579761.796267044,282280688.728559,36968450.593175106,167799999.1041153,-137917593.27101853,300100477.63724756,-75383913.39422709,-139356751.95347783,20862282.985263918,-233651367.50205827,9672830.525514638,51129540.99721285,122938755.61817385,-85030490.58650604,37798177.501128435,-89534968.6119583,-31962608.008720044,635279.1977432399,-191879860.41433275,76773183.60645624,224263112.3207855,-139843315.4022088,116214771.6282695,267972031.42990237,93298012.33467874,-66649169.15273283,-163898340.6652306,168645556.77512103,224330047.09467298,119740207.1135241,-47531586.70041844,-342005566.4846304,-280493272.8086225,24664634.794996988,-128986736.55305979,-158914098.10858166,42388992.19952797,-75050496.67515719,19200443.195701912,116961048.00294918,-92374003.65382876,87413345.58928066,138049542.07732874,179502397.69281083,74933002.77592102,196228558.00333273,80346987.92687467,94062592.31061317,204202096.15410766
73691388.85998262,26344156.16348027,37287761.12770935,66201536.93189851,1320810.1556702273,-139160889.8017427,-73834740.9838891,-4139683.8649165793,100913371.8554807,13215962.424851691,59987325.601190396,-49304574.99862072,107283821.63798347,-26949221.848042294,-49819063.410285436,7458119.946707533,-83528729.41760653,3457969.4763798877,18278453.090872876,43949745.14416385,-30397805.437254064,13512583.990018364,-32008124.446821004,-11426409.140330603,227107.42670902703,-68595707.47787207,27445876.394198142,80172493.89124258,-49993006.59051458,41545967.54641797,95798126.36363442,33353386.7683428,-23826611.60725772,-58592510.21065506,60289607.03924961,80196423.0553476,42806286.02260468,-16992209.55421702,-122264597.53513296,-100274383.32840349,8817434.232513834,-46111856.2163314,-56810678.11564117,15153768.400552543,-26830027.707214028,6864024.680372151,41812756.38113232,-33023060.597938534,31249659.21277432,49351745.64887598,64170851.47219318,26788024.38593405,70150337.06700501,28723486.96886877,33626718.54685573,73000821.05672908
104303471.0376374,37287761.12770935,52777440.91274828,93702265.64537688,1869486.6283983546,-196969605.66368562,-104506372.47292556,-5859346.639522871,142833715.8715752,18705995.090438034,84906613.85917915,-69786149.43461789,151850509.36197618,-38144176.66565083,-70514362.39815664,10556292.191417558,-118227333.26725721,4894441.456545407,25871491.189383704,62206874.22881945,-43025334.139222346,19125835.986810435,-45304595.16504366,-16173044.135294475,321450.72501542146,-97090997.05378048,38847145.797181495,113476886.53090256,-70760562.91193281,58804545.8995448,135593551.33089697,47208690.94412633,-33724405.846614435,-82932378.93596318,85334464.93296763,113510755.29412197,60588412.366102576,-24050930.31143325,-173054438.00297758,-141929285.33830637,12480277.958217647,-65267145.81583213,-80410357.80631176,21448783.045131654,-37975468.17356002,9715402.80642307,59182160.83277837,-46741143.40925618,44231056.21048131,69852915.4292989,90828014.50455646,37916016.41768135,99291433.00264044,40655486.6421382,47595567.64049789,103326034.52283245
185182748.25638384,66201536.93189851,93702265.64537688,166361127.75229773,3319129.0276113586,-349704305.63574874,-185542984.1971375,-10402816.936452756,253590219.079031,33211047.952381168,150745128.00497562,-123899912.70474237,269598838.7338673,-67722036.51416391,-125192798.17968899,18741880.474332307,-209903489.1561552,8689702.481650734,45932832.210285306,110443495.50324006,-76388154.09781855,33956443.00564428,-80434805.65126628,-28713989.570537217,570710.7163257957,-172377558.26782137,68970103.92961183,201469438.27719718,-125629908.22170909,104402924.45702238,240735866.46437806,83815380.7044729,-59875075.031161785,-147240026.63524535,151504744.73043057,201529569.84988979,107570041.43814361,-42700567.13003367,-307244774.494756,-251984472.669124,22157768.49324324,-115876771.18788496,-142762373.01248187,38080656.0316352,-67422507.6312985,17248946.753315106,105073350.67465375,-82985286.41931693,78528820.3076165,124018450.50403792,161258117.13324353,67316955.59727785,176284262.4297585,72180673.51075266,84502250.27101077,183447385.4221992
3694645.783270829,1320810.1556702273,1869486.6283983546,3319129.0276113586,66221.20949188052,-6977073.125339452,-3701833.1884290176,-207550.2677042611,5059467.511193661,662605.2124026024,3007568.6565686055,-2471970.7089584116,5378861.023925134,-1351146.189141245,-2497764.948455426,373925.6118443684,-4187858.0529004536,173371.47289590313,916421.9097025442,2203496.8766488787,-1524046.7258807211,677476.8518113493,-1604782.6086388747,-572883.1447538582,11386.116623293574,-3439164.791550482,1376046.9414892893,4019587.3653832693,-2506485.999319058,2082979.0563692166,4803005.369909171,1672230.0324299668,-1194588.5012570987,-2937637.3136610375,3022724.4097012756,4020787.414026377,2146167.286088957,-851933.8315285491,-6129948.102282035,-5027430.823335971,442077.27360342693,-2311898.211862888,-2848301.8936385056,759760.6732839309,-1345170.180058918,344140.19706637843,2096355.1481090225,-1655668.8844963263,1566755.7415268566,2474335.596488479,3217317.170817169,1343064.2208692632,3517109.2764538354,1440102.5371033815,1685933.8417362268,3660023.1593342177
-389268847.13314307,-139160889.8017427,-196969605.66368562,-349704305.63574874,-6977073.125339452,735106230.261909,390026092.1955611,21867547.63087956,-533066785.70286727,-69812260.9134086,-316878233.4668234,260447459.1970129,-566718175.7321118,142357100.72022817,263165205.79628053,-39396921.05845321,441233808.5152542,-18266445.32683609,-96554461.843776,-232161000.96678603,160573967.78853834,-71379140.52786376,169080350.13096517,60359087.726231165,-1199678.4522045846,362351320.1461898,-144980637.86890507,-423504763.63175887,264084046.10533103,-219463240.1217583,-506045914.2874745,-176186588.3816992,125862163.82837853,309510232.3337281,-318475009.0561533,-423631165.7991912,-226120771.515833,89759983.79962154,645852922.8019292,529691379.4851281,-46577389.23041414,243582178.41939312,300097848.2707397,-80048564.4169718,141727467.2171175,-36258657.305885896,-220872529.7472327,174441665.10911626,-165073817.81323394,-260696634.83589706,-338977372.181388,-141505588.3248568,-370563523.768815,-151729511.13904622,-177630442.37899026,-385620977.10148984
-206534784.95502743,-73834740.9838891,-104506372.47292556,-185542984.1971375,-3701833.1884290176,390026092.1955611,206936557.4772965,11602287.962616619,-282829810.02626616,-37040365.27329418,-168126420.1872265,138185884.77973536,-300684263.6549921,75530558.01641624,139627841.91498828,-20902865.980678376,234105889.72844714,-9691647.440565638,-51229003.10369997,-123177908.50251178,85195900.28177866,-37871706.25317369,89709140.31237867,32024785.458410636,-636514.3415914571,192253123.9556803,-76922531.02136792,-224699371.5978715,140115352.10667893,-116440843.79813652,-268493317.18624127,-93479505.06004162,66778821.64841798,164217172.17419776,-168973623.47087288,-224766437.26551348,-119973137.2559789,47624049.65428824,342670870.15990525,281038917.28722024,-24712614.674959216,129237654.87774101,159223233.3986639,-42471451.87284688,75196492.6939776,-19237794.670364067,-117188572.27062917,92553699.61235748,-87583390.3225444,-138318090.06189302,-179851583.83352584,-75078770.12666154,-196610281.99194285,-80503288.26023677,-94245572.04154137,-204599330.88645115
-11579761.796267044,-4139683.8649165793,-5859346.639522871,-10402816.936452756,-207550.2677042611,21867547.63087956,11602287.962616619,650504.1381591983,-15857386.155438151,-2076737.8554555827,-9426324.449260095,7747651.983608691,-16858429.724222668,4234763.047880393,7828497.938593722,-1171958.528694064,13125587.742771905,-543380.499364502,-2872250.5504122204,-6906201.4976750985,4776668.632676443,-2123348.5540127987,5029711.89839249,1795529.9698978039,-35687.32464906849,10779033.543617677,-4312806.653657998,-12598193.58391578,7855831.134782461,-6528475.230932499,-15053583.610608902,-5241104.562051021,3744080.427330616,9207145.122691797,-9473824.555642026,-12601953.799564352,-6726519.911855457,2670132.0398037094,19212487.8884671,15756976.397752954,-1385559.2785183166,7245952.614438694,8927150.50912918,-2381241.984280287,4216033.041832335,-1078603.2651211326,-6570398.063998285,5189197.587114563,-4910527.736625415,-7755064.303857734,-10083717.867976343,-4209432.699665502,-11023325.885052513,-4513568.614827728,-5284055.522722529,-11471246.949078973
282280688.728559,100913371.8554807,142833715.8715752,253590219.079031,5059467.511193661,-533066785.70286727,-282829810.02626616,-15857386.155438151,386556645.30156684,50624788.5503027,229786191.6108552,-188865070.65192902,410959156.7709473,-103231123.79722326,-190835860.1440445,28568918.215975467,-319963398.9798393,13246025.0538192,70017059.21836214,168352971.9392791,-116441196.1247091,51761020.901245475,-122609650.84345408,-43769762.7233528,869953.5310309224,-262761278.82926825,105133598.06732313,307107073.52092576,-191502163.0455952,159145112.35882246,366962294.0084777,127762783.7936254,-91269718.8645566,-224443240.76853836,230944103.9262759,307198735.48805165,163972861.95979926,-65090001.785164244,-468344203.0046873,-384108949.04115105,33775878.85691854,-176635109.01182428,-217617792.45041758,58047707.12717419,-102774541.20309442,26293188.25227146,160167067.72682163,-126497442.67766157,119704289.6154436,189045761.70287248,245811517.76824403,102613644.26238637,268716409.4909751,110027585.63270113,128809803.04483768,279635413.8307199
36968450.593175106,13215962.424851691,18705995.090438034,33211047.952381168,662605.2124026024,-69812260.9134086,-37040365.27329418,-2076737.8554555827,50624788.5503027,6629996.573231182,30093590.6421736,-24734419.58309584,53820625.48519106,-13519503.194782576,-24992521.32769177,3741483.9947604225,-41903507.95314287,1734744.9178813768,9169675.127598101,22048084.62579425,-15249539.864922563,6778801.472283931,-16057382.111116132,-5732238.587746219,113932.32598494897,-34412121.60221035,13768657.69155434,40219799.30992147,-25079782.575115293,20842191.820211127,48058645.163891956,16732253.88642426,-11952996.572586842,-29393859.309359003,30245234.584233228,40231803.45439834,21474450.54505499,-8524410.748360725,-61335968.75431041,-50304229.74400035,4423405.425783342,-23132741.703468855,-28499975.227546155,7602127.401870374,-13459707.56378185,3443446.1562030553,20976030.489990592,-16566540.226314498,15676885.928673927,24758083.566611025,32192322.393105954,13438635.985006576,35192025.70341159,14409590.88665771,16869375.23597938,36622016.153108075
