V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
3817998.838385399,-1658889.394577899,-9258946.253770897,-1358538.1436577286,-1223564.195263711,8961469.18001495,5997014.207102638,-864594.1028945458,254114.3776564287,-14517913.00205196,8217276.327536638,622976.2327997203,-7068319.715703122,1758125.4611383334,-10313445.214542914,-531742.162741695,4769174.709427528,3136382.472224166,-6079158.142977502,-2983418.323167837,5442012.320594741,-2234803.54609409,10436605.326331729,-4686633.121563951,10261694.680134771,-4147871.8122491017,-100841.79570659736,-2861918.883699812,-3522471.819703249,9303783.508995203,8215469.109537941,-6201746.957623698,-8568023.470831012,-3380463.0761158825,5222135.474181306,11523730.941390341,8425296.270590855,3187427.531213614,-2155765.890769831,7143006.447088143,-7086793.187994088,1024988.8476178658,-728118.7155626436,-649378.9489632101,-7925930.155412575,3875154.101077013,7202041.921266514,-2704768.8490813603,-7670192.792765175,-586641.5814326035,-3242418.4812469725,-178290.63100208045,-2144238.987750596,4673437.264390635,-3688331.6663244762,-3315866.1510078995
-1658889.394577899,720774.2779163285,4022936.4251221525,590273.6514618117,531628.3351029154,-3893685.0722880494,-2605654.0024485756,375659.4498405911,-110410.69012041226,6307915.183731862,-3570339.338644222,-270677.93952024024,3071127.4483859194,-763891.3132310613,4481107.767483056,231037.52083909657,-2072167.9002916808,-1362732.3482947561,2641345.107750069,1296270.98170861,-2364509.471770285,971003.9548895976,-4534619.906607091,2036303.8707057869,-4458622.854279994,1802216.342230246,43815.034904194144,1243480.7592568744,1530485.390119669,-4042418.2078940906,-3569554.795359879,2694608.7307895473,3722736.689147629,1468783.4868194964,-2268975.3530176836,-5006967.264290077,-3660722.82110858,-1384911.143199686,936662.5779400622,-3103578.577798565,3079154.4045175333,-445349.60737800127,316361.6723212021,282149.67546680936,3443752.4868241926,-1683723.0851210034,-3129228.423629428,1175200.3636293684,3332636.16349823,254890.9683709711,1408804.7370955402,77466.10014843204,931654.4170216823,-2030570.3939961798,1602549.9517205986,1440716.7265712589
-9258946.253770897,4022936.4251221525,22453671.813826874,3294562.098411148,2967238.0071369666,-21732265.307682965,-14543229.229726354,2096708.3989400016,-616246.9549258669,35207078.08437058,-19927539.896668892,-1510766.8969806752,17141229.365140066,-4263592.7736896835,25010914.466435753,1289515.9334063157,-11565623.434241628,-7605973.8850431135,14742435.280607108,7235023.554371202,-13197305.882085094,5419574.389088694,-25309587.114079904,11365454.36589867,-24885415.42343888,10058915.147611005,244548.82627523632,6940378.639399382,8542270.946804466,-22562405.992380913,-19923157.714151427,15039722.889741091,20778130.18592952,8197887.173277138,-12664088.364704626,-27945950.91466757,-20432004.125451967,-7729761.741168928,5227901.976993795,-17322350.808042884,17186030.119245097,-2485678.0962326904,1765745.0038909996,1574794.5132052577,19221001.80699389,-9397552.053065447,-17465517.5065142,6559276.746727418,18600819.85426333,1422652.4540265794,7863119.2274300875,432368.5008025435,5199948.034509818,-11333452.330418818,8944492.887714086,8041236.116073746
-1358538.1436577286,590273.6514618117,3294562.098411148,483401.6310737009,435373.97521145537,-3188711.928464702,-2133885.584441585,307643.9024738042,-90420.051115905,5165832.18412106,-2923909.9565869244,-221670.55613173774,2515082.618490653,-625584.7153259466,3669778.8730712878,189206.85400099037,-1696990.4169680742,-1116002.4622228614,2163114.6502332385,1061573.9896489652,-1936402.0833824752,795198.4930981242,-3713602.15408065,1667620.3570322755,-3651364.7679470787,1475915.4898922297,35881.86320057495,1018341.7481455515,1253382.6782455544,-3310516.4560654685,-2923267.1134299105,2206734.7586280564,3048714.9099070774,1202851.9426811598,-1858164.88452098,-4100427.9189760233,-2997928.4759513927,-1134165.4315346254,767074.9485262212,-2541658.123500797,2521656.3631691546,-364716.2848809924,259082.59945432135,231064.9083682236,2820241.613879733,-1378875.3196583472,-2562664.7439720086,962423.605769162,2729244.2903970755,208741.7941546999,1153732.6595172572,63440.13494687636,762973.2866134286,-1662924.542295679,1312399.2683885656,1179867.2961265421
-1223564.195263711,531628.3351029154,2967238.0071369666,435373.97521145537,392120.3883707538,-2871905.6991986204,-1921878.8143293264,277078.20495314116,-81436.87242212093,4652592.260155428,-2633411.7897391813,-199646.44125014413,2265202.682708604,-563430.3496237473,3305175.8488021116,170409.60956521772,-1528388.540036399,-1005124.588795055,1948202.9160297527,956103.6764871719,-1744017.2450882292,716192.8298455451,-3344645.2754392247,1501936.2719731887,-3288590.6603303556,1329278.911061185,32317.311781913202,917165.2508264806,1128855.1314609514,-2981606.4099811646,-2632831.261851359,1987489.2701636252,2745815.3404666632,1083346.8572463868,-1673550.9588566585,-3693039.9262918937,-2700076.174539343,-1021483.3622572356,690863.4830034855,-2289137.0255960394,2271121.402310635,-328480.6183164351,233341.9098047431,208108.6518860946,2540043.2271862044,-1241880.681612228,-2308056.266947439,866803.4944797637,2458085.9202206912,188002.11605325562,1039105.7436077459,57137.090337695954,687169.3665744719,-1497708.0887046363,1182009.9436809751,1062643.7849025247
8961469.18001495,-3893685.0722880494,-21732265.307682965,-3188711.928464702,-2871905.6991986204,21034037.606989175,14075975.30436572,-2029343.8541101972,596447.9901196741,-34075921.973677196,19287295.102320936,1462227.6344433613,-16590505.111180482,4126608.723492302,-24207347.14384648,-1248085.9072035966,11194034.896693397,7361604.211089494,-14268780.520772414,-7002571.924763997,12773295.356721379,-5245450.404885811,24496424.066465057,-11000296.651201768,24085880.016555756,-9735735.44299874,-236692.03465343924,-6717392.823303808,-8267818.9050926715,21837505.45808767,19283052.85385814,-14556516.8570099,-20110555.773144603,-7934500.958403309,12257208.168475546,27048085.78811515,19775551.50177755,7481415.10787398,-5059936.2539089555,16765806.895495094,-16633865.347412793,2405816.5780693875,-1709014.0479837016,-1524198.9552147333,-18603457.071979307,9095621.804681838,16904373.49512685,-6348535.789546536,-18003200.32085613,-1376944.0943252114,-7610487.517963768,-418477.0752734167,-5032880.538491329,10969323.628575515,-8657119.039034242,-7782881.719535868
5997014.207102638,-2605654.0024485756,-14543229.229726354,-2133885.584441585,-1921878.8143293264,14075975.30436572,9419641.459799562,-1358037.0761952049,399143.0219948578,-22803603.65192092,12907055.376203706,978522.3073243232,-11102364.373367896,2761526.3084641295,-16199553.91685645,-835219.0803409516,7491047.278069643,4926384.303004377,-9548666.991563743,-4686120.480358569,8547887.308792444,-3510254.888056394,16393004.124498224,-7361397.263587957,16118268.350627739,-6515152.940959548,-158394.492991631,-4495278.848475297,-5532823.667173581,14613656.45480815,12904217.309299534,-9741219.601232847,-13457982.36974168,-5309767.147471114,8202522.446711112,18100576.110564362,13233797.257638242,5006562.018929121,-3386108.5292041595,11219676.769933918,-11131381.440309491,1609972.6357244616,-1143671.9098638657,-1019993.4832190663,-12449432.224851526,6086789.294922535,11312404.723345824,-4248439.746453087,-12047739.471546901,-921450.8402873033,-5092937.942663061,-280045.18961969326,-3368003.056518453,7340670.070825545,-5793343.108892345,-5208303.4467342505
-864594.1028945458,375659.4498405911,2096708.3989400016,307643.9024738042,277078.20495314116,-2029343.8541101972,-1358037.0761952049,195789.61761628173,-57544.771514591965,3287613.4481777847,-1860819.8634676747,-141074.2498264344,1600636.499680397,-398131.6086934627,2335502.14510194,120413.97071177562,-1079990.53853358,-710240.3767570446,1376639.1277092404,675601.6474518022,-1232354.7807833364,506076.2541874438,-2363392.046085447,1061298.5028466708,-2323783.4459157204,939294.5443459353,22835.890898767087,648088.2984415756,797671.618732778,-2106862.384885237,-1860411.5009362758,1404399.3696656176,1940248.2013773606,765512.8817561787,-1182564.0572744852,-2609573.989936077,-1907926.9733524045,-721799.737301449,488177.82189801696,-1617549.9399581503,1604820.5037541485,-232111.28288018194,164884.08639991196,147052.98620028922,1794844.5993269589,-877537.225608617,-1630918.1320773915,612501.2149175894,1736931.8727465288,132846.3520205112,734253.1504140856,40374.58418055229,485567.6941206129,-1058310.100155667,835230.5140269673,750885.1095843278
254114.3776564287,-110410.69012041226,-616246.9549258669,-90420.051115905,-81436.87242212093,596447.9901196741,399143.0219948578,-57544.771514591965,16913.134646483733,-966267.8124026074,546916.6891687277,41463.26793047036,-470445.7859024768,117015.36030198887,-686431.194132428,-35391.232964836636,317421.5712314617,208747.92885246285,-404610.1967890982,-198567.18135907158,362203.7928312636,-148741.60618884015,694628.3907903357,-311927.71959259995,682986.8321636643,-276069.5391254539,-6711.8056199913735,-190480.43120943077,-234444.87207480197,619231.1649273285,546796.3744672639,-412769.2764573646,-570261.2613940965,-224993.43020835,347569.31749223766,766984.3314890268,560761.9740202839,212145.41705594282,-143481.06482332855,475416.68848994,-471675.15936766076,68220.18546845217,-48461.33942989934,-43220.716653178715,-527525.7773854281,257918.49239760297,479345.7002289092,-180021.1199575478,-510504.4220005248,-39044.97296735609,-215805.46559078875,-11866.540867604477,-142713.92618793127,311049.6041379804,-245484.1812678863,-220693.79276322704
-14517913.00205196,6307915.183731862,35207078.08437058,5165832.18412106,4652592.260155428,-34075921.973677196,-22803603.65192092,3287613.4481777847,-966267.8124026074,55204262.206571944,-31246134.708619922,-2368863.1991280527,26877235.371280335,-6685260.692455471,39216803.14050748,2021945.138175844,-18134754.499901414,-11926071.97655488,23115956.581313495,11344427.279603926,-20693211.199968465,8497825.340657398,-39685118.25993852,17820890.986655258,-39020022.614760295,15772253.715488937,383449.91384287033,10882427.925219595,13394174.958918134,-35377572.615524255,-31239264.704890672,23582099.194077868,32579850.87562921,12854185.478230942,-19857133.503966346,-43818904.62692511,-32037129.591055043,-12120170.27161412,8197284.939148331,-27161232.18698267,26947482.77008025,-3897513.147030208,2768666.1918474264,2469257.9488200503,30138293.593187444,-14735245.547015231,-27385714.292545427,10284865.087580863,29165854.31971609,2230701.2182936086,12329274.131982801,677949.0876178396,8153453.931736565,-17770712.454376023,14024853.993231522,12608558.095775943
