V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
7937598.931958508,20854358.289562766,-22523218.860682763,6824264.279170704,17727065.30043151,42597593.30958143,84463172.67163998,-8243126.320754293,2575840.792974824,-704229.6640373501,19368694.518639155,24942419.015170697,-33350563.78927804,-13451993.960672056,-34646475.2218921,57797209.510194026,-41089215.310373135,3392492.139495158,-25968879.532842267,-15594463.12786877,2065092.4518083713,8788820.7132836245,32682725.59447617,-4923043.520091336,-13752152.03036378,7812900.685997718,7269790.390085303,40066098.407492794,-21278001.38310622,-44077899.85280538,-19390056.26623905,-29280828.310038168,-39779835.05667829,23241814.67413973,2329423.6765283984,4085621.4978528344,-16284562.12751777,-23871059.298043534,-36232931.737041004,13400990.310707401,28599216.47305019,-17395899.58873175,25851652.893398467,-3022457.3559549055,-30300356.48552912,8078128.0398289515,32282653.273270313,60895261.552154936,8001161.336471698,40170001.73846485,20668687.968480743,41521818.920422055,-2584727.58708026,40156884.171987854,-17151882.489418205,-58894558.64053581
20854358.289562766,54790406.61658861,-59174982.49775837,17929307.990575824,46574107.60761115,111916146.65005611,221909080.3567815,-21657065.091806237,6767476.676399541,-1850214.3839882007,50887140.0592855,65530918.9520788,-87621535.84610246,-35342261.6848902,-91026268.51689173,151849915.7342949,-107953202.10990436,8913054.191492131,-68227725.88446377,-40971146.661468364,5425592.173588514,23090762.414010603,85866932.23685502,-12934253.167762425,-36130863.95017066,20526740.06303241,19099833.240698162,105265179.71766818,-55903436.09161463,-115805337.10981748,-50943262.428361416,-76929169.94242471,-104513083.4891657,61062940.88102078,6120067.055725301,10734103.553053213,-42784236.45966762,-62716147.3015519,-95194346.57658297,35208260.78031472,75138379.78743145,-45704038.92671352,67919738.07595198,-7940866.185379073,-79607762.73370339,21223568.496101692,84815830.09730387,159989390.77297735,21021356.028144367,105538162.46303278,54302597.23561039,109089776.31237422,-6790823.066025003,105503700.47430205,-45062936.55057143,-154732967.91468287
-22523218.860682763,-59174982.49775837,63910433.942350484,-19364092.222057093,-50301177.55713724,-120872184.19157489,-239667253.48336837,23390164.129935745,-7309039.980594838,1998276.7930759639,-54959359.140002914,-70775000.09149164,94633409.675507,38170510.6422812,98310604.20914444,-164001635.63352814,116592108.26134226,-9626317.179432612,73687618.21875536,44249843.1954155,-5859773.229763408,-24938591.095450446,-92738395.24300787,13969311.047160175,39022220.065710805,-22169383.414484203,-20628288.517873995,-113688977.78590554,60377084.97349215,125072607.02643651,55019973.7941726,83085390.63951121,112876695.53300174,-65949475.09592477,-6609822.532503998,-11593096.174601603,46208023.50871908,67734978.88594614,102812231.08074772,-38025785.87474997,-81151292.98978695,49361483.42395526,-73354983.41942146,8576330.208641449,85978338.39137198,-22921975.32034899,-91603175.83956707,-172792468.3202472,-22703579.768669646,-113983807.47143479,-58648136.48122849,-117819636.44534872,7334256.484124994,-113946585.28065109,48669075.9691099,167115402.69637617
6824264.279170704,17929307.990575824,-19364092.222057093,5867087.069574549,15240651.971140958,36622817.58065858,72616293.58005814,-7086937.56684984,2214551.3672006154,-605453.8426370199,16652024.676890638,21443973.538961317,-28672784.208659712,-11565205.254457334,-29786930.028280478,49690522.06616245,-35326005.639451586,2916658.2511004014,-22326461.67239954,-13407170.19806174,1775440.6265420844,7556092.720707922,28098617.45907759,-4232533.065298729,-11823263.0156471,6717056.269181704,6250123.227203072,34446392.11036369,-18293529.63874332,-37895494.6058791,-16670389.896854807,-25173873.800750785,-34200280.28866607,19981897.21921797,2002696.6932925282,3512568.3871549424,-14000475.61140092,-20522883.342744455,-31150868.695205726,11521355.548155025,24587865.545932464,-14955935.506490892,22225677.45088047,-2598524.8774079643,-26050401.60137736,6945082.560902411,27754660.53398755,52354038.62740659,6878911.601387807,34535721.455094315,17769679.939553924,35697931.85163198,-2222191.1840931736,34524444.362686,-14746144.748648915,-50633956.04528933
17727065.30043151,46574107.60761115,-50301177.55713724,15240651.971140958,39589914.424692005,95133344.44004318,188631877.91386536,-18409398.60843337,5752634.835439328,-1572758.6617966965,43256169.88757527,55703986.22812437,-74481922.06706174,-30042381.03005218,-77376085.4339196,129078696.35585693,-91764677.6027041,7576464.03258393,-57996383.283110924,-34827166.058602005,4611977.139672632,19628100.872785196,72990436.44427267,-10994649.046674326,-30712725.66282949,17448576.245953776,16235646.681263875,89479747.73133259,-47520227.60207026,-98439316.41932082,-43303875.86168607,-65392970.14559054,-88840434.88633381,51906020.185243875,5202309.659349438,9124430.815078788,-36368367.56572727,-53311313.75834315,-80919123.77360114,29928474.86854709,63870724.72565911,-38850319.7605792,57734581.0500391,-6750064.09346993,-67669884.08084574,18040909.122129012,72096957.26343554,135997586.14062896,17869020.562441792,89711793.88455933,46159449.49417478,92730812.55400872,-5772479.652543608,89682500.39709254,-38305356.58665941,-131529409.71604632
42597593.30958143,111916146.65005611,-120872184.19157489,36622817.58065858,95133344.44004318,228602501.12456086,453276604.9932265,-44237222.70523476,13823402.798676195,-3779290.3352021063,103943244.42221771,133854965.4788857,-178977770.1222104,-72190919.45647359,-185932355.4101875,310172139.14712065,-220507700.53379256,18206009.770910837,-139363526.02220374,-83688608.15863967,11082440.208567025,47165724.733758464,175393776.74577075,-26419803.85817678,-73801736.06147991,41928392.86624643,39013759.66230081,215017083.61564708,-114189649.6582165,-236546652.66961005,-104057882.47580723,-157137295.48714364,-213480834.51892552,124728571.27675527,12500989.932258327,21925728.35330329,-87392066.06863534,-128105449.2626524,-194446167.94211,71917205.67220843,153479385.76463574,-93356123.28131448,138734422.63310912,-16220196.157200055,-162608652.50943947,43351750.8898915,173246767.84766513,326798018.46749014,42938705.72499746,215574685.92718458,110919735.96266408,222829293.31164566,-13871092.635641392,215504291.0609848,-92046591.78510493,-316061128.0192954
84463172.67163998,221909080.3567815,-239667253.48336837,72616293.58005814,188631877.91386536,453276604.9932265,898763925.4599651,-87714258.03391677,27409257.95286305,-7493635.760343592,206100286.01678634,265409713.36454505,-354879915.7222233,-143141282.03858757,-368669575.4855517,615014157.0926421,-437226109.73081595,36099160.283508025,-276332173.590592,-165939077.3013588,21974435.92441446,93520935.99243993,347773518.4039662,-52385599.617408104,-146335234.11471725,83136272.05994783,77357091.2447494,426339228.56270415,-226417021.1395252,-469028394.6784819,-206327593.24871734,-311574280.3330623,-423293130.146237,247313757.72413385,24787157.862704948,43474677.2240799,-173282350.1413973,-254009484.24455032,-385550896.1937691,142598557.48677993,304321319.62381774,-185107977.75588351,275084777.1213526,-32161657.913876727,-322422974.4981574,85958528.56207821,343516392.2630324,647980209.8629456,85139535.1461591,427444853.0073241,219933381.8726898,441829400.3181668,-27503819.93618315,427305270.046432,-182511416.89303255,-626690936.005302
-8243126.320754293,-21657065.091806237,23390164.129935745,-7086937.56684984,-18409398.60843337,-44237222.70523476,-87714258.03391677,8560416.323989201,-2674986.941364298,731336.1403706467,-20114216.853691764,-25902480.716558244,34634265.95246811,13969777.342982898,35980058.12066668,-60021890.568218395,42670787.101729445,-3523073.0200051623,26968451.357557755,16194711.18519906,-2144580.814466386,-9127113.624760823,-33940722.50669201,5112537.378249985,14281488.502127308,-8113628.663719796,-7549612.843770953,-41608288.92832334,22097018.314803287,45774509.88038402,20136402.026819833,30407880.104244184,41311007.15523152,-24136419.271921903,-2419085.8023847523,-4242882.746608258,16911371.60429444,24789884.503429145,37627579.50477779,-13916809.936337199,-29700031.927481193,18065487.540663447,-26846712.080009416,3138795.0709405863,31466653.1248633,-8389064.992770638,-33525247.398586627,-63239190.05797457,-8309134.595959546,-41716193.44001763,-21464248.228105705,-43120042.30548477,2684217.7390656034,-41702568.21904406,17812076.62888916,61161477.851173766
2575840.792974824,6767476.676399541,-7309039.980594838,2214551.3672006154,5752634.835439328,13823402.798676195,27409257.95286305,-2674986.941364298,835890.3061973313,-228530.68970009073,6285362.0383912865,8094098.417021649,-10822636.163251158,-4365324.208137627,-11243174.156647652,18755850.665762004,-13333916.35008613,1100902.4222119167,-8427196.188843329,-5060580.719599817,670145.6591781289,2852071.5482270704,10605914.910824426,-1597583.5086214175,-4462729.332812923,2535374.830102158,2359129.5663801874,13001903.561363034,-6904951.811288182,-14303778.414142363,-6292293.445941163,-9501961.644206049,-12909007.911680276,7542232.616135061,755924.54242110206,1325830.036563533,-5284526.271991467,-7746429.333806598,-11757997.254852692,4348773.159553554,9280771.190582827,-5645167.253546158,8389155.024798835,-980821.8799183202,-9832809.323792616,2621443.9591927305,10476088.873632692,19761203.73490398,2596468.2168162004,13035620.64717888,6707224.584889228,13474301.10662146,-838772.9942351216,13031364.767479664,-5565981.407972892,-19111952.869268484
-704229.6640373501,-1850214.3839882007,1998276.7930759639,-605453.8426370199,-1572758.6617966965,-3779290.3352021063,-7493635.760343592,731336.1403706467,-228530.68970009073,62479.82757333286,-1718405.2489434918,-2212910.1170834675,2958886.877872641,1193470.8359389207,3073861.092418592,-5127811.669926669,3645465.8046606747,-300984.50339601166,2303978.3923503314,1383552.509784339,-183216.49209296453,-779750.6431437155,-2899635.757445594,436776.1183624381,1220101.1955528012,-693166.3780597284,-644981.2504392486,-3554694.1696517505,1887799.9602844396,3910624.153019492,1720300.3278871255,2597817.0696506947,3529296.701647035,-2062031.178791918,-206668.2433073223,-362479.2916511178,1444778.7150865053,2117858.1500558904,3214612.705377281,-1188945.7858743784,-2537344.0395692224,1543377.3197855486,-2293577.9942568643,268154.71634624247,2688270.2509725583,-716697.5002193874,-2864141.4384902474,-5402673.159797739,-709869.1448777237,-3563912.4374725344,-1833741.5944457452,-3683846.7222873024,229318.88760253164,-3562748.7526264386,1521728.0059227578,5225169.286396755
