site,date,value
1,2015-01-01,0.0031937860653372214
1,2015-01-02,0.003996839035322187
1,2015-01-03,0.003984192764378359
1,2015-01-04,0.003740364367968203
1,2015-01-05,0.0038408193575539843
1,2015-01-06,0.0038532459262939243
1,2015-01-07,0.003777484946276842
1,2015-01-08,0.004134024456199713
1,2015-01-09,0.004474075662803836
1,2015-01-10,0.004073480099656242
1,2015-01-11,0.0033256374282525465
1,2015-01-12,0.002992873517416966
1,2015-01-13,0.00328269415710421
1,2015-01-14,0.003912546207428392
1,2015-01-15,0.0042332817307199925
1,2015-01-16,0.003872145073902526
1,2015-01-17,0.0032688991021289663
1,2015-01-18,0.002883127020213423
1,2015-01-19,0.002720554898604825
1,2015-01-20,0.002840395557079922
1,2015-01-21,0.0031618861854743217
1,2015-01-22,0.00322326428572479
1,2015-01-23,0.0029231627385726223
1,2015-01-24,0.0027168643097954066
1,2015-01-25,0.002871745969297168
1,2015-01-26,0.003166089754832807
1,2015-01-27,0.0032785898387910307
1,2015-01-28,0.0031093188495240785
1,2015-01-29,0.00286691152855906
1,2015-01-30,0.003171388547399584
1,2015-01-31,0.004493698337399386
1,2015-02-01,0.005976481387017621
1,2015-02-02,0.006017302891165035
1,2015-02-03,0.004563737028288102
1,2015-02-04,0.003152921358138448
1,2015-02-05,0.0025996530796892374
1,2015-02-06,0.002481755594783387
1,2015-02-07,0.002435623385853572
1,2015-02-08,0.00247565272181378
1,2015-02-09,0.0025365126293839966
1,2015-02-10,0.002523528226013555
1,2015-02-11,0.0025263392841606653
1,2015-02-12,0.0026242440179842464
1,2015-02-13,0.0027126760180536764
1,2015-02-14,0.0027075997142765344
1,2015-02-15,0.0026896908853967184
1,2015-02-16,0.0026467309876761517
1,2015-02-17,0.002498240807516194
1,2015-02-18,0.002323220328513671
1,2015-02-19,0.0022340592791769377
1,2015-02-20,0.002253314930284157
1,2015-02-21,0.0023640288382368755
1,2015-02-22,0.0024537418492230996
1,2015-02-23,0.0024450773537063623
1,2015-02-24,0.002475756765388029
1,2015-02-25,0.0026347345492519865
1,2015-02-26,0.00277178027305672
1,2015-02-27,0.0027785746671245308
1,2015-02-28,0.0027424074905892755
1,2015-03-01,0.0027504865135204266
1,2015-03-02,0.0027748073129882254
1,2015-03-03,0.0028473847376444704
1,2015-03-04,0.003075149961596249
1,2015-03-05,0.003268716074095279
1,2015-03-06,0.0031638656039652017
1,2015-03-07,0.003164200693639009
1,2015-03-08,0.0037132308790004493
1,2015-03-09,0.0041805161146744
1,2015-03-10,0.003840690411161955
1,2015-03-11,0.0031147147901617834
1,2015-03-12,0.0027622646999713478
1,2015-03-13,0.0031985209006554797
1,2015-03-14,0.00457240910726141
1,2015-03-15,0.006026818789704599
1,2015-03-16,0.006035958525166476
1,2015-03-17,0.004584023326598771
1,2015-03-18,0.0032810645212976676
1,2015-03-19,0.0029691980561722007
1,2015-03-20,0.0030337076830254895
1,2015-03-21,0.0029839510625952565
1,2015-03-22,0.0032374944698752668
1,2015-03-23,0.0040861285918302554
1,2015-03-24,0.004710030035191995
