site,date,value
1,2015-01-01,-0.21152312044067292
1,2015-01-02,-0.21430094629768137
1,2015-01-03,-0.2156836635403602
1,2015-01-04,-0.21550223665490262
1,2015-01-05,-0.21374988789840438
1,2015-01-06,-0.2105426048404424
1,2015-01-07,-0.2061240128246307
1,2015-01-08,-0.2008072903811674
1,2015-01-09,-0.1949597621027573
1,2015-01-10,-0.1889673370689822
1,2015-01-11,-0.18321093034552377
1,2015-01-12,-0.1780544042103848
1,2015-01-13,-0.1737653867816773
1,2015-01-14,-0.1705645724907534
1,2015-01-15,-0.168569238216121
1,2015-01-16,-0.16781828737015034
1,2015-01-17,-0.16822184629893489
1,2015-01-18,-0.16966329015182527
1,2015-01-19,-0.1719395455330049
1,2015-01-20,-0.17477954095610765
1,2015-01-21,-0.17789468573320286
1,2015-01-22,-0.18101775874670342
1,2015-01-23,-0.1838806371067951
1,2015-01-24,-0.1862590943970607
1,2015-01-25,-0.18798795843913368
1,2015-01-26,-0.18895987814809942
1,2015-01-27,-0.18911789661322048
1,2015-01-28,-0.18846050037533593
1,2015-01-29,-0.18706694037007396
1,2015-01-30,-0.18505399928144264
1,2015-01-31,-0.1825825722771044
1,2015-02-01,-0.1798125862243497
1,2015-02-02,-0.17690494018708516
1,2015-02-03,-0.1740746106403093
1,2015-02-04,-0.1715124661243976
1,2015-02-05,-0.16936264985900543
1,2015-02-06,-0.16773090218908027
1,2015-02-07,-0.1666779817853679
1,2015-02-08,-0.1661968031370449
1,2015-02-09,-0.16627658225139763
1,2015-02-10,-0.16689479167712937
1,2015-02-11,-0.16797031398837847
1,2015-02-12,-0.1694194353285997
1,2015-02-13,-0.1712445386432269
1,2015-02-14,-0.17346878079768152
1,2015-02-15,-0.17614732223455423
1,2015-02-16,-0.1793227783554203
1,2015-02-17,-0.18299356366290534
1,2015-02-18,-0.18717506835158024
1,2015-02-19,-0.19185429114300756
1,2015-02-20,-0.1970072520496784
1,2015-02-21,-0.20262981535658434
1,2015-02-22,-0.20872961505190873
1,2015-02-23,-0.21531479321154123
1,2015-02-24,-0.22237182258079247
1,2015-02-25,-0.22984161437411693
1,2015-02-26,-0.23762280295405586
1,2015-02-27,-0.24565667877424285
1,2015-02-28,-0.253930002295023
1,2015-03-01,-0.26250722209296856
1,2015-03-02,-0.2714601807436018
1,2015-03-03,-0.28081809351776266
1,2015-03-04,-0.29041479460086184
1,2015-03-05,-0.30006715340296036
1,2015-03-06,-0.3095693307977268
1,2015-03-07,-0.31865476519237684
1,2015-03-08,-0.3270891240090793
1,2015-03-09,-0.3345954606229524
1,2015-03-10,-0.3409137640289117
1,2015-03-11,-0.3458418204901459
1,2015-03-12,-0.34924288553340055
1,2015-03-13,-0.3510099204318137
1,2015-03-14,-0.3511221186701867
1,2015-03-15,-0.34965531138978034
1,2015-03-16,-0.34678961354902116
1,2015-03-17,-0.34291347648598
1,2015-03-18,-0.3385302729791647
1,2015-03-19,-0.3341783017257152
1,2015-03-20,-0.33042223706034823
1,2015-03-21,-0.3277717299078572
1,2015-03-22,-0.3266401193281754
1,2015-03-23,-0.327272475731374
