site,date,value
1,2015-01-01,-0.28919363713062
1,2015-01-02,-0.2911391490304818
1,2015-01-03,-0.2930168682565943
1,2015-01-04,-0.29482739508460204
1,2015-01-05,-0.2965718348292832
1,2015-01-06,-0.2982511459702564
1,2015-01-07,-0.29986620948659903
1,2015-01-08,-0.30141789527523793
1,2015-01-09,-0.3029069932262627
1,2015-01-10,-0.30433406414525827
1,2015-01-11,-0.30569967774620843
1,2015-01-12,-0.30700418466077994
1,2015-01-13,-0.3082475323363939
1,2015-01-14,-0.30942947458560455
1,2015-01-15,-0.31054964178310945
1,2015-01-16,-0.31160746980623605
1,2015-01-17,-0.3126019264136755
1,2015-01-18,-0.3135315715455245
1,2015-01-19,-0.3143948642334509
1,2015-01-20,-0.3151900827339807
1,2015-01-21,-0.31591523401373073
1,2015-01-22,-0.31656803054454286
1,2015-01-23,-0.31714601320987035
1,2015-01-24,-0.31764641185484793
1,2015-01-25,-0.31806657010894135
1,2015-01-26,-0.3184038091085474
1,2015-01-27,-0.3186550074648661
1,2015-01-28,-0.31881696638079177
1,2015-01-29,-0.3188864802107886
1,2015-01-30,-0.3188606748957224
1,2015-01-31,-0.3187365267679527
1,2015-02-01,-0.318510731748503
1,2015-02-02,-0.31817995056982545
1,2015-02-03,-0.31774102044090086
1,2015-02-04,-0.3171909130717535
1,2015-02-05,-0.3165266712598396
1,2015-02-06,-0.31574526273777026
1,2015-02-07,-0.31484355478433734
1,2015-02-08,-0.3138186794229246
1,2015-02-09,-0.3126677856752475
1,2015-02-10,-0.3113877145157665
1,2015-02-11,-0.3099752914390262
1,2015-02-12,-0.3084274032256458
1,2015-02-13,-0.30674110100824625
1,2015-02-14,-0.30491331583014086
1,2015-02-15,-0.30294069242384586
1,2015-02-16,-0.300819873586648
1,2015-02-17,-0.2985476179608912
1,2015-02-18,-0.29612076167010687
1,2015-02-19,-0.2935361885521419
1,2015-02-20,-0.29079094813469253
1,2015-02-21,-0.28788231037601264
1,2015-02-22,-0.28480796353089655
1,2015-02-23,-0.2815658100073323
1,2015-02-24,-0.27815400877635094
