V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
423810.7069926555,95646.72255286376,295628.91105050046,684456.28885395406,-33976.53250363791,-409076.6014619963,261785.67937512742,-637618.8558084259,-342611.03742196044,-132267.8917801257,573474.6097650101,-79004.1873529149,152981.71495945958,503722.4881802065,-259663.8926293849,471990.7909104808,-487800.1042274843,134141.83150440018,-490133.8568615193,-28549.19274692732,392755.58114132425,26103.682438871583,-370690.48540855164,476979.17224392795,-254303.61789331693,-641548.5797201699,-288176.89825077495,482654.66617800994,147459.45473428862,-162243.12538763875,516933.50513385003,850331.3088716367,391349.8259632075,-1168697.2077056982,-156383.30989631035,-263349.1627903597,562961.4049323349,-1022669.1914458955,-1311452.9096580166,301980.1824519669,-668756.1729279618,-364114.7585571982,169668.05050041774,-106026.19798877931,872716.6081574206,111553.83293063389,214480.25555455455,-902027.8404459829,-491903.0707483088,845004.1558512326,-639194.745269073,-257008.38898608615,193853.5768997457,-302986.10737108375,243552.46888384913,-259137.1428938452
95646.72255286376,21585.846161572892,66718.28039968907,154469.8853854787,-7667.943108078136,-92321.57491681862,59080.44990984568,-143899.3893237099,-77321.38964883258,-29850.508484121798,129423.31437175821,-17829.898938051065,34525.18683909887,113681.44394034837,-58601.6688950166,106520.104173136,-110087.95083715186,30273.552874940953,-110614.69077041488,-6443.0431012836725,88637.94517560472,5891.141697178249,-83658.44927888182,107645.7785277955,-57391.84777429897,-144786.39204437274,-65036.44484001176,108926.83657778784,33279.013273240955,-36615.35483453665,116662.87791492265,191904.93585156958,88321.01267369154,-263754.60182366986,-35292.99552452287,-59433.30667637327,127050.60887140616,-230798.72855503872,-295972.1734479147,68151.596360299,-150926.50505338726,-82174.3544569086,38291.14163427242,-23928.372225026706,196957.03310581364,25175.792210515443,48404.51715826656,-203571.95640174655,-111013.88904944762,190702.69386953895,-144255.10656317073,-58002.28632560587,43749.35941889422,-68378.7864253478,54965.64728747387,-58482.70892379303
295628.91105050046,66718.28039968907,206215.89362560012,477441.8315003377,-23700.155879539612,-285350.8842246022,182608.55528765862,-444770.72946352157,-238988.30883856685,-92263.18983711209,400026.5742605245,-55109.2838662573,106711.93669662288,351371.0940378402,-181128.07329232214,329236.69510635175,-340264.58314978314,93570.49956982101,-341892.50157390034,-19914.429583972564,273966.4152278636,18208.694623591437,-258574.84570273123,332716.5337907063,-177389.15172628005,-447511.8744698111,-201017.3618177706,336675.00004822324,102860.1936015555,-113172.81708806101,360586.4775953405,593147.9596211414,272985.9494063654,-815223.5541869928,-109085.21044444447,-183698.7357874637,392693.4686083103,-713362.1257134557,-914802.878210798,210645.99023945068,-466490.58306741883,-253987.58584878934,118351.81144538558,-73958.48114708341,608762.7224602142,77814.2217698697,149610.34894161802,-629208.8569631774,-343126.5920222387,589431.8770937657,-445869.4511471536,-179276.1452593594,135222.47766724706,-211347.43113014073,169889.53349103453,-180760.9191762046
684456.28885395406,154469.8853854787,477441.8315003377,1105401.0077543724,-54872.650288397286,-660661.176349045,422784.8848358052,-1029757.6731022962,-553317.7941811882,-213614.10596004274,926164.9927779058,-127592.18320532903,247067.8076421593,813514.8595124091,-419359.3068154562,762268.092019515,-787799.993053297,216639.63855299042,-791568.8053031329,-46107.27460662717,634302.7409113073,42157.322419411525,-598667.0285308565,770324.1360463182,-410702.3601095883,-1036103.8313664641,-465408.1636404676,779490.8911986845,238147.99623653034,-262023.06285468218,834850.7900587115,1373289.8296081412,632030.9842427955,-1887453.3559069051,-252559.39979222597,-425311.2429526488,909185.1292902526,-1651615.968217173,-2118003.649653483,487700.08016743866,-1080044.562938565,-588048.5649892953,274014.79428715195,-171232.56956918308,1409442.059053278,180160.15588132583,346387.2015978271,-1456779.9056046812,-794426.4605580007,1364686.8587885408,-1032304.194124261,-415069.62208242854,313074.4463456193,-489324.8334699313,393339.2108816826,-418508.00194651744
-33976.53250363791,-7667.943108078136,-23700.155879539612,-54872.650288397286,2724.0815164609303,32795.64871432415,-20986.988923404544,51117.32270150847,27466.545242379438,10604.135926219607,-45975.37749364524,6333.743261003524,-12265.040372217727,-40383.32339489498,20817.483391373735,-37839.40921468419,39106.68673021779,-10754.076931120462,39293.73480352736,2288.8398265808664,-31486.992257604492,-2092.585903698758,29718.03835455856,-38239.105319828246,20387.618067711075,51432.32645694044,23103.333899240595,-38694.68149841408,-11821.802017557302,13006.622744527658,-41442.41121148292,-68170.58723092086,-31373.92731981819,93694.2254966382,12536.929030233256,21112.962149884464,-45132.02082378217,81986.72054303817,105138.51786065333,-24209.7073397242,53613.529893739586,29191.446191667565,-13602.189736890145,8500.012778395305,-69965.25610619954,-8943.289708896893,-17195.01004552632,72315.0314005298,39435.66081681994,-67743.7085420472,51244.412501517494,20604.0254150916,-15541.045547470403,24290.605348734953,-19525.857410724315,20774.889489525307
-409076.6014619963,-92321.57491681862,-285350.8842246022,-660661.176349045,32795.64871432415,394855.3115422589,-252684.26171031938,615451.3808883912,330699.52158195473,127669.91524967067,-553537.9803968379,76257.6393310643,-147663.95372816728,-486210.68917266495,250637.172314427,-455582.1015268828,470841.54574545886,-129478.42321820375,473094.1518773567,27556.75078948758,-379101.12137774867,-25195.983212736803,357803.33940414665,-460396.61882464745,245462.94689633665,619244.5723149594,278158.75950096693,-465875.8409782162,-142333.03981319262,156602.1264042099,-498962.3062397933,-820769.1870861779,-377744.051027689,1128067.6086303901,150946.25635940407,254194.30138527296,-543389.4631993473,987115.6801979789,1265859.9522589084,-291481.82877047104,645506.0893107571,351456.98593248567,-163769.49134036005,102340.20083919725,-842376.4603169704,-107675.7750994267,-207024.18431234034,870668.4276878352,474801.8962397681,-815627.5187015662,616973.640281898,248073.08449043342,-187114.0407084014,292453.32939856645,-235085.94122312925,250128.12303524025
261785.67937512742,59080.44990984568,182608.55528765862,422784.8848358052,-20986.988923404544,-252684.26171031938,161703.7578673103,-393853.9334028522,-211629.2200804837,-81701.02020335144,354232.0276424437,-48800.43905400211,94495.69830494252,311146.5673317687,-160392.7559488826,291546.0896407748,-301311.5223733181,82858.65773993872,-302753.07398707705,-17634.650132280916,242603.09486430697,16124.185761594292,-228973.51256119472,294627.56822437013,-157081.86767409588,-396281.2671163612,-178005.15006357103,298132.8610195802,91084.89018353148,-100216.94193152979,319306.9888386645,525245.1239565419,241734.84069119982,-721897.7783608877,-96597.27158546683,-162669.1367973073,347738.410320635,-631697.3123026702,-810077.3796374142,186531.50468854004,-413087.33533724217,-224911.40806474295,104803.04304111234,-65491.798341574824,539072.3176175936,68906.1434968313,132483.13538733445,-557177.8116455425,-303845.89136668516,521954.4519989816,-394826.8770698026,-158752.83903857018,119742.37869653861,-187152.6336709214,150440.78418663915,-160067.63790377614
-637618.8558084259,-143899.3893237099,-444770.72946352157,-1029757.6731022962,51117.32270150847,615451.3808883912,-393853.9334028522,959291.4493979416,515454.6084828098,198996.00783844924,-862786.641672498,118860.92379327716,-230160.09712131124,-757845.357927024,390661.6975071335,-710105.5038590427,733890.538735561,-201814.79336187712,737401.45228625,42952.05246055037,-590897.3742942793,-39272.70226619586,557699.943725426,-717610.8005741277,382597.52059324726,965203.198681363,433559.6218345436,-726149.0447332802,-221851.3564565275,244093.3667043264,-777721.4110573119,-1279315.1092526633,-588781.2144134776,1758293.5089120027,235277.02617664516,396206.3829082032,-846969.6409731007,1538595.2394915856,1973067.5756198685,-454326.47993327334,1006137.294862602,547807.2470644589,-255263.83025822663,159514.98003997622,-1312993.1643269244,-167831.54576516995,-322683.314528659,1357091.9751418137,740063.543300835,-1271300.5285500325,961662.3738124629,386666.59932442155,-291650.8024012669,455839.3881412612,-366422.07986186165,389869.3611872628
-342611.03742196044,-77321.38964883258,-238988.30883856685,-553317.7941811882,27466.545242379438,330699.52158195473,-211629.2200804837,515454.6084828098,276969.2303962052,106925.50814064448,-463599.63002268854,63867.41313032439,-123670.09929447173,-407211.69948034,209913.14718275142,-381559.54967537447,394340.040266031,-108441.08553375647,396226.8221023154,23079.189372050514,-317505.4042908736,-21102.549250332897,299668.2405472423,-385592.32441929047,205579.91025749792,518631.7088336838,232963.04747550422,-390179.86900265585,-119206.8679545536,131158.52278680858,-417891.4962645109,-687412.1989023284,-316370.1061369235,944780.2368558466,126421.45574514341,212892.1783660094,-455101.4084369272,826731.4240437136,1060185.403710704,-244122.0329281077,540626.2060249196,294351.37094268703,-137160.57018364812,85712.38716242423,-705508.7248283776,-90180.63219536982,-173386.6687924909,729204.0258498676,397656.7824786214,-683105.4007085824,516727.5122450513,207767.16716447048,-156712.34786799946,244935.12586657036,-196888.6389203948,209487.74686166446
-132267.8917801257,-29850.508484121798,-92263.18983711209,-213614.10596004274,10604.135926219607,127669.91524967067,-81701.02020335144,198996.00783844924,106925.50814064448,41280.576446525854,-178977.47923344534,24656.588747178626,-47745.98970151058,-157208.3141836146,81039.80009582118,-147305.2220770146,152239.02060762956,-41864.465461102795,152967.1202210228,8910.167495284282,-122576.59143587941,-8146.523913300746,115689.60144815539,-148861.9697182241,79366.92794276125,200221.97295866298,89938.7951018451,-150633.80199079175,-46021.190211251145,50634.541199599,-161331.4989726364,-265382.30970745994,-122136.1993094256,364742.74861319544,48805.612363104454,82190.19893578254,-175695.52887865994,319167.1177517431,409294.7815637768,-94246.27743717273,208713.72119472333,113638.70581797311,-52952.10517264527,33089.598127774545,-272368.3351785146,-34815.19867452851,-66938.04811863435,281516.30815553904,153519.70091691508,-263720.1241585546,199489.11436640625,80210.15617027575,-60500.16626340022,94560.21930425389,-76011.44463051225,80874.92581236824
