V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
88914.49604083302,-658801.302822396,839655.6109393927,312601.84916756913,7234.394203018838,-478724.1263354547,516636.93175670237,-577045.3935233591,218145.94954428778,-250380.6863202395,-690242.2097189008,-537215.6471468367,-245871.7331881028,49465.75079245293,588097.309788445,-209482.63173655083,250564.0300304454,-700927.6764556362,-755558.2090791062,-55434.17076399962,-607512.4060311173,113497.39414520682,-503682.565059909,547750.2381912757,-256462.2618579367,470938.3308681341,-375962.18565067725,-165232.96869449678,-8698.410116614557,-248950.06641080262,321011.44690809987,-118887.88497679823,-306563.2162706709,-123301.925068554,-33193.45238188208,102280.1274955696,415162.73621059494,-248233.09894167562,517700.5687901306,786110.9239070396,-486854.4232124091,641014.6892399936,97996.29173445154,268836.8274275195,-1014125.3880124756,402708.3758625848,-580691.5414811359,-375686.7940965072,557516.2280347615,192157.0211048693,-604071.2718501627,-572778.080261264,136924.50854743546,-277571.9929609874,-106189.03212880532,411699.89525459526
-658801.302822396,4881320.106994237,-6221345.401563416,-2316191.8387288926,-53602.83637371859,3547060.392963031,-3827966.156281883,4275558.267401039,-1616329.8449787283,1855164.8376019858,5114281.739948701,3980444.1750526084,1821758.7816991508,-366510.84593431436,-4357450.24847187,1552139.845953525,-1856526.7573302905,5193452.828619236,5598228.7578265555,410732.9068390881,4501302.67903039,-840948.0414204947,3731988.120371555,-4058500.786019963,1900234.5137050243,-3489370.6823247084,2785653.179434198,1224275.5744894384,64448.783617997986,1844573.3810267777,-2378498.276544068,880885.3445097534,2271445.506569922,913591.6065883623,245945.30036069005,-757830.1643560383,-3076102.4529724894,1839258.878345881,-3835849.9086869666,-5824605.499857999,3607295.3964920007,-4749532.073690187,-726093.9241141222,-1991919.0805701294,7514054.950831055,-2983824.693928856,4302576.929192275,2783611.689381515,-4130861.9148540874,-1423767.9434473428,4475802.965994694,4243940.226462607,-1014528.8147300851,2056642.9365808156,786795.5167552242,-3050449.1741021764
839655.6109393927,-6221345.401563416,7929237.638696997,2952035.6646936084,68318.14088502119,-4520804.826074046,4878822.865870635,-5449289.259533618,2060046.5196918098,-2364444.576660873,-6518261.442667536,-5073160.349565938,-2321868.997617831,467125.5475768829,5553664.034352385,-1978234.9630712033,2366181.8660385637,-6619165.889063533,-7135059.962025068,-523487.30578239576,-5737006.251757213,1071806.3997757195,-4756499.338060114,5172645.762027848,-2421890.6239485214,4447277.330216647,-3550373.846235169,-1560364.667490324,-82140.79431008751,-2350949.184378693,3031445.081711304,-1122706.0437867243,-2895004.007435647,-1164391.3047180837,-313463.2859311423,965868.7901914507,3920556.322033968,-2344174.80323661,4888872.126741648,7423581.746602063,-4597573.147303368,6053378.873747827,925422.1552969113,2538743.0750142415,-9576820.666130953,3802947.068405817,-5483726.348779913,-3547771.529460015,5264872.009009535,1814622.4292409145,-5704504.992564885,-5408991.506684115,1293038.7503648875,-2621235.607865368,-1002786.9475650754,3887862.468164875
312601.84916756913,-2316191.8387288926,2952035.6646936084,1099035.6744958276,25434.641202678617,-1683084.4083218565,1816374.0777047381,-2028757.186439472,766950.3235768896,-880277.3851039644,-2426732.6807094007,-1888725.2596504048,-864426.3887114362,173909.7585077573,2067615.3461503629,-736492.0889612517,880923.8988558053,-2464299.30486699,-2656365.6726566763,-194893.14115457624,-2135873.3458165,399030.8567867453,-1770832.8664268416,1925763.3273309646,-901663.7124729474,1655710.436922775,-1321795.5669263,-580920.0554385209,-30580.918915634964,-875252.4148614184,1128599.8724160949,-417980.9086326064,-1077803.2024818088,-433500.1478585799,-116701.47251876001,359590.9341081013,1459613.8332725086,-872730.500739176,1820115.162208816,2763781.6606465504,-1711665.5225068242,2253658.2863039025,344532.406113866,945167.8649799847,-3565427.3044813974,1415828.0638029908,-2041577.8047912417,-1320826.8021984978,1960098.8504365594,675579.5090775022,-2123773.4529740307,-2013754.4100162338,481395.12655326683,-975879.5240187786,-373335.252367225,1447441.6627694268
7234.394203018838,-53602.83637371859,68318.14088502119,25434.641202678617,588.6537060477485,-38951.22241531216,42035.65483162262,-46950.85187707347,17749.283017722177,-20371.734592545243,-56161.211693488476,-43710.179870475615,-20005.027872184604,4024.70236213405,47850.31801908005,-17044.388304836815,20386.85627030456,-57030.51896644473,-61475.30782971538,-4510.285623892641,-49429.91131856842,9234.680444119691,-40981.962663135506,44567.389749186645,-20867.069784907297,38317.63288795968,-30589.88078581673,-13444.006597961667,-707.6620203184563,-20255.82216030005,26118.69728557518,-9673.096894174203,-24943.11779291658,-10032.309177562582,-2700.8717349938975,8321.694917231913,33779.246694667,-20197.361411666763,42122.37072406728,63961.19047674239,-39612.3957406358,52155.667268464276,7973.395908354249,21873.723112474414,-82513.40333897511,32766.006939524337,-47247.68359407602,-30567.425120774296,45362.05661680943,15634.72386120292,-49149.73753852526,-46603.66408765558,11140.807783019629,-22584.52912422969,-8639.907652622514,33497.73194803299
-478724.1263354547,3547060.392963031,-4520804.826074046,-1683084.4083218565,-38951.22241531216,2577508.5478886734,-2781629.506423112,3106877.5460249977,-1174522.4052965697,1348072.3023986726,3716345.6797233406,2892430.133167066,1323798.4844170918,-266328.56445703394,-3166386.7186191548,1127878.0478919584,-1349063.2931912947,3773875.452479414,4068008.725606283,298462.79269631574,3270917.874414743,-611083.7116546184,2711888.329315613,-2949151.2938284404,1380826.0293317274,-2535587.070103667,2024223.0455599814,889631.8515816205,46831.87077512921,1340379.167344266,-1728358.7229166946,640103.3985932859,1650567.6922260975,663870.1350590434,178719.36006287808,-550683.3562850035,-2235279.832087531,1336516.4952150206,-2787359.43899806,-4232507.538676097,2621276.709676734,-3451295.392085346,-527623.5709268132,-1447448.239493679,5460162.967203956,-2168225.8972390248,3126512.0318838223,2022739.228179341,-3001733.6526303347,-1034595.4560191624,3252387.0473148534,3083902.0783532723,-737217.9231609588,1494481.022900799,571732.4038293001,-2216640.2145385426
516636.93175670237,-3827966.156281883,4878822.865870635,1816374.0777047381,42035.65483162262,-2781629.506423112,3001918.7510184273,-3352923.3550492013,1267537.417166585,-1454834.4168512397,-4010655.711061406,-3121492.695146146,-1428636.6839975123,287420.5276374025,3417142.9279313353,-1217199.1761112222,1455901.8301385127,-4072742.5625902987,-4390171.321399476,-322099.85524532903,-3529953.337433782,659477.3155664759,-2926651.045530679,3182704.9799970607,-1490176.8133937016,2736389.124396064,-2184529.105215945,-960085.8276602094,-50541.414900330026,-1446527.0138366625,1865235.8452886464,-690796.9646843843,-1781284.319548375,-716445.277088124,-192871.73193001735,594296.5401630212,2412302.03423532,-1442359.730117599,3008100.734877707,4567697.649125949,-2828867.2319008643,3724617.0092808837,569407.9794309642,1562077.1154886114,-5892576.013812283,2339936.8741544574,-3374111.0720687355,-2182928.3224261664,3239450.907068697,1116528.9420038788,-3509956.8224852933,-3328128.2219155845,795600.601854717,-1612833.7655799638,-617010.8854403421,2392183.8039373667
-577045.3935233591,4275558.267401039,-5449289.259533618,-2028757.186439472,-46950.85187707347,3106877.5460249977,-3352923.3550492013,3744970.2450459935,-1415746.6284572687,1624942.565070831,4479609.9233525,3486479.2345013604,1595682.198885782,-321027.5815969883,-3816699.692453325,1359522.469590682,-1626135.5535769055,4548955.998865846,4903499.99903762,359761.75761114707,3942700.2916222354,-736588.1346424274,3268856.117060132,-3554849.1980335508,1664419.3838338098,-3056346.9670237657,2439959.3289086255,1072345.4715293546,56450.788477241134,1615665.672086868,-2083331.4613223448,771569.2306058498,1989563.7149646115,800216.7446075917,215424.03776315422,-663784.8884994955,-2694364.392332045,1611010.640980759,-3359828.820494214,-5101783.849173302,3159637.3702142728,-4160124.877250794,-635987.1467478723,-1744726.0125724939,6581576.082361396,-2613538.1566054435,3768636.009179847,2438171.1684871097,-3618230.4857419897,-1247081.2636031047,3920364.9620272075,3717275.9487962914,-888627.8885384018,1801417.794722875,689155.7684212417,-2671894.71966518
218145.94954428778,-1616329.8449787283,2060046.5196918098,766950.3235768896,17749.283017722177,-1174522.4052965697,1267537.417166585,-1415746.6284572687,535208.1326538783,-614292.4356745197,-1693469.4422728538,-1318026.8329719985,-603230.8748556902,121361.096127237,1442863.2064415421,-513953.1765679953,614743.4442358846,-1719684.98976573,-1853716.617713657,-136004.13694309906,-1490496.402691564,278459.4050794241,-1235756.6905720339,1343873.3723257808,-629216.2568859826,1155419.8426717517,-922400.9714389846,-405388.9352187417,-21340.619696250797,-610785.4248614074,787581.5555062601,-291683.6302368953,-752133.6423230773,-302513.5316542565,-81438.80045904631,250936.87623631535,1018576.1341532893,-609025.6341294202,1270147.9682137473,1928675.7461404658,-1194467.6776644543,1572691.4759655432,240428.24356590566,659575.3277182044,-2488095.6429398833,988020.6348177806,-1424693.2289479063,-921724.9777355744,1367834.0069399162,471445.960187735,-1482052.7502995685,-1405277.0954444034,335936.43507813045,-681007.058035853,-260528.08303223053,1010081.7176206582
-250380.6863202395,1855164.8376019858,-2364444.576660873,-880277.3851039644,-20371.734592545243,1348072.3023986726,-1454834.4168512397,1624942.565070831,-614292.4356745197,705065.2623699794,1943700.958000879,1512783.0356518028,692367.7687311058,-139294.18958498712,-1656063.8387750422,589896.8318196618,-705581.0431582389,1973791.1853913341,2127629.5585153997,156101.18471212464,1710736.420022984,-319605.1271618251,1418354.5254429514,-1542447.9948505193,722189.5364086117,-1326148.0057602571,1058698.2497019242,465291.1853688193,24494.667802376116,701035.4880231596,-903958.9733644049,334785.0300278612,863273.2217908716,347214.64215612557,93471.48324039218,-288018.43152391736,-1169086.1685888332,699016.8334072288,-1457829.1429618709,-2213665.109782345,1370967.8483865166,-1805078.1666163425,-275954.6620095036,-757036.4046988846,2855747.0331190955,-1134014.7991457824,1635209.6046103928,1057922.859084538,-1569948.5628452806,-541108.3867844578,1701046.7801930623,1612925.8775508816,-385575.1863096565,781634.2052407719,299025.36023166904,-1159334.3483459167
