site,date,value
1,2015-01-01,-0.34549443059416707
1,2015-01-02,-0.3415863531930549
1,2015-01-03,-0.3467035743024409
1,2015-01-04,-0.35363153216821525
1,2015-01-05,-0.35791043861724653
1,2015-01-06,-0.3602302687777268
1,2015-01-07,-0.36187859661077615
1,2015-01-08,-0.3612263700745499
1,2015-01-09,-0.35653994121439125
1,2015-01-10,-0.35028562002637204
1,2015-01-11,-0.3473990021964006
1,2015-01-12,-0.3490020818402254
1,2015-01-13,-0.35044124875395577
1,2015-01-14,-0.34721594191117394
1,2015-01-15,-0.3413813855341186
1,2015-01-16,-0.339750688221626
1,2015-01-17,-0.34561162390526545
1,2015-01-18,-0.3540131489316417
1,2015-01-19,-0.35652321664731834
1,2015-01-20,-0.3501212371423542
1,2015-01-21,-0.34013726755333856
1,2015-01-22,-0.33438395016142386
1,2015-01-23,-0.3354321933633495
1,2015-01-24,-0.33932127301537224
1,2015-01-25,-0.34115135810373537
1,2015-01-26,-0.3408565237167958
1,2015-01-27,-0.3430669151765543
1,2015-01-28,-0.35137653110075967
1,2015-01-29,-0.36299198575420033
1,2015-01-30,-0.36969974070174616
1,2015-01-31,-0.36520191155745446
1,2015-02-01,-0.3520942297729763
1,2015-02-02,-0.34117697857246204
1,2015-02-03,-0.3425698178240999
1,2015-02-04,-0.35654329524990613
1,2015-02-05,-0.37297372807719426
1,2015-02-06,-0.3802921689848408
1,2015-02-07,-0.37539005544163
1,2015-02-08,-0.3649973436459155
1,2015-02-09,-0.3578930609482258
1,2015-02-10,-0.35678221022163537
1,2015-02-11,-0.35812150252771136
1,2015-02-12,-0.3583453719612293
1,2015-02-13,-0.3578592566222329
1,2015-02-14,-0.3584893256026753
1,2015-02-15,-0.359217784589946
1,2015-02-16,-0.35665429480759375
1,2015-02-17,-0.3496437834186822
1,2015-02-18,-0.3417158436460505
1,2015-02-19,-0.3380427766581563
1,2015-02-20,-0.34037916651366
1,2015-02-21,-0.34573902544988894
1,2015-02-22,-0.3497140328207317
1,2015-02-23,-0.3502220430279055
1,2015-02-24,-0.3483028247617047
1,2015-02-25,-0.3465491098097568
1,2015-02-26,-0.34703152591296543
1,2015-02-27,-0.34958240820599296
1,2015-02-28,-0.3516640787869723
1,2015-03-01,-0.3509244140990477
1,2015-03-02,-0.34826326074374336
1,2015-03-03,-0.3472427189985874
1,2015-03-04,-0.3499213241466648
1,2015-03-05,-0.3544784376843361
1,2015-03-06,-0.3577108861691393
1,2015-03-07,-0.35876781299994
1,2015-03-08,-0.35927452251753256
1,2015-03-09,-0.36050202467086734
1,2015-03-10,-0.3618608357572252
1,2015-03-11,-0.3622084658114514
1,2015-03-12,-0.3613750198935804
1,2015-03-13,-0.359688983599379
1,2015-03-14,-0.3567578072580202
1,2015-03-15,-0.3519302969459681
1,2015-03-16,-0.34597728071691164
1,2015-03-17,-0.3411627155405332
1,2015-03-18,-0.3391953482673212
1,2015-03-19,-0.33995947594460463
1,2015-03-20,-0.342406705651657
1,2015-03-21,-0.34527963424591834
1,2015-03-22,-0.3463406996600891
1,2015-03-23,-0.3429461774372544
1,2015-03-24,-0.33554682962229265
1,2015-03-25,-0.3296487454048071
1,2015-03-26,-0.3317244368782863
1,2015-03-27,-0.34254095793582745
1,2015-03-28,-0.35581481979090895
1,2015-03-29,-0.36368594338066235
1,2015-03-30,-0.36238383286669856
1,2015-03-31,-0.35280773362676454
1,2015-04-01,-0.3380648757339647
1,2015-04-02,-0.32207931858664884
1,2015-04-03,-0.30919475506249916
1,2015-04-04,-0.3028885138308049
1,2015-04-05,-0.30402496317905103
1,2015-04-06,-0.309961436909291
1,2015-04-07,-0.31444914977301347
1,2015-04-08,-0.30911902850134126
1,2015-04-09,-0.2885783006103028
1,2015-04-10,-0.2568494042190192
1,2015-04-11,-0.2273192926341592
1,2015-04-12,-0.2127385422361156
1,2015-04-13,-0.21402787870780765
1,2015-04-14,-0.21958285146700052
1,2015-04-15,-0.21437441977123126
1,2015-04-16,-0.18806526597501355
1,2015-04-17,-0.1384930173916223
1,2015-04-18,-0.07679880475599331
1,2015-04-19,-0.03175387352423983
1,2015-04-20,-0.03665114569796232
1,2015-04-21,-0.09620843482160445
1,2015-04-22,-0.16588770162418953
1,2015-04-23,-0.17806319389670924
1,2015-04-24,-0.09927663428547918
1,2015-04-25,0.03760548282454334
1,2015-04-26,0.15698829006182655
1,2015-04-27,0.19450967305287228
1,2015-04-28,0.13823210193912464
1,2015-04-29,0.03624781193437613
1,2015-04-30,-0.03206843883622651
1,2015-05-01,-0.010598958896081924
1,2015-05-02,0.0892785287894626
1,2015-05-03,0.198078123758584
1,2015-05-04,0.24946376764568629
1,2015-05-05,0.23540586658630586
1,2015-05-06,0.20192916388051513
1,2015-05-07,0.19584497738062379
1,2015-05-08,0.2218269613636044
1,2015-05-09,0.2513829125743637
1,2015-05-10,0.26537380674353533
1,2015-05-11,0.2763260239997426
1,2015-05-12,0.306087980630816
1,2015-05-13,0.350942618626109
1,2015-05-14,0.37927218816841035
1,2015-05-15,0.3649566084885083
1,2015-05-16,0.3183564722731688
1,2015-05-17,0.2821810991886455
1,2015-05-18,0.2962204933758051
1,2015-05-19,0.36232919328808116
1,2015-05-20,0.44056776846886736
1,2015-05-21,0.4816786891812006
1,2015-05-22,0.46782535495753463
1,2015-05-23,0.42422544877085444
1,2015-05-24,0.39258321484968256
1,2015-05-25,0.3940411930484584
1,2015-05-26,0.4153540252873683
1,2015-05-27,0.4263305035061937
1,2015-05-28,0.40893506144243635
1,2015-05-29,0.37204402789184365
1,2015-05-30,0.34191137254923787
1,2015-05-31,0.3398056249058609
1,2015-06-01,0.36610277538072666
1,2015-06-02,0.4013019048661732
1,2015-06-03,0.4212559587116688
1,2015-06-04,0.4144260089045689
1,2015-06-05,0.38742253986857056
1,2015-06-06,0.35565077316111515
1,2015-06-07,0.3309828623412352
1,2015-06-08,0.3195298785777259
1,2015-06-09,0.32594814081714274
1,2015-06-10,0.3512309514251709
1,2015-06-11,0.38501820339044385
1,2015-06-12,0.4080420192810075
1,2015-06-13,0.4084869215525861
1,2015-06-14,0.3931951702759137
1,2015-06-15,0.37806294753052
1,2015-06-16,0.369946924330815
1,2015-06-17,0.3637311395030467
1,2015-06-18,0.356460966165853
1,2015-06-19,0.35653547587462675
1,2015-06-20,0.37276448769134396
1,2015-06-21,0.39687529887538775
1,2015-06-22,0.4057184445662447
1,2015-06-23,0.38668644483290937
1,2015-06-24,0.35741959935199874
1,2015-06-25,0.352001656372199
1,2015-06-26,0.3840944806318139
1,2015-06-27,0.42858337012937026
1,2015-06-28,0.44565506774523617
1,2015-06-29,0.422236249550524
1,2015-06-30,0.3839501912817008
1,2015-07-01,0.3644872023460362
1,2015-07-02,0.36956682507708855
1,2015-07-03,0.3762991313927062
1,2015-07-04,0.36389483920648086
1,2015-07-05,0.3370693703097064
1,2015-07-06,0.31824440811237253
1,2015-07-07,0.32204746770254006
1,2015-07-08,0.341023256229355
1,2015-07-09,0.35498442888749066
1,2015-07-10,0.3514619891168726
1,2015-07-11,0.3363304358407288
1,2015-07-12,0.3259429499492319
1,2015-07-13,0.33074839798712263
1,2015-07-14,0.34713786563208654
1,2015-07-15,0.3642435760727733
1,2015-07-16,0.37714028265127236
1,2015-07-17,0.3917901827365825
1,2015-07-18,0.41549086382783357
1,2015-07-19,0.4422744944768931
1,2015-07-20,0.45155595620290495
1,2015-07-21,0.42699494845011376
1,2015-07-22,0.3781701361012947
1,2015-07-23,0.3388557992833219
1,2015-07-24,0.3383131271842887
1,2015-07-25,0.3741964608902476
1,2015-07-26,0.4161762822020487
1,2015-07-27,0.4350292700065787
1,2015-07-28,0.4253842679423691
1,2015-07-29,0.40238105319297596
1,2015-07-30,0.3831745089689517
1,2015-07-31,0.37478190461729066
1,2015-08-01,0.3749136396454842
1,2015-08-02,0.37771917371129915
1,2015-08-03,0.3772463694225303
1,2015-08-04,0.3686306376715818
1,2015-08-05,0.3489811450119393
1,2015-08-06,0.3184939137743917
1,2015-08-07,0.2816600004091504
1,2015-08-08,0.24808030657256674
1,2015-08-09,0.2305049704668444
1,2015-08-10,0.23818754708104767
1,2015-08-11,0.2689868745346734
1,2015-08-12,0.30795283467396245
1,2015-08-13,0.3361970490901923
1,2015-08-14,0.34366592984531097
1,2015-08-15,0.3344527604604163
1,2015-08-16,0.32069411869787073
1,2015-08-17,0.31228427919361224
1,2015-08-18,0.3117534870122332
1,2015-08-19,0.31568724628275363
1,2015-08-20,0.31788473133158324
1,2015-08-21,0.311459512766652
1,2015-08-22,0.2919426516172872
1,2015-08-23,0.2618820970341274
1,2015-08-24,0.23241162232422172
1,2015-08-25,0.21741620455826494
1,2015-08-26,0.22314408509399805
1,2015-08-27,0.24248097024467524
1,2015-08-28,0.2600201373868317
1,2015-08-29,0.2637750188094649
1,2015-08-30,0.25291273860040664
1,2015-08-31,0.23572190797996084
1,2015-09-01,0.22184634744282886
1,2015-09-02,0.21621550285947094
1,2015-09-03,0.2176153473661809
1,2015-09-04,0.2204370969437817
1,2015-09-05,0.21804955916463092
1,2015-09-06,0.2069392491421447
1,2015-09-07,0.1896258354035997
1,2015-09-08,0.17380031184285658
1,2015-09-09,0.16757939450002188
1,2015-09-10,0.1745421522124662
1,2015-09-11,0.1926253614389631
1,2015-09-12,0.21668931536040031
1,2015-09-13,0.24049865822733602
1,2015-09-14,0.25603707053795743
1,2015-09-15,0.25434931449702286
1,2015-09-16,0.23237397330090515
1,2015-09-17,0.20035109026479275
1,2015-09-18,0.17774168682801378
1,2015-09-19,0.1767992100044375
1,2015-09-20,0.1908387637692502
1,2015-09-21,0.20206015905056784
1,2015-09-22,0.20017290982935354
1,2015-09-23,0.1900716996969019
1,2015-09-24,0.18192055732570842
1,2015-09-25,0.1783351890646568
1,2015-09-26,0.17357266308302677
1,2015-09-27,0.1627062829048264
1,2015-09-28,0.14786731853325558
1,2015-09-29,0.1335539038550452
1,2015-09-30,0.11615698410557336
1,2015-10-01,0.08197597256732506
1,2015-10-02,0.022853102147013454
1,2015-10-03,-0.042242383216137644
1,2015-10-04,-0.0686364218072745
1,2015-10-05,-0.023571516606120654
1,2015-10-06,0.07048883325967696
1,2015-10-07,0.13774627321579688
1,2015-10-08,0.10668376026534795
1,2015-10-09,-0.026506246030664482
1,2015-10-10,-0.18862478417161113
1,2015-10-11,-0.2849629411691479
1,2015-10-12,-0.27460147249407874
1,2015-10-13,-0.20357605129811376
1,2015-10-14,-0.16613714252017017
1,2015-10-15,-0.2230503084545058
1,2015-10-16,-0.34685016615901226
1,2015-10-17,-0.44690435783244825
1,2015-10-18,-0.4506690834991452
1,2015-10-19,-0.36687182563807175
1,2015-10-20,-0.275618549928729
1,2015-10-21,-0.2574924650117492
1,2015-10-22,-0.3271112041649332
1,2015-10-23,-0.4293535007923855
1,2015-10-24,-0.49522113928647216
1,2015-10-25,-0.4987729630799094
1,2015-10-26,-0.4650929687738615
1,2015-10-27,-0.4351282290624182
1,2015-10-28,-0.4302902252427281
1,2015-10-29,-0.44492256977353495
1,2015-10-30,-0.4609115992531108
1,2015-10-31,-0.4652627491998967
1,2015-11-01,-0.4579499536543317
1,2015-11-02,-0.44763792023765914
1,2015-11-03,-0.4409052651014631
1,2015-11-04,-0.4356925989804187
1,2015-11-05,-0.42601311507639206
1,2015-11-06,-0.41207554145143266
1,2015-11-07,-0.402191703448745
1,2015-11-08,-0.40256580458308566
1,2015-11-09,-0.40772001614406744
1,2015-11-10,-0.4046501151364785
1,2015-11-11,-0.3864236976026713
1,2015-11-12,-0.359461085732168
1,2015-11-13,-0.337529569870567
1,2015-11-14,-0.3303855945547377
1,2015-11-15,-0.3378594694179799
1,2015-11-16,-0.35250956215886975
1,2015-11-17,-0.3667063004422727
1,2015-11-18,-0.377248134943744
1,2015-11-19,-0.38347852370853364
1,2015-11-20,-0.3832018390071535
1,2015-11-21,-0.37446535972560185
1,2015-11-22,-0.3617910283430266
1,2015-11-23,-0.35516872389977966
1,2015-11-24,-0.35897453432548304
1,2015-11-25,-0.3652897718251892
1,2015-11-26,-0.3634868965996895
1,2015-11-27,-0.35429424382250235
1,2015-11-28,-0.34834232569128
1,2015-11-29,-0.3507366041689656
1,2015-11-30,-0.35354710450851196
1,2015-12-01,-0.34711270673255434
1,2015-12-02,-0.33475515773896053
1,2015-12-03,-0.33083662550902215
1,2015-12-04,-0.3441847160104239
1,2015-12-05,-0.36689220861800176
1,2015-12-06,-0.3814665971453197
1,2015-12-07,-0.37800114674066043
1,2015-12-08,-0.36258740547794044
1,2015-12-09,-0.3492040576295632
1,2015-12-10,-0.34576025959825873
1,2015-12-11,-0.3495036817285188
1,2015-12-12,-0.35375484558314035
1,2015-12-13,-0.35503617110548497
1,2015-12-14,-0.35358470174094836
1,2015-12-15,-0.3514065965125165
1,2015-12-16,-0.35227800454688024
1,2015-12-17,-0.3600053970765578
1,2015-12-18,-0.3726280131630302
1,2015-12-19,-0.38060749361232277
1,2015-12-20,-0.37574746556863897
1,2015-12-21,-0.3618764465146928
1,2015-12-22,-0.3523755936725363
1,2015-12-23,-0.3560022089222725
1,2015-12-24,-0.36857368589012074
1,2015-12-25,-0.380151239890017
1,2015-12-26,-0.38666074025535363
1,2015-12-27,-0.39089891128685034
1,2015-12-28,-0.394124446548628
1,2015-12-29,-0.3917704114743259
1,2015-12-30,-0.3794794091780753
1,2015-12-31,-0.36084048192187923
1,2016-01-01,-0.3459529063137226
1,2016-01-02,-0.34201367740755717
1,2016-01-03,-0.3471248552509597
1,2016-01-04,-0.354064120942362
1,2016-01-05,-0.3583554241003027
1,2016-01-06,-0.3606695725552586
1,2016-01-07,-0.36227555734453326
1,2016-01-08,-0.36154250018582296
1,2016-01-09,-0.35677277593620715
