V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
108685.45544894358,71899.33087639208,149137.03224202263,110746.89321932923,47806.5991154805,252819.58720348642,-55833.51875604846,250936.12851581434,-195449.0947099715,86842.25836609508,-250810.158697166,44577.216874366626,-17858.391314436056,-149743.25405764818,-185150.39800602687,-110139.12392542881,-67060.45430489448,-171035.91545339188,-102065.41684549801,11457.5447173604,-18609.698857706273,-41278.70846997342,-125257.52482626554,122758.6493597462,58865.68928761483,-104212.67163711316,7254.250603898843,-9994.23742936711,19047.92286205754,94120.74013090308,181605.6397967953,-17926.146371707735,159572.24527365618,-150614.24917697787,-74924.09712449621,-4898.958889539747,-78717.3722981599,-7551.759743962908,-65441.764088584336,229927.47820359698,-118310.68841478579,231475.1022108818,134224.37098346828,67524.14961213285,248762.77843032675,8517.932272300652,-177102.972703927,-62351.464380999154,-175635.72967034584,-244733.86623969188,-25295.046177716747,5805.29061371326,93735.09535810401,269850.4891334831,16950.59017385244,38961.95853287269
71899.33087639208,47564.99217848216,98660.95435021241,73264.58554297904,31627.764354078037,167253.2904050638,-36935.61695638869,166007.1639277203,-129299.22523669129,57449.609586259605,-165923.34707135378,29490.48339897879,-11814.224863390893,-99062.66937066797,-122486.46999299625,-72862.21209965093,-44363.993813703266,-113148.05891916364,-67520.96708999918,7579.242388106955,-12310.171436962526,-27307.829442070324,-82864.13764976393,81211.76889283753,38941.93619153517,-68941.36329995052,4799.785357349999,-6611.552142324125,12601.471974663262,62265.3296316763,120141.63240406507,-11858.742232969458,105565.62869377107,-99637.93279463156,-49566.27890100334,-3241.456275623099,-52075.23538060474,-4995.290321890301,-43292.94229078193,152107.97821797236,-78268.51305572437,153132.7834999254,88795.5993604493,44671.09862491873,164568.75031178608,5635.361893876798,-117162.79721321995,-41249.05247378315,-116190.91846309666,-161903.48124447517,-16734.330892011563,3840.9307741089574,62010.41407181888,178520.0504174305,11214.455405187899,25774.751453927875
149137.03224202263,98660.95435021241,204646.50938124498,151968.10764361345,65602.6829896617,346922.6843559488,-76613.72442831667,344337.86009079503,-268197.4280966214,119164.57311579115,-344164.5644061165,61169.9816945923,-24505.544992688443,-205479.5355550774,-254065.90971167045,-151133.70747955277,-92021.41945240855,-234696.3049116969,-140054.68370898766,15721.468100898042,-25534.69063320911,-56642.878520213955,-171879.78670791336,168452.0837465698,80775.12011320046,-143000.9762750281,9955.51894660586,-13713.98327863549,26138.101404061657,129153.12838241708,249202.0496579267,-24597.893390943318,218967.84983349324,-206673.15088207045,-102812.11902239568,-6723.196736734699,-108016.32818899644,-10361.748161175778,-89799.8998900035,315508.3254948146,-162347.5625437531,317633.56135937676,184183.34437608818,92658.23305484907,341354.7025016177,11688.961765475011,-243023.51334678748,-85560.1514470343,-241008.04982015092,-335826.18343550083,-34710.90809994135,7966.840391129815,128624.24944898568,370292.6679871608,23261.199045662044,53463.24761406751
110746.89321932923,73264.58554297904,151968.10764361345,112849.97582778783,48716.50979582119,257621.55070590295,-56892.03891745297,255701.9872246851,-199160.71873373416,88489.9757843566,-255573.15913339244,45424.41836474748,-18197.58867256317,-152587.09484215413,-188666.94770541057,-112230.23564623765,-68334.28927443117,-174282.76423023408,-104002.9944451903,11674.36429062394,-18961.23695714145,-42062.355517967124,-127636.19240699327,125091.24967429317,59982.450194134915,-106190.81752378709,7393.245127393247,-10183.796059078462,19409.990828922764,95907.67651739108,185055.1861513015,-18265.966242225717,162603.64735723558,-153472.94552059597,-76347.38153234252,-4992.83646378378,-80211.6618113685,-7694.248099313406,-66684.49583620451,234293.06887130573,-120557.77721771714,235871.77002780914,136772.42300271947,68807.34756991862,253486.45728807466,8680.294296685523,-180467.1045819346,-63536.36636623334,-178969.7407727494,-249381.02156161008,-25776.225718720252,5916.3486072425285,95515.03622713438,274975.868245389,17274.000690540488,39701.00605956919
47806.5991154805,31627.764354078037,65602.6829896617,48716.50979582119,21032.311585730313,111214.08151311145,-24558.470539117978,110385.24533153702,-85976.17049144651,38199.31265827004,-110329.0266880126,19609.979018957463,-7855.783441093179,-65870.84059912988,-81446.54347989289,-48448.591138827636,-29499.6644169257,-75235.659113529,-44896.81234010881,5039.0584466476275,-8183.9707504428925,-18157.877600446,-55099.65910036118,54002.10616136426,25893.10372254079,-45841.11574234756,3192.611157652851,-4396.092785742372,8379.550877445454,41402.3293582851,79887.62758363484,-7884.874953991092,70195.67841004573,-66251.9588432874,-32958.959024547265,-2156.1105510260186,-34626.45865441724,-3320.7742795942245,-28787.165153626993,101141.96323496738,-52044.10051615364,101824.82612891892,59042.975887104265,29704.339915240766,109428.00284417844,3747.681716969915,-77906.91131530303,-27428.829944350582,-77258.79263539244,-107655.75457907216,-11127.982406631554,2554.666123802394,41233.10785807718,118705.7928621248,7458.180903050384,17137.91884900284
252819.58720348642,167253.2904050638,346922.6843559488,257621.55070590295,111214.08151311145,588116.2342548234,-129876.34211160312,583734.0003982239,-454657.6069381945,202010.3856944883,-583439.7493244876,103698.19062329261,-41542.70835493627,-348336.2400904657,-430701.8925359136,-256206.63128992432,-155998.28516935627,-397864.0859959273,-237424.83290862993,26650.731622479674,-43285.30706632797,-96022.69539890421,-291376.5308027812,285567.3052438149,136931.58536005853,-242419.26660383976,16878.256419934063,-23248.177845466667,44310.55166424542,218944.3702893412,422456.8302782679,-41698.56271257722,371203.0129938184,-350357.8858190757,-174291.13932023835,-11398.293085927598,-183112.39237448553,-17564.613362855074,-152231.88186980283,534859.8055556426,-275217.6122157583,538464.416942198,312233.0152504886,157078.4153104227,578675.931755505,19816.201369481645,-411982.91312807734,-145045.44293813058,-408563.75328389433,-569303.7348338793,-58844.03635217305,13506.558975764132,218048.14454495587,627733.853802266,39434.84362529185,90631.82239058272
-55833.51875604846,-36935.61695638869,-76613.72442831667,-56892.03891745297,-24558.470539117978,-129876.34211160312,28682.712473427484,-128908.85958318996,100404.52900337754,-44612.19553283031,128844.18752272883,-22899.734391245904,9174.056421396936,76924.86717834265,95113.87813381573,56579.87473310767,34449.679329288025,87863.43301790342,52432.37358684145,-5886.034291435551,9560.393631622972,21205.438235449397,64346.33720978683,-63062.32380593216,-30240.24266149246,53535.490875815565,-3726.353000467654,5134.205626603569,-9785.12036294415,-48351.066542294066,-93292.8469826602,9209.005604001606,-81973.9998896182,77372.65712392022,38489.334050532896,2516.4996486611303,40438.21054192499,3879.606170963477,33618.22231954078,-118116.67803921281,60777.52724953329,-118911.35840192871,-68952.87157802537,-34687.78930488898,-127792.5167013538,-4375.630745824542,90979.6962099388,32030.522492169435,90226.45384149718,125722.85275106318,12994.184201831586,-2982.070339204616,-48152.89593988109,-138625.30560924075,-8707.391365414947,-20015.401817784004
250936.12851581434,166007.1639277203,344337.86009079503,255701.9872246851,110385.24533153702,583734.0003982239,-128908.85958318996,579384.6089758261,-451269.81005463563,200505.34906336808,-579092.3098856489,102925.4948090071,-41233.11238095742,-345740.65463282046,-427492.6067393625,-254297.63698868488,-154835.85187931726,-394899.6874591495,-235655.84525653522,26452.146487053105,-42963.085220629146,-95307.3291691799,-289205.47001115134,283439.3396738234,135911.4388861095,-240613.09386776394,16752.345913578243,-23074.998207161672,43980.486677205976,217313.07439364976,419308.9283400839,-41388.04140007086,368436.94216711464,-347747.53252405435,-172992.3708946943,-11313.336279904532,-181748.22841058843,-17433.80213371928,-151097.54100875682,530874.5556511447,-273166.7726107685,534452.0954570553,309906.68713644263,155907.86366320463,574364.2627287831,19668.446939041285,-408912.8685782965,-143964.55455215796,-405519.5855949336,-565061.9413972347,-58405.3654479809,13405.777465234507,216423.50231716648,623056.4165670095,39140.693110806045,89956.56408690722
-195449.0947099715,-129299.22523669129,-268197.4280966214,-199160.71873373416,-85976.17049144651,-454657.6069381945,100404.52900337754,-451269.81005463563,351484.50031250645,-156169.51793476025,451042.70553554303,-80166.25542493067,32115.638930851917,269290.02898228867,332964.7536847397,198067.0680295285,120598.33554933479,307579.04815262405,183547.32127982395,-20603.227855799367,33463.197146702405,74232.71421318785,225255.7914163935,-220764.59635125098,-105858.61390611103,187408.42942660954,-13047.859210072955,17972.633680802053,-34255.13057490379,-169260.44203494646,-326590.5977196476,32236.18507852134,-286967.43973532703,270853.2337829164,134739.99241013237,8811.469491709953,141559.57776963254,13579.015958486376,117686.68863157663,-413486.89711615816,212763.88479269756,-416273.17997831973,-241379.66765311957,-121433.19203002864,-447359.90752578346,-15319.312315390658,318493.67312327214,112130.8429672906,315850.7626406934,440114.3974007411,45490.765677450196,-10441.447861749164,-168567.49534000267,-485285.04186003335,-30485.866464883995,-70065.40036347887
86842.25836609508,57449.609586259605,119164.57311579115,88489.9757843566,38199.31265827004,202010.3856944883,-44612.19553283031,200505.34906336808,-156169.51793476025,69389.16108099816,-200404.6346862669,35618.63508534484,-14269.394044885876,-119649.2604523227,-147940.6613689333,-88004.2593267571,-53583.33340978807,-136662.4009032063,-81553.07799710018,9154.750892942959,-14869.255981188096,-32982.81775237484,-100084.39472312339,98088.04078910116,47035.140319895276,-83268.7485898307,5796.637282616548,-7985.630652681572,15219.89986088278,75205.09918667437,145108.36888790276,-14323.359465078536,127503.11192225428,-120344.81311284231,-59866.6394331307,-3914.590650102782,-62897.31212504184,-6033.873504689622,-52289.87201530214,183718.55885641463,-94533.77269725608,184955.54179841687,107248.95691161971,53953.965989128075,198768.58672904054,6806.217596374959,-141510.65676003098,-49820.82544347836,-140337.75102462198,-195549.35782432018,-20211.681150883138,4638.788476013401,74897.029724863,215618.57175239324,13544.379305347342,31131.549996243277
