site,date,value
1,2014-01-01,0.005846915891666759
1,2014-01-02,0.005867363796905117
1,2014-01-03,0.00588953102905961
1,2014-01-04,0.005911911825018798
1,2014-01-05,0.005934278861651278
1,2014-01-06,0.005957055919775284
1,2014-01-07,0.005980827706281883
1,2014-01-08,0.006004727720118191
1,2014-01-09,0.006026494784012585
1,2014-01-10,0.006044184839690572
1,2014-01-11,0.006057684815959921
1,2014-01-12,0.0060669165798004476
1,2014-01-13,0.006072673804790054
1,2014-01-14,0.006076113216775061
1,2014-01-15,0.0060774214402840015
1,2014-01-16,0.00607637237776385
1,2014-01-17,0.006073060639153093
1,2014-01-18,0.0060679889101169105
1,2014-01-19,0.006062021268302762
1,2014-01-20,0.006056139130279509
1,2014-01-21,0.006050104409126466
1,2014-01-22,0.006044440585396573
1,2014-01-23,0.006041280884971388
1,2014-01-24,0.006042037498009587
1,2014-01-25,0.006047592692548139
1,2014-01-26,0.006058642439827912
1,2014-01-27,0.00607588815140414
1,2014-01-28,0.006097851963006541
1,2014-01-29,0.00612387950368589
1,2014-01-30,0.006155796845323458
1,2014-01-31,0.006189092561786913
1,2014-02-01,0.006219103458758007
1,2014-02-02,0.006241564960503522
1,2014-02-03,0.006253956451194699
1,2014-02-04,0.006258730619872134
1,2014-02-05,0.006259319388806742
1,2014-02-06,0.006256051799649293
1,2014-02-07,0.006246801901130562
1,2014-02-08,0.006235353599410614
1,2014-02-09,0.006220149892921151
1,2014-02-10,0.006202157228067565
1,2014-02-11,0.00618090449748346
1,2014-02-12,0.00615791065528367
1,2014-02-13,0.0061335662080612965
1,2014-02-14,0.006111018410789012
1,2014-02-15,0.006091513750727787
1,2014-02-16,0.006076114295590946
1,2014-02-17,0.006064413535241761
1,2014-02-18,0.006054673170445747
1,2014-02-19,0.00604495451628924
1,2014-02-20,0.006035340960403003
1,2014-02-21,0.00602631875323507
1,2014-02-22,0.006017455928165681
1,2014-02-23,0.006007168803939279
1,2014-02-24,0.00599439399748356
1,2014-02-25,0.005979600857895759
1,2014-02-26,0.005964374739487313
1,2014-02-27,0.005950290587815065
1,2014-02-28,0.005938781135239058
1,2014-03-01,0.005929502336258863
1,2014-03-02,0.005923158129346693
1,2014-03-03,0.005920972701648329
1,2014-03-04,0.00592316807294352
1,2014-03-05,0.005928850889590271
1,2014-03-06,0.005937338547413713
1,2014-03-07,0.005949639410675301
1,2014-03-08,0.005965124882264407
1,2014-03-09,0.005982590133319858
1,2014-03-10,0.006000361341250636
1,2014-03-11,0.006017202804062987
1,2014-03-12,0.006032116889070908
1,2014-03-13,0.006045681614285165
1,2014-03-14,0.006058467791870379
1,2014-03-15,0.006069478614496996
1,2014-03-16,0.00607784644340967
1,2014-03-17,0.006084334415898646
1,2014-03-18,0.006089052426432051
1,2014-03-19,0.006091805526304877
1,2014-03-20,0.006091683503488245
1,2014-03-21,0.006088406246732035
1,2014-03-22,0.006082729215119021
1,2014-03-23,0.006075238191487328
1,2014-03-24,0.0060667457721677856
1,2014-03-25,0.006058240078980811
1,2014-03-26,0.00605150848645983
1,2014-03-27,0.006047939585848427
1,2014-03-28,0.006046860234614012
1,2014-03-29,0.006044893979569476
1,2014-03-30,0.006041266157620197
1,2014-03-31,0.0060361027888020955
1,2014-04-01,0.006029413765539472
1,2014-04-02,0.006020632544739054
1,2014-04-03,0.006011936188759744
1,2014-04-04,0.006004332463053214
1,2014-04-05,0.005998447828905222
1,2014-04-06,0.005993986119329267
1,2014-04-07,0.005990795241018345
1,2014-04-08,0.005988290688020491
1,2014-04-09,0.005986511729452679
1,2014-04-10,0.0059855461407066594
1,2014-04-11,0.00598594816407893
1,2014-04-12,0.005987573227068952
1,2014-04-13,0.005990202649572225
1,2014-04-14,0.005993316354661148
1,2014-04-15,0.0059971551600514475
1,2014-04-16,0.006000879378422321
1,2014-04-17,0.006004061278600502
1,2014-04-18,0.0060070976785699904
1,2014-04-19,0.006012893870141792
1,2014-04-20,0.006022447575095485
1,2014-04-21,0.0060357141737569795
1,2014-04-22,0.006051420202654348
1,2014-04-23,0.006068736715780643
1,2014-04-24,0.006087761314428753
1,2014-04-25,0.006108367169599819
1,2014-04-26,0.006129970098974174
1,2014-04-27,0.006151865005199114
1,2014-04-28,0.006173170726525351
1,2014-04-29,0.006193706273445092
1,2014-04-30,0.0062126201616662996
1,2014-05-01,0.006227304903477646
1,2014-05-02,0.006234670094855067
1,2014-05-03,0.00623635304802768
1,2014-05-04,0.006234057460803888
1,2014-05-05,0.0062289686357213155
1,2014-05-06,0.006221086399588067
1,2014-05-07,0.006210118789984175
1,2014-05-08,0.0061949117791684424
1,2014-05-09,0.006175377937143387
1,2014-05-10,0.006152264122307559
1,2014-05-11,0.006127358343167345
1,2014-05-12,0.006101446288004163
1,2014-05-13,0.006074676538160768
1,2014-05-14,0.006048203223300093
1,2014-05-15,0.006023014384615523
1,2014-05-16,0.005998289814610003
1,2014-05-17,0.005973384199860468
1,2014-05-18,0.005948304577393786
1,2014-05-19,0.005923517032011725
1,2014-05-20,0.005900128646046096
1,2014-05-21,0.0058790891022783434
1,2014-05-22,0.005860775351446903
1,2014-05-23,0.0058454856808103995
1,2014-05-24,0.005832300800544964
1,2014-05-25,0.005820221778396479
1,2014-05-26,0.005809000232670739
1,2014-05-27,0.005799305097807225
1,2014-05-28,0.005791660402434932
1,2014-05-29,0.0057855206243605335
1,2014-05-30,0.005780460658182075
1,2014-05-31,0.005776605662161727
1,2014-06-01,0.005774418010677459
1,2014-06-02,0.00577407441164861
1,2014-06-03,0.005775885355073648
1,2014-06-04,0.005779573265005736
1,2014-06-05,0.005785510143617281
1,2014-06-06,0.005793616246215695
1,2014-06-07,0.005803501415884006
1,2014-06-08,0.005814750090901293
1,2014-06-09,0.00582713948806545
1,2014-06-10,0.005840643124235531
1,2014-06-11,0.005854490976718349
1,2014-06-12,0.005867761096103946
1,2014-06-13,0.005879655560934046
1,2014-06-14,0.005890425393255824
1,2014-06-15,0.005900713503506354
1,2014-06-16,0.0059108483398624566
1,2014-06-17,0.00592063412410336
