V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
163963.0103225238,-1214865.6656021653,1548371.3868905695,576455.0179890834,13340.63586009167,-882793.8932879457,952706.5708815501,-1064103.2946779302,402273.0637287557,-461715.0947543635,-1272844.8275583754,-990655.0845705534,-453400.6428577344,91217.49037461261,1084484.108171954,-386297.4368817274,462053.5956462354,-1292549.2058965096,-1393290.483889687,-102223.5595757866,-1120286.3854574184,209295.5063514291,-928818.7411435732,1010081.6694944738,-472930.92756451113,868436.2769886422,-693294.8793006485,-304698.4934888819,-16040.204192897523,-459077.9988069407,591962.3136207858,-219235.50594125185,-565318.9752827967,-227375.34504477718,-61210.761484034396,188609.712631778,765582.4401625545,-457755.59362837573,954668.3089164841,1449631.3017234656,-897785.9456429359,1182066.16389003,180710.6093900458,495749.8652316691,-1870102.437909035,742616.0970417941,-1070827.3495873637,-692786.9072011888,1028090.8028412175,354348.1139078936,-1113940.410374458,-1056234.1523208125,252496.38619616613,-511858.1920464677,-195818.26888737813,759197.296790955
-1214865.6656021653,9001421.679365959,-11472501.960897151,-4271184.672456497,-98846.61633857327,6540973.902258756,-7058979.218201557,7884363.698117032,-2980600.809775838,3421025.322077907,9431015.899817368,7340157.220617159,3359422.888887441,-675866.0307959955,-8035377.223635047,2862230.9133326476,-3423536.970314452,9577011.619572436,10323440.460151473,757413.8850678658,8300648.893457904,-1550754.3188146402,6881990.740175063,-7484097.919270011,3504136.7432539104,-6434590.807520391,5136897.090545126,2257631.214447469,118847.0053320437,3401494.5342261656,-4386081.022599545,1624400.7262204252,4188669.8334364793,1684712.9485247347,453536.71962371975,-1397480.0820221235,-5672501.356762723,3391694.189002797,-7073517.462304664,-10740891.575520933,6652050.209599984,-8758397.379331367,-1338956.9445145323,-3673207.942961865,13856328.922778709,-5502336.219308609,7934187.739178814,5133132.4398756,-7617535.871799967,-2625506.1053172885,8253625.8297663545,7826058.327422194,-1870846.7721989914,3792562.33024123,1450893.9465087825,-5625195.506752216
1548371.3868905695,-11472501.960897151,14621947.689014936,5443715.362980544,125982.29164469447,-8336610.884802145,8996817.316911448,-10048788.07196154,3798838.700925238,-4360166.867952057,-12020030.389564404,-9355185.638935564,-4281654.404908133,861405.2752900732,10241259.713902937,-3647973.722510374,4363369.511109135,-12206104.241972772,-13157442.167104518,-965339.5509080386,-10579353.321461676,1976469.5030142854,-8771244.277893625,9538641.723672543,-4466097.925430216,8201022.642593161,-6547083.916867663,-2877398.2711725524,-151472.48171421036,-4335278.113037611,5590151.725531489,-2070332.1148205409,-5338546.93814021,-2147201.7470655967,-578042.9362905506,1781116.1403599072,7229721.601801541,-4322786.431111514,9015347.865254572,13689492.275420753,-8478177.528796703,11162762.450367501,1706529.042007221,4681581.273026134,-17660182.912272736,7012843.233560702,-10112291.100006858,-6542285.392409684,9708711.673243208,3346263.1220554514,-10519420.100647798,-9974476.749268582,2384434.0877774637,-4833701.577872019,-1849194.439490578,7169431.093934374
576455.0179890834,-4271184.672456497,5443715.362980544,2026681.9757714344,46902.859331290965,-3103699.734239026,3349493.415100388,-3741139.424207999,1414298.4333375415,-1623279.9476518794,-4475027.8966127895,-3482912.8839573064,-1594049.7407152713,320699.1390238586,3812795.836598203,-1358131.7782014702,1624472.0051320174,-4544302.884726375,-4898483.943595225,-359393.65509623167,-3938667.394101807,735834.7361067242,-3265512.6547649754,3551213.0275902594,-1662717.1279900502,3053220.7023855336,-2437463.450652453,-1071248.4655768075,-56392.93454058227,-1614013.2574421586,2081200.1422688311,-770779.7938874182,-1987528.299707731,-799398.0984483702,-215203.83479710747,663105.543291844,2691608.037490515,-1609362.801317237,3356392.062292884,5096564.93716428,-3156405.1040518773,4155869.386237971,635336.5986746744,1742941.3202814532,-6574843.445320831,2610864.6203076574,-3764781.223664054,-2435677.0413036407,3614529.5686993417,1245805.6216380382,-3916354.6527979467,-3713473.480966729,887718.9625205072,-1799575.2306407858,-688450.7085887144,2669161.69739145
13340.63586009167,-98846.61633857327,125982.29164469447,46902.859331290965,1085.5199224799112,-71828.09213524926,77516.12854691119,-86579.97340223713,32730.64018205693,-37566.80586007292,-103564.26768309188,-80603.92522206948,-36890.44924454482,7421.824861644663,88238.4639442015,-31430.77636559779,37594.5754877695,-105167.38513836359,-113363.93501789875,-8317.282062921822,-91151.43914482264,17029.211466406567,-75572.87199130353,82184.6216398377,-38479.875841608155,70659.76074283189,-56409.41806710993,-24791.539007698582,-1305.0364497479234,-37352.71716544135,48164.42962184848,-17837.80894050278,-45996.612394139884,-18500.122615528264,-4980.477171889109,15345.826138273582,62290.86994699642,-37245.0238249782,77675.9223044446,117948.0415046735,-73047.57419158165,96177.92584889091,14703.400034889402,40336.35306795962,-152159.33535317113,60422.320135505805,-87127.21950074304,-56368.053769573846,83650.00758472773,28831.2726174473,-90634.88375439451,-85939.7143700833,20544.220284152354,-41647.05914998229,-15932.50627020546,61771.59145772828
-882793.8932879457,6540973.902258756,-8336610.884802145,-3103699.734239026,-71828.09213524926,4753066.109743461,-5129477.830930804,5729252.534799916,-2165883.693498699,2485920.670618898,6853144.251910526,5333799.582071689,2441157.6512645935,-491124.66043591837,-5838989.563997338,2079868.9636038032,-2487747.138704453,6959232.815998558,7501631.623154405,550382.0531843026,6031751.275296318,-1126871.6136061978,5000869.6265127435,-5438396.091124756,2546317.8110085195,-4675761.073609346,3732778.220886096,1640530.1914937997,86360.90349776561,2471731.675981808,-3187189.0391616127,1180386.373677902,3043738.157211906,1224213.2200909257,329567.7609248721,-1015491.4435462323,-4121979.339894151,2464609.340213602,-5140043.316070837,-7804976.55340061,4833778.632598597,-6364377.925395611,-972966.7089650428,-2669173.8139103255,10068840.502697138,-3998327.741227663,5765458.769766741,3730042.2574966326,-5535360.555274153,-1907850.6444978262,5997580.272637064,5686884.436881103,-1359470.0229857068,2755904.4240665194,1054306.2405051484,-4087605.673587515
952706.5708815501,-7058979.218201557,8996817.316911448,3349493.415100388,77516.12854691119,-5129477.830930804,5535702.259592775,-6182974.324333562,2337408.442364745,-2682793.388439599,-7395869.441191218,-5756203.63437397,-2634483.853807071,530019.0690579767,6301399.505582344,-2244581.9472012916,2684762.414797372,-7510360.651311552,-8095716.0570563525,-593969.5624207393,-6509427.731709459,1216112.4648745623,-5396905.585843883,5869082.706761314,-2747968.394745507,5046051.766156316,-4028391.3633718966,-1770450.6785007897,-93200.88879182776,-2667475.704636846,3439596.547716823,-1273867.0324877673,-3284785.3046952947,-1321164.1426604846,-355666.40142368583,1095914.5907305006,4448416.577373978,-2659790.5798296137,5547102.735220807,8423084.26808984,-5216585.679888686,6868397.786497555,1050019.5446352959,2880555.8329309323,-10866232.521759974,4314971.576134813,-6222046.189490811,-4025439.25465292,5973725.503691665,2058940.5905143565,-6472552.47356469,-6137250.795462532,1467131.2555801673,-2974154.147724139,-1137801.6292238522,4411318.249308732
-1064103.2946779302,7884363.698117032,-10048788.07196154,-3741139.424207999,-86579.97340223713,5729252.534799916,-6182974.324333562,6905930.329738845,-2610714.359208942,2996482.980595367,8260646.238575653,6429258.767405875,2942525.339513274,-591992.4325082382,-7038203.472725758,2507033.919035172,-2998683.0214943993,8388524.146544911,9042322.626031294,663420.351551225,7270555.444873216,-1358308.9041226988,6027949.887970186,-6555336.74890492,3069280.6389587577,-5636071.318030323,4499418.695197698,1977463.7950719474,104098.31001071974,2979376.108792375,-3841777.3033753885,1422815.878995495,3668864.4363422124,1475643.4924854867,397253.7845109393,-1224055.5730004243,-4968555.504472225,2970791.9243127536,-6195708.469001338,-9407968.905587923,5826544.372255644,-7671498.221119943,-1172795.1395610457,-3217370.3800188866,12136786.858541666,-4819507.546657552,6949571.369299759,4496121.213796353,-6672215.354246898,-2299686.1844242676,7229367.76918693,6854860.540005569,-1638678.5404677438,3321913.160268815,1270840.948448261,-4927120.306794194
402273.0637287557,-2980600.809775838,3798838.700925238,1414298.4333375415,32730.64018205693,-2165883.693498699,2337408.442364745,-2610714.359208942,986953.1194265723,-1132788.8766273023,-3122850.4747363552,-2430513.6918824115,-1112390.76747688,223796.51018354337,2660718.843651684,-947757.8216044422,1133620.5826240457,-3171193.370730822,-3418355.003717473,-250799.08697690602,-2748557.048178447,513494.4062401099,-2278803.095600193,2478176.155261106,-1160309.2925879136,2130657.517191198,-1700957.9389460112,-747559.3901757047,-39353.26611024003,-1126321.830350667,1452343.5098819656,-537880.5792467663,-1386975.6166450183,-557851.51411182,-150177.6220210256,462741.336034839,1878310.1698095629,-1123076.657097735,2342222.4576238235,3556583.7349607013,-2202663.8349764375,2900129.2537365467,443362.87433466106,1216293.04631518,-4588184.677739588,1821964.1616382156,-2627212.4074602765,-1699711.3536934864,2522360.8807867826,869372.1899692446,-2732986.4809001456,-2591407.964146001,619485.1991387911,-1255814.3536122984,-480428.0631750334,1862646.040075841
-461715.0947543635,3421025.322077907,-4360166.867952057,-1623279.9476518794,-37566.80586007292,2485920.670618898,-2682793.388439599,2996482.980595367,-1132788.8766273023,1300176.5774492263,3584292.413890963,2789654.933971292,1276762.9429713346,-256865.81820417414,-3053874.163652351,1087801.9939174184,-1301129.3142692288,3639779.600823341,3923464.4825368375,287858.6249467119,3154692.591887245,-589369.7401908591,2615525.160758055,-2844359.3927102163,1331758.7605997156,-2445490.267890453,1952297.5626360895,858021.9798164292,45168.92056049855,1292749.372945225,-1666948.5367080292,617360.9179884243,1591921.7187134016,640282.2856467204,172367.40229926864,-531119.8494004701,-2155857.585458074,1289025.8554658606,-2688317.1790430313,-4082118.587253294,2528138.650563941,-3328662.8811520245,-508875.6126517703,-1396016.7172301374,5266152.709245068,-2091184.8183779095,3015417.2923192456,1950867.2780987178,-2895072.4413815695,-997833.6084480874,3136822.921958716,2974323.6717683277,-711022.1278302545,1441377.0611457143,551418.5294999091,-2137876.6192608834
