site,date,value
1,2012-01-01,-0.2720980609775669
1,2012-01-02,-0.2679261736170604
1,2012-01-03,-0.2761877986267473
1,2012-01-04,-0.29475285009662433
1,2012-01-05,-0.3166286396717487
1,2012-01-06,-0.33196638860298183
1,2012-01-07,-0.3322543852687922
1,2012-01-08,-0.31473558590688117
1,2012-01-09,-0.2843571790945037
1,2012-01-10,-0.2517415606241581
1,2012-01-11,-0.2280907524537951
1,2012-01-12,-0.21986957486781405
1,2012-01-13,-0.22620469249671188
1,2012-01-14,-0.2402125648898418
1,2012-01-15,-0.2531680042592
1,2012-01-16,-0.25899386373297306
1,2012-01-17,-0.25670529643656914
1,2012-01-18,-0.24987166637518765
1,2012-01-19,-0.24388434634633677
1,2012-01-20,-0.24283978820071114
1,2012-01-21,-0.2477082636379494
1,2012-01-22,-0.25643638108808203
1,2012-01-23,-0.26547549255812036
1,2012-01-24,-0.27162835392986434
1,2012-01-25,-0.27327010540476904
1,2012-01-26,-0.2706090550133639
1,2012-01-27,-0.26520401724067444
1,2012-01-28,-0.2591510280456567
1,2012-01-29,-0.25425938291481986
1,2012-01-30,-0.25140267913910885
1,2012-01-31,-0.2502056459547667
1,2012-02-01,-0.24924480957568332
1,2012-02-02,-0.24683007486647393
1,2012-02-03,-0.24214026260864052
1,2012-02-04,-0.23615904699929346
1,2012-02-05,-0.23176575435835595
1,2012-02-06,-0.23266652828583392
1,2012-02-07,-0.24153029614876317
1,2012-02-08,-0.25833100627320205
1,2012-02-09,-0.2799659674436976
1,2012-02-10,-0.30149811053422354
1,2012-02-11,-0.31828637849556635
1,2012-02-12,-0.32769899466745245
1,2012-02-13,-0.3295818644470106
1,2012-02-14,-0.32571139763213075
1,2012-02-15,-0.3190142976388151
1,2012-02-16,-0.3128949076051335
1,2012-02-17,-0.3103063111731549
1,2012-02-18,-0.31232085896121775
1,2012-02-19,-0.31693912297985694
1,2012-02-20,-0.3194599343857979
1,2012-02-21,-0.31487684538516475
1,2012-02-22,-0.3010071478139004
1,2012-02-23,-0.28012341366265725
1,2012-02-24,-0.25781825621009513
1,2012-02-25,-0.23990256640599153
1,2012-02-26,-0.2295048782185648
1,2012-02-27,-0.22613650868921098
1,2012-02-28,-0.22688132122540267
1,2012-02-29,-0.22849507901975386
1,2012-03-01,-0.22898288157596453
1,2012-03-02,-0.22797669143656069
1,2012-03-03,-0.2261426937940994
1,2012-03-04,-0.22428586631621789
1,2012-03-05,-0.22272235809173452
1,2012-03-06,-0.2211473118684058
1,2012-03-07,-0.21892068224955377
1,2012-03-08,-0.2155356613328598
1,2012-03-09,-0.21102015949202987
1,2012-03-10,-0.20609813467643126
1,2012-03-11,-0.20204379665616526
1,2012-03-12,-0.20024185506341613
1,2012-03-13,-0.20153605040365563
1,2012-03-14,-0.20558460560921135
1,2012-03-15,-0.21064429719331876
1,2012-03-16,-0.21425425762772116
1,2012-03-17,-0.21487018126029303
1,2012-03-18,-0.21362938858947286
1,2012-03-19,-0.2147583717193331
1,2012-03-20,-0.22356891579649715
1,2012-03-21,-0.2427074860524558
1,2012-03-22,-0.26914829893830866
1,2012-03-23,-0.29457788207445357
1,2012-03-24,-0.3096091126995686
1,2012-03-25,-0.3092112785902865
1,2012-03-26,-0.29550803604258175
1,2012-03-27,-0.27602155945692547
1,2012-03-28,-0.2590116639315116
1,2012-03-29,-0.24965302120693716
1,2012-03-30,-0.24957149483165827
1,2012-03-31,-0.25898387060988437
1,2012-04-01,-0.2784589137141799
1,2012-04-02,-0.30814021485363385
1,2012-04-03,-0.3451445342291492
1,2012-04-04,-0.38196432874659064
1,2012-04-05,-0.4081100858297564
1,2012-04-06,-0.4145752191273211
1,2012-04-07,-0.3983760288249632
1,2012-04-08,-0.36428885697488
1,2012-04-09,-0.32286216380867394
1,2012-04-10,-0.2861062850205527
1,2012-04-11,-0.26325520856464446
1,2012-04-12,-0.2582767304787129
1,2012-04-13,-0.2693892496690122
1,2012-04-14,-0.2900239026090604
1,2012-04-15,-0.3108243006783315
1,2012-04-16,-0.32261925437502764
1,2012-04-17,-0.31989004087459405
1,2012-04-18,-0.30324889292897494
1,2012-04-19,-0.27912268872151746
1,2012-04-20,-0.25620071578074666
1,2012-04-21,-0.24058324968573525
1,2012-04-22,-0.23290796227580735
1,2012-04-23,-0.22954174006069156
1,2012-04-24,-0.22689279259782993
1,2012-04-25,-0.22545107246367949
1,2012-04-26,-0.23033478006513686
1,2012-04-27,-0.24778995961909384
1,2012-04-28,-0.2801343882157977
1,2012-04-29,-0.3227578232949884
1,2012-04-30,-0.36527581775199863
1,2012-05-01,-0.39606224479835533
1,2012-05-02,-0.40731448009406207
1,2012-05-03,-0.39786525536337
1,2012-05-04,-0.3727625344323366
1,2012-05-05,-0.34058224221911954
1,2012-05-06,-0.3101884522549745
1,2012-05-07,-0.2881889772299533
1,2012-05-08,-0.2775743038209323
1,2012-05-09,-0.2776752813427773
1,2012-05-10,-0.28542804722903464
1,2012-05-11,-0.2974811255872189
1,2012-05-12,-0.31201914091335303
1,2012-05-13,-0.32906593686048025
1,2012-05-14,-0.34897679863263337
1,2012-05-15,-0.37030797545575367
1,2012-05-16,-0.38900674109298555
1,2012-05-17,-0.400038011714085
