site,date,value
1,2014-01-01,-0.281486323659407
1,2014-01-02,-0.2816016673358863
1,2014-01-03,-0.2816319628288072
1,2014-01-04,-0.2818663438982264
1,2014-01-05,-0.28216265914323424
1,2014-01-06,-0.28245984898997606
1,2014-01-07,-0.28296293139450196
1,2014-01-08,-0.28382202155083236
1,2014-01-09,-0.2849672623175769
1,2014-01-10,-0.2863673099397896
1,2014-01-11,-0.2880223529446089
1,2014-01-12,-0.2900641628210434
1,2014-01-13,-0.29264206313822294
1,2014-01-14,-0.29570662184233487
1,2014-01-15,-0.2991615436155887
1,2014-01-16,-0.3031326077908645
1,2014-01-17,-0.3074386134739873
1,2014-01-18,-0.31184584749782396
1,2014-01-19,-0.3161044059596981
1,2014-01-20,-0.3198702493611846
1,2014-01-21,-0.3227589235580837
1,2014-01-22,-0.3244096314016743
1,2014-01-23,-0.3242828813484016
1,2014-01-24,-0.3220503960036544
1,2014-01-25,-0.3176412557799646
1,2014-01-26,-0.3112134622569959
1,2014-01-27,-0.303149190568897
1,2014-01-28,-0.2938248629610636
1,2014-01-29,-0.2839911095820954
1,2014-01-30,-0.274575313472222
1,2014-01-31,-0.26627895983175365
1,2014-02-01,-0.2594840672787645
1,2014-02-02,-0.25440384163562685
1,2014-02-03,-0.2512688781077576
1,2014-02-04,-0.2500373426145481
1,2014-02-05,-0.25077442332368366
1,2014-02-06,-0.2532103988249892
1,2014-02-07,-0.2569224306071479
1,2014-02-08,-0.26206308922032384
1,2014-02-09,-0.26854151124372844
1,2014-02-10,-0.27595502003005684
1,2014-02-11,-0.2845334534498425
1,2014-02-12,-0.2942102883474133
1,2014-02-13,-0.30450104809597617
1,2014-02-14,-0.3151128407835175
1,2014-02-15,-0.3256044764294177
1,2014-02-16,-0.33543597623891636
1,2014-02-17,-0.3437859745495801
1,2014-02-18,-0.3500916688307866
1,2014-02-19,-0.3540589692040863
1,2014-02-20,-0.3554868203301696
1,2014-02-21,-0.354099284744348
1,2014-02-22,-0.34970929645825033
1,2014-02-23,-0.34292496626289193
1,2014-02-24,-0.33445050930449016
1,2014-02-25,-0.3247125640746895
1,2014-02-26,-0.31392743319614547
1,2014-02-27,-0.30266915019938434
1,2014-02-28,-0.2920149478213799
1,2014-03-01,-0.2826642478240663
1,2014-03-02,-0.274681026768494
1,2014-03-03,-0.26789649900483103
1,2014-03-04,-0.26245087478815154
1,2014-03-05,-0.25820144852134685
1,2014-03-06,-0.2546727924775522
1,2014-03-07,-0.25145197959630705
1,2014-03-08,-0.24812600460243545
1,2014-03-09,-0.24407897278357046
1,2014-03-10,-0.23908020779626607
1,2014-03-11,-0.23369971178062707
1,2014-03-12,-0.22848109685880086
1,2014-03-13,-0.2238994510568978
1,2014-03-14,-0.22038243682224734
1,2014-03-15,-0.21828254332146046
1,2014-03-16,-0.21823918732830874
1,2014-03-17,-0.22060555232458526
1,2014-03-18,-0.2253325692321744
1,2014-03-19,-0.23222137923126737
1,2014-03-20,-0.2407115600484498
1,2014-03-21,-0.2500635986231642
1,2014-03-22,-0.2597156904658194
1,2014-03-23,-0.26891914729892136
1,2014-03-24,-0.2773723586319211
1,2014-03-25,-0.2849141445060854
1,2014-03-26,-0.29107453284698703
1,2014-03-27,-0.29532307801979885
1,2014-03-28,-0.29782984555264497
1,2014-03-29,-0.2991149142067049
1,2014-03-30,-0.2993859544766457
1,2014-03-31,-0.2985669548419066
1,2014-04-01,-0.29679200461983807
1,2014-04-02,-0.294428050213842
1,2014-04-03,-0.29158753893025985
1,2014-04-04,-0.28840976207740915
1,2014-04-05,-0.28487582758253166
1,2014-04-06,-0.28131915349622383
1,2014-04-07,-0.2776841588569103
1,2014-04-08,-0.2734526872117465
1,2014-04-09,-0.2686690412169744
1,2014-04-10,-0.263352605361318
1,2014-04-11,-0.25720329375584816
1,2014-04-12,-0.24997023443550023
1,2014-04-13,-0.2413384542427752
1,2014-04-14,-0.23079948634932498
1,2014-04-15,-0.21826068205062957
1,2014-04-16,-0.20412764757938198
1,2014-04-17,-0.18872151525529757
1,2014-04-18,-0.17216767144531683
1,2014-04-19,-0.1546939547732959
1,2014-04-20,-0.13703991551521902
1,2014-04-21,-0.11992083994691846
1,2014-04-22,-0.10390217448758614
1,2014-04-23,-0.08958501214155633
1,2014-04-24,-0.0773921187710972
1,2014-04-25,-0.06757557191481729
1,2014-04-26,-0.06053040194310858
1,2014-04-27,-0.056540450401637445
1,2014-04-28,-0.055633208563610675
1,2014-04-29,-0.057361612560073015
1,2014-04-30,-0.061110477196420855
1,2014-05-01,-0.06641660278825322
1,2014-05-02,-0.07255518598671774
1,2014-05-03,-0.07858963156279009
1,2014-05-04,-0.08370220667520152
1,2014-05-05,-0.08711753184221555
1,2014-05-06,-0.08830284214014816
1,2014-05-07,-0.08701500349402995
1,2014-05-08,-0.08294730973225431
1,2014-05-09,-0.07594654484655168
1,2014-05-10,-0.06673739267427158
1,2014-05-11,-0.056087785120416886
1,2014-05-12,-0.044558123217740865
1,2014-05-13,-0.03272781515538659
1,2014-05-14,-0.02106374467083156
1,2014-05-15,-0.009841330594133696
1,2014-05-16,8.853822391191443e-4
1,2014-05-17,0.011200460270570213
1,2014-05-18,0.02129077200505021
1,2014-05-19,0.031460463380084666
1,2014-05-20,0.04188121465703884
1,2014-05-21,0.0526505902387807
1,2014-05-22,0.06363604277681437
1,2014-05-23,0.0742847518925963
1,2014-05-24,0.08403641303739438
1,2014-05-25,0.0922302380924161
1,2014-05-26,0.0981827196017203
1,2014-05-27,0.10170852552550358
1,2014-05-28,0.10253265630332332
1,2014-05-29,0.1004188991509815
1,2014-05-30,0.09610557408793634
1,2014-05-31,0.09044054113020826
1,2014-06-01,0.08404076161287725
1,2014-06-02,0.07754497423410357
1,2014-06-03,0.07155896643973154
1,2014-06-04,0.06656701213188157
1,2014-06-05,0.06276327398850376
1,2014-06-06,0.06020816023105815
1,2014-06-07,0.058721160958495056
1,2014-06-08,0.057829841243536975
1,2014-06-09,0.057501117234468005
1,2014-06-10,0.057507252308266005
1,2014-06-11,0.05756506532437155
1,2014-06-12,0.05758475266425305
1,2014-06-13,0.05749229095554945
1,2014-06-14,0.05728923678406722
1,2014-06-15,0.05698988001341167
1,2014-06-16,0.05659925093276318
1,2014-06-17,0.05602151456328657
1,2014-06-18,0.05513005058441638
1,2014-06-19,0.054090002006514225
1,2014-06-20,0.05289671069082535
1,2014-06-21,0.05140303156080367
1,2014-06-22,0.04953279096036961
1,2014-06-23,0.04729449512203128
1,2014-06-24,0.044731766054466
1,2014-06-25,0.04197878540616248
1,2014-06-26,0.03924667253835521
1,2014-06-27,0.036758080162348564
1,2014-06-28,0.03473181538364049
1,2014-06-29,0.03353715982664704
1,2014-06-30,0.03364235014956136
1,2014-07-01,0.03543370971187869
1,2014-07-02,0.038960988049672386
1,2014-07-03,0.04413897298034593
1,2014-07-04,0.051036034406441916
1,2014-07-05,0.059258690101629784
1,2014-07-06,0.06808659566868966
1,2014-07-07,0.07685046058545959
1,2014-07-08,0.08491864771505794
1,2014-07-09,0.09100505544597808
1,2014-07-10,0.09418350456889292
1,2014-07-11,0.0951141929771353
1,2014-07-12,0.09333454082740722
1,2014-07-13,0.08840146261059148
1,2014-07-14,0.08175678797621364
1,2014-07-15,0.0742290352979306
1,2014-07-16,0.066575741498364
1,2014-07-17,0.059824300355921664
1,2014-07-18,0.05418704071021349
1,2014-07-19,0.050317695272563835
1,2014-07-20,0.04865250986072295
1,2014-07-21,0.048874270827079104
1,2014-07-22,0.050416673712822595
1,2014-07-23,0.05247422171126495
1,2014-07-24,0.054209346576028584
1,2014-07-25,0.054865605692735075
1,2014-07-26,0.053450740409909915
1,2014-07-27,0.04908851166020079
1,2014-07-28,0.0422063211091875
1,2014-07-29,0.033505688007987505
1,2014-07-30,0.02343201373636805
1,2014-07-31,0.012854554063711532
1,2014-08-01,0.0029928483212958985
1,2014-08-02,-0.004880278038437131
1,2014-08-03,-0.009589304944798097
1,2014-08-04,-0.01023044328474109
1,2014-08-05,-0.006237539048814597
1,2014-08-06,0.0026720042930652986
1,2014-08-07,0.016409563765365065
1,2014-08-08,0.03432323083600445
