site,date,value
1,2014-01-01,-0.24341054823538888
1,2014-01-02,-0.24564609479271915
1,2014-01-03,-0.24796667849257262
1,2014-01-04,-0.25035458201032973
1,2014-01-05,-0.25279159756148706
1,2014-01-06,-0.25526031103506125
1,2014-01-07,-0.25774003230852405
1,2014-01-08,-0.2602102985881357
1,2014-01-09,-0.262654277130335
1,2014-01-10,-0.2650549526204941
1,2014-01-11,-0.26739421712086103
1,2014-01-12,-0.2696529555631545
1,2014-01-13,-0.27181482217749453
1,2014-01-14,-0.2738642966287657
1,2014-01-15,-0.2757877469939062
1,2014-01-16,-0.27757593930495467
1,2014-01-17,-0.27922188565344624
1,2014-01-18,-0.2807174882156483
1,2014-01-19,-0.282057656230998
1,2014-01-20,-0.28324258582868844
1,2014-01-21,-0.2842733192896678
1,2014-01-22,-0.2851519543846101
1,2014-01-23,-0.28588511235098635
1,2014-01-24,-0.2864817623947732
1,2014-01-25,-0.2869544059436377
1,2014-01-26,-0.28731805015587447
1,2014-01-27,-0.2875878775359659
1,2014-01-28,-0.2877804219133798
1,2014-01-29,-0.2879119447419376
1,2014-01-30,-0.2879983668474767
1,2014-01-31,-0.2880581803692872
1,2014-02-01,-0.28811307865491403
1,2014-02-02,-0.2881836470252892
1,2014-02-03,-0.28828807325853884
1,2014-02-04,-0.28844456705796456
1,2014-02-05,-0.2886681530925124
1,2014-02-06,-0.2889721792882974
1,2014-02-07,-0.2893701493732983
1,2014-02-08,-0.289872123976761
1,2014-02-09,-0.29048399360625177
1,2014-02-10,-0.29121295129616837
1,2014-02-11,-0.2920605347104901
1,2014-02-12,-0.29302863683757613
1,2014-02-13,-0.2941120410080774
1,2014-02-14,-0.295300827020323
1,2014-02-15,-0.2965837395650202
1,2014-02-16,-0.2979463469141943
1,2014-02-17,-0.29937106361798266
1,2014-02-18,-0.3008376084522573
1,2014-02-19,-0.3023247290607274
1,2014-02-20,-0.3038099130062681
1,2014-02-21,-0.30526971368539785
1,2014-02-22,-0.30667668756505145
1,2014-02-23,-0.3080033365906543
1,2014-02-24,-0.30922130147822235
1,2014-02-25,-0.3103056560294708
1,2014-02-26,-0.31122892517170486
1,2014-02-27,-0.311964544631991
1,2014-02-28,-0.31248751506865363
1,2014-03-01,-0.31277477319135316
1,2014-03-02,-0.3128054620371006
1,2014-03-03,-0.31256338413271917
1,2014-03-04,-0.31203291647053505
1,2014-03-05,-0.3111995522611628
1,2014-03-06,-0.3100539760524275
1,2014-03-07,-0.30858835056116635
1,2014-03-08,-0.30679599340396135
1,2014-03-09,-0.30467696094161983
1,2014-03-10,-0.30223420421922
1,2014-03-11,-0.2994723196082496
1,2014-03-12,-0.2963975969495025
1,2014-03-13,-0.2930185356466964
1,2014-03-14,-0.2893497018251702
1,2014-03-15,-0.2854092629342415
1,2014-03-16,-0.2812136167018952
1,2014-03-17,-0.27677966038968094
1,2014-03-18,-0.2721279959963771
1,2014-03-19,-0.2672828547060249
1,2014-03-20,-0.26226803666565396
1,2014-03-21,-0.25710651475506413
1,2014-03-22,-0.2518236419727989
1,2014-03-23,-0.24644582024156758
1,2014-03-24,-0.24099880929099357
1,2014-03-25,-0.23550705692207127
1,2014-03-26,-0.2299937343399653
1,2014-03-27,-0.224482809898652
1,2014-03-28,-0.21900040095294107
1,2014-03-29,-0.2135670347439771
1,2014-03-30,-0.20820401482693995
1,2014-03-31,-0.20293376714142897
1,2014-04-01,-0.1977796396209834
1,2014-04-02,-0.19276500833734708
1,2014-04-03,-0.18791059629759865
1,2014-04-04,-0.183234311608076
1,2014-04-05,-0.17874867345513787
1,2014-04-06,-0.17446480847139131
1,2014-04-07,-0.17039725179062382
1,2014-04-08,-0.16655979373390614
1,2014-04-09,-0.1629641530756391
1,2014-04-10,-0.1596208177361589
1,2014-04-11,-0.15653346836199938
1,2014-04-12,-0.15370586243230122
1,2014-04-13,-0.15114483960146535
1,2014-04-14,-0.14885595237149035
1,2014-04-15,-0.14683977255757305
1,2014-04-16,-0.14509378818662547
1,2014-04-17,-0.14361866261800973
1,2014-04-18,-0.14241407998410102
1,2014-04-19,-0.1414773963651624
1,2014-04-20,-0.1408075493519469
1,2014-04-21,-0.14039217466718437
1,2014-04-22,-0.1402234229494663
1,2014-04-23,-0.14029214985919666
1,2014-04-24,-0.140587442611855
1,2014-04-25,-0.141097666571105
1,2014-04-26,-0.14181186059852657
1,2014-04-27,-0.14271464233133271
1,2014-04-28,-0.143787583727191
1,2014-04-29,-0.14501208012754968
1,2014-04-30,-0.14636934967677417
1,2014-05-01,-0.14783998581219934
1,2014-05-02,-0.1494063801165796
1,2014-05-03,-0.15105127532334264
1,2014-05-04,-0.15275183755795096
1,2014-05-05,-0.15449409239639925
1,2014-05-06,-0.15626078114235972
1,2014-05-07,-0.15803031615255872
1,2014-05-08,-0.1597822756216597
1,2014-05-09,-0.16149699950008173
1,2014-05-10,-0.16315596715147304
1,2014-05-11,-0.16474193032974127
1,2014-05-12,-0.16623779685736867
1,2014-05-13,-0.16762388572530637
1,2014-05-14,-0.1688850056785697
1,2014-05-15,-0.17000617176857655
1,2014-05-16,-0.17097414925538937
1,2014-05-17,-0.17177573683909664
1,2014-05-18,-0.1723978374305037
1,2014-05-19,-0.17282969188387534
1,2014-05-20,-0.1730544868038923
1,2014-05-21,-0.17305638713216326
1,2014-05-22,-0.17282528774821762
1,2014-05-23,-0.17235662259800524
1,2014-05-24,-0.1716473526552343
1,2014-05-25,-0.17069300943046972
1,2014-05-26,-0.16949019369164625
1,2014-05-27,-0.1680378054221103
1,2014-05-28,-0.16632977684953892
1,2014-05-29,-0.16436487109668524
1,2014-05-30,-0.16214143018683916
1,2014-05-31,-0.15966131615226062
1,2014-06-01,-0.1569362557908931
1,2014-06-02,-0.15398151104810295
1,2014-06-03,-0.1508038255281333
1,2014-06-04,-0.1474131117084027
1,2014-06-05,-0.14383021155001527
1,2014-06-06,-0.1400694378882988
1,2014-06-07,-0.13615178856388796
1,2014-06-08,-0.1320892195645975
1,2014-06-09,-0.12790138446810403
1,2014-06-10,-0.12361883662490408
1,2014-06-11,-0.11928159507370412
1,2014-06-12,-0.11492769855667752
1,2014-06-13,-0.11059351727710101
1,2014-06-14,-0.10631858336009287
1,2014-06-15,-0.1021430625746455
1,2014-06-16,-0.09810373402676753
1,2014-06-17,-0.09423994827952001
1,2014-06-18,-0.09059371394521891
1,2014-06-19,-0.08720071273704785
1,2014-06-20,-0.08411451655220645
1,2014-06-21,-0.08136600229200014
1,2014-06-22,-0.07900550107002033
1,2014-06-23,-0.07708055595386078
1,2014-06-24,-0.07562917599034112
1,2014-06-25,-0.07468065456790787
1,2014-06-26,-0.07426137390087671
1,2014-06-27,-0.07439380408542787
1,2014-06-28,-0.07509918518441543
1,2014-06-29,-0.0763895530180317
1,2014-06-30,-0.0782760341236232
1,2014-07-01,-0.08075598658592492
1,2014-07-02,-0.08382479656181979
1,2014-07-03,-0.08746937455369905
1,2014-07-04,-0.09165976014261212
1,2014-07-05,-0.09635876347695178
1,2014-07-06,-0.10152623490893137
1,2014-07-07,-0.10711651210721848
1,2014-07-08,-0.11306967054218062
1,2014-07-09,-0.11931977647923209
1,2014-07-10,-0.12579747065319802
1,2014-07-11,-0.1324245163689119
1,2014-07-12,-0.13911450328380678
1,2014-07-13,-0.1457758948062435
1,2014-07-14,-0.15230763939276093
1,2014-07-15,-0.15860937003613604
1,2014-07-16,-0.16457937978612552
1,2014-07-17,-0.1701158361716333
1,2014-07-18,-0.17511662982015308
1,2014-07-19,-0.17947969897699245
1,2014-07-20,-0.18310337932774648
1,2014-07-21,-0.1858876195008434
1,2014-07-22,-0.18774586903561094
1,2014-07-23,-0.18859654264238113
1,2014-07-24,-0.1883628054585078
1,2014-07-25,-0.18697907818568676
1,2014-07-26,-0.1843913202915937
1,2014-07-27,-0.1805563569678211
1,2014-07-28,-0.1754413147683541
1,2014-07-29,-0.16902839956927762
1,2014-07-30,-0.16131692177626603
1,2014-07-31,-0.15231870926864696
1,2014-08-01,-0.1420563481586221
1,2014-08-02,-0.13056785752885167
1,2014-08-03,-0.1179109660194933
1,2014-08-04,-0.10416279620649496
1,2014-08-05,-0.08940611212766572
1,2014-08-06,-0.07373545702684552
1,2014-08-07,-0.0572627700526322
1,2014-08-08,-0.0401123850752812
1,2014-08-09,-0.022417754720607374
1,2014-08-10,-0.004320434775595066
1,2014-08-11,0.014036522728178052
1,2014-08-12,0.032503154993338515
1,2014-08-13,0.05092310889901085
1,2014-08-14,0.06913745863477572
1,2014-08-15,0.08698915952794203
1,2014-08-16,0.10432144290571535
1,2014-08-17,0.12098428555041973
1,2014-08-18,0.13683998446683035
1,2014-08-19,0.15175539055870427
1,2014-08-20,0.16560092428468082
1,2014-08-21,0.1782621229288645
1,2014-08-22,0.1896427892121337
1,2014-08-23,0.19966179420747138
1,2014-08-24,0.20824988898941044
1,2014-08-25,0.21534644661412172
1,2014-08-26,0.22091094655421706
1,2014-08-27,0.22492339939583048
1,2014-08-28,0.22737432915038533
1,2014-08-29,0.2282648568361693
1,2014-08-30,0.22762505108804906
1,2014-08-31,0.22550008624893553
1,2014-09-01,0.22194704673311824
1,2014-09-02,0.21704563236818453
1,2014-09-03,0.21088485678228985
1,2014-09-04,0.2035565773669736
1,2014-09-05,0.1951648907507558
1,2014-09-06,0.18582523712494955
1,2014-09-07,0.17565584103753862
1,2014-09-08,0.16478586967945497
1,2014-09-09,0.15335028271104756
1,2014-09-10,0.1414844105394928
1,2014-09-11,0.12931365195323202
1,2014-09-12,0.11696555169031103
1,2014-09-13,0.10455854932948215
1,2014-09-14,0.09220955007241514
1,2014-09-15,0.08002568375666536
1,2014-09-16,0.06810048431805174
1,2014-09-17,0.05652332807594977
1,2014-09-18,0.045381034805978174
1,2014-09-19,0.03474395992573285
1,2014-09-20,0.02467206595796238
1,2014-09-21,0.015222277107125783
1,2014-09-22,0.006416341396776915
1,2014-09-23,-0.0017312810831796584
1,2014-09-24,-0.009204565937159865
1,2014-09-25,-0.01599454899104376
1,2014-09-26,-0.02210671173285058
1,2014-09-27,-0.027543990831613827
1,2014-09-28,-0.03231965300981137
1,2014-09-29,-0.036461065372066566
1,2014-09-30,-0.03999986405431762
1,2014-10-01,-0.04295871347598408
1,2014-10-02,-0.04537204293955262
1,2014-10-03,-0.04729105578306598
1,2014-10-04,-0.048765182798285976
1,2014-10-05,-0.049844096803161805
1,2014-10-06,-0.05057657034988241
1,2014-10-07,-0.05102018459100609
1,2014-10-08,-0.051225028625187685
1,2014-10-09,-0.051230832770166664
1,2014-10-10,-0.05107974971548423
1,2014-10-11,-0.05081967526379544
1,2014-10-12,-0.05049892783381217
1,2014-10-13,-0.05016121176840465
1,2014-10-14,-0.049845750598494123
1,2014-10-15,-0.049596556129658874
1,2014-10-16,-0.049447403828415525
1,2014-10-17,-0.049428223566436884
1,2014-10-18,-0.049574780346371625
1,2014-10-19,-0.049912025837582676
1,2014-10-20,-0.05045267980603642
1,2014-10-21,-0.05121486951325661
1,2014-10-22,-0.05221116791983459
1,2014-10-23,-0.053456408745929836
1,2014-10-24,-0.05496677089325673
1,2014-10-25,-0.05675678597714321
1,2014-10-26,-0.05884073359006138
1,2014-10-27,-0.06122243011477167
1,2014-10-28,-0.06390949347311355
1,2014-10-29,-0.0669079398156819
1,2014-10-30,-0.07021520533576472
1,2014-10-31,-0.07382056836585137
1,2014-11-01,-0.07771010697199049
1,2014-11-02,-0.08187215523547055
1,2014-11-03,-0.08630315529041788
1,2014-11-04,-0.09098941433965263
1,2014-11-05,-0.09591334112312112
1,2014-11-06,-0.10105616206994268
1,2014-11-07,-0.10639998097915863
1,2014-11-08,-0.11191789387921526
1,2014-11-09,-0.11757613472485758
1,2014-11-10,-0.12334382793793723
1,2014-11-11,-0.12918920369907505
1,2014-11-12,-0.1350798105821785
1,2014-11-13,-0.1409855943946265
1,2014-11-14,-0.14687402381269077
1,2014-11-15,-0.15270673543980295
1,2014-11-16,-0.1584516320480002
1,2014-11-17,-0.16407640663066184
1,2014-11-18,-0.1695504918617584
1,2014-11-19,-0.1748462185735039
1,2014-11-20,-0.17993905371942565
1,2014-11-21,-0.18480321895507199
1,2014-11-22,-0.18941727533733402
1,2014-11-23,-0.19376254995412664
1,2014-11-24,-0.19782499293865732
1,2014-11-25,-0.20159674113949116
1,2014-11-26,-0.2050714617796232
1,2014-11-27,-0.20824189988454955
1,2014-11-28,-0.21110639630841202
1,2014-11-29,-0.21366841802402903
1,2014-11-30,-0.21593267422197665
1,2014-12-01,-0.21790807417528518
1,2014-12-02,-0.21960802726311385
1,2014-12-03,-0.22104735163036116
1,2014-12-04,-0.22224205534141533
1,2014-12-05,-0.22321165285948588
1,2014-12-06,-0.22397793967944649
1,2014-12-07,-0.2245644792877591
1,2014-12-08,-0.224995906762811
1,2014-12-09,-0.2252960409997571
1,2014-12-10,-0.22548939327106424
1,2014-12-11,-0.2256039597929308
1,2014-12-12,-0.22566761939807248
