site,date,value
1,2015-01-01,-0.196892636866975
1,2015-01-02,-0.1949868629070441
1,2015-01-03,-0.193326867660752
1,2015-01-04,-0.19193368511804462
1,2015-01-05,-0.19082543722610826
1,2015-01-06,-0.19001661405333561
1,2015-01-07,-0.18951785077180106
1,2015-01-08,-0.1893358195179192
1,2015-01-09,-0.1894729711440093
1,2015-01-10,-0.18992737749048727
1,2015-01-11,-0.19069268600446398
1,2015-01-12,-0.1917581621028466
1,2015-01-13,-0.19310896642613742
1,2015-01-14,-0.1947266025977425
1,2015-01-15,-0.19658924876469924
1,2015-01-16,-0.1986719131731717
1,2015-01-17,-0.2009471156924443
1,2015-01-18,-0.20338542028333903
1,2015-01-19,-0.20595615501625456
1,2015-01-20,-0.20862805097714684
1,2015-01-21,-0.2113695712615236
1,2015-01-22,-0.21414962627930828
1,2015-01-23,-0.2169381101723797
1,2015-01-24,-0.21970627498469925
1,2015-01-25,-0.22242713301524036
1,2015-01-26,-0.22507574923815057
1,2015-01-27,-0.2276295526460731
1,2015-01-28,-0.23006857718210516
1,2015-01-29,-0.23237569448158676
1,2015-01-30,-0.23453659280491723
1,2015-01-31,-0.23653986698851942
1,2015-02-01,-0.23837692074364963
1,2015-02-02,-0.24004191930817662
1,2015-02-03,-0.24153183457224192
1,2015-02-04,-0.24284603346542832
1,2015-02-05,-0.24398638272843295
1,2015-02-06,-0.24495715488461697
1,2015-02-07,-0.24576481890770732
1,2015-02-08,-0.24641786365742957
1,2015-02-09,-0.2469265573307017
1,2015-02-10,-0.24730276977620252
1,2015-02-11,-0.24755984813319404
1,2015-02-12,-0.2477125360737467
1,2015-02-13,-0.24777665741816848
1,2015-02-14,-0.24776889787671585
1,2015-02-15,-0.24770662028580678
1,2015-02-16,-0.2476075657827626
1,2015-02-17,-0.24748957296670288
1,2015-02-18,-0.24737026316268182
1,2015-02-19,-0.24726704677845596
1,2015-02-20,-0.24719682673581064
1,2015-02-21,-0.24717574076263843
1,2015-02-22,-0.24721878800577005
1,2015-02-23,-0.24733944515896794
1,2015-02-24,-0.24754954014591388
1,2015-02-25,-0.24785908333342388
1,2015-02-26,-0.24827622974555497
1,2015-02-27,-0.2488070193869102
1,2015-02-28,-0.24945521508242313
1,2015-03-01,-0.25022215231748224
1,2015-03-02,-0.2511069987577964
1,2015-03-03,-0.25210666283731026
1,2015-03-04,-0.25321570358662776
1,2015-03-05,-0.2544267478275856
1,2015-03-06,-0.25573050145511844
1,2015-03-07,-0.25711591718006277
1,2015-03-08,-0.25857045352733593
1,2015-03-09,-0.26008022259089053
1,2015-03-10,-0.26163031711101037
1,2015-03-11,-0.26320512344504465
1,2015-03-12,-0.2647886902492678
1,2015-03-13,-0.26636486464573195
1,2015-03-14,-0.26791750001823866
1,2015-03-15,-0.2694308758965728
1,2015-03-16,-0.2708899432774914
1,2015-03-17,-0.27228039952971933
1,2015-03-18,-0.27358884998524335
1,2015-03-19,-0.2748034381343312
1,2015-03-20,-0.27591404507554224
1,2015-03-21,-0.2769122963746957
1,2015-03-22,-0.2777916661783478
1,2015-03-23,-0.2785470514235213
1,2015-03-24,-0.27917506420875804
1,2015-03-25,-0.2796741625888537
1,2015-03-26,-0.2800445360813016
1,2015-03-27,-0.28028778166520757
1,2015-03-28,-0.280406815546486
1,2015-03-29,-0.28040543750744545
1,2015-03-30,-0.28028837721701316
1,2015-03-31,-0.28006100234545067
1,2015-04-01,-0.27972873268311754
1,2015-04-02,-0.2792971565561592
1,2015-04-03,-0.2787716017924721
1,2015-04-04,-0.2781570956940468
1,2015-04-05,-0.27745803890029136
1,2015-04-06,-0.27667784110898125
1,2015-04-07,-0.2758189586801304
1,2015-04-08,-0.2748827281433889
1,2015-04-09,-0.27386951907172524
1,2015-04-10,-0.2727784066647594
1,2015-04-11,-0.27160713623905225
1,2015-04-12,-0.2703521793610248
1,2015-04-13,-0.2690090872812683
1,2015-04-14,-0.26757246467071566
1,2015-04-15,-0.26603595982597494
1,2015-04-16,-0.26439267336869593
1,2015-04-17,-0.2626350336715887
1,2015-04-18,-0.260755101473037
1,2015-04-19,-0.25874463732006714
1,2015-04-20,-0.2565946973786205
1,2015-04-21,-0.25429574679593486
1,2015-04-22,-0.25183781629140106
1,2015-04-23,-0.24921070775259394
1,2015-04-24,-0.24640381727511002
1,2015-04-25,-0.2434056666538269
1,2015-04-26,-0.2402038363121512
1,2015-04-27,-0.23678489008841686
1,2015-04-28,-0.23313387949009137
1,2015-04-29,-0.2292340825327489
1,2015-04-30,-0.22506730346670706
1,2015-05-01,-0.22061352172070345
1,2015-05-02,-0.21585094760209447
1,2015-05-03,-0.21075593508129953
1,2015-05-04,-0.20530249595728514
1,2015-05-05,-0.19946283962287686
1,2015-05-06,-0.19320774891359654
1,2015-05-07,-0.1865070227705014
1,2015-05-08,-0.1793299797013999
1,2015-05-09,-0.17164611960033094
1,2015-05-10,-0.16342585495583659
1,2015-05-11,-0.15464158414580462
1,2015-05-12,-0.14526839955603144
1,2015-05-13,-0.1352849020095884
1,2015-05-14,-0.12467399816857261
1,2015-05-15,-0.11342384267882552
1,2015-05-16,-0.10152875947812846
1,2015-05-17,-0.0889895395990388
1,2015-05-18,-0.07581424461884391
1,2015-05-19,-0.062018463939847904
1,2015-05-20,-0.04762520158524452
1,2015-05-21,-0.03266526238995294
1,2015-05-22,-0.017176654541391365
1,2015-05-23,-0.0012043645120223632
1,2015-05-24,0.015200238605665632
1,2015-05-25,0.0319799182910121
1,2015-05-26,0.04907231875978571
1,2015-05-27,0.06641119471730361
1,2015-05-28,0.08392716656615778
1,2015-05-29,0.10154852722874795
1,2015-05-30,0.1192024370923056
1,2015-05-31,0.13681542346207148
1,2015-06-01,0.1543141830490126
1,2015-06-02,0.17162597696696164
1,2015-06-03,0.18867940053381482
1,2015-06-04,0.20540498521706085
1,2015-06-05,0.22173534774471987
1,2015-06-06,0.23760550421715487
1,2015-06-07,0.25295287901337743
1,2015-06-08,0.2677173547457247
1,2015-06-09,0.281841185416517
1,2015-06-10,0.29526942714054005
1,2015-06-11,0.3079499982572541
1,2015-06-12,0.31983396052525404
1,2015-06-13,0.3308756403881445
1,2015-06-14,0.34103313972240945
1,2015-06-15,0.3502681048858337
