site,date,value
1,2015-01-01,-0.32763509112201933
1,2015-01-02,-0.32549945782201617
1,2015-01-03,-0.32340570905580013
1,2015-01-04,-0.32144285805187905
1,2015-01-05,-0.3196415972156336
1,2015-01-06,-0.31797882050210097
1,2015-01-07,-0.31658657566357407
1,2015-01-08,-0.31535984943047585
1,2015-01-09,-0.31421429692171915
1,2015-01-10,-0.3130668545417111
1,2015-01-11,-0.3119410779498355
1,2015-01-12,-0.3107978057780473
1,2015-01-13,-0.3096991065576104
1,2015-01-14,-0.3088566247039814
1,2015-01-15,-0.30840156749029884
1,2015-01-16,-0.30829606160496426
1,2015-01-17,-0.3084817559767091
1,2015-01-18,-0.3087881198673381
1,2015-01-19,-0.3092019758258579
1,2015-01-20,-0.3096965917695692
1,2015-01-21,-0.31014078591418753
1,2015-01-22,-0.31047663056698793
1,2015-01-23,-0.3106814931212284
1,2015-01-24,-0.310769102159757
1,2015-01-25,-0.3108085466189623
1,2015-01-26,-0.31088911584246837
1,2015-01-27,-0.31103760290860805
1,2015-01-28,-0.31121034180840806
1,2015-01-29,-0.3113906026992819
1,2015-01-30,-0.3114893771998952
1,2015-01-31,-0.31149338225572376
1,2015-02-01,-0.311503520299539
1,2015-02-02,-0.3115561889310571
1,2015-02-03,-0.31166026925145046
1,2015-02-04,-0.3118554057724974
1,2015-02-05,-0.31215648209429925
1,2015-02-06,-0.31257076163296516
1,2015-02-07,-0.31310068095170535
1,2015-02-08,-0.3136595457867853
1,2015-02-09,-0.3141443456176896
1,2015-02-10,-0.31449675459389453
1,2015-02-11,-0.31465885279560146
1,2015-02-12,-0.3145734958425917
1,2015-02-13,-0.31433595856073765
1,2015-02-14,-0.31394998478786057
1,2015-02-15,-0.3134158065719935
1,2015-02-16,-0.3126201585219492
1,2015-02-17,-0.3116939157957298
1,2015-02-18,-0.31080608440723134
1,2015-02-19,-0.3100591705885275
1,2015-02-20,-0.30938834671437737
1,2015-02-21,-0.3086814494641633
1,2015-02-22,-0.3080167919914324
1,2015-02-23,-0.30755899905610595
1,2015-02-24,-0.3075697064765205
1,2015-02-25,-0.3082530666652209
1,2015-02-26,-0.30966853562150304
1,2015-02-27,-0.31169429559988904
1,2015-02-28,-0.31431580687849353
1,2015-03-01,-0.31759523522869926
1,2015-03-02,-0.3216643810437343
1,2015-03-03,-0.326398896759918
1,2015-03-04,-0.33152273295847745
1,2015-03-05,-0.3366872910129249
1,2015-03-06,-0.34190018442053327
1,2015-03-07,-0.34755265241310523
1,2015-03-08,-0.3537520891010261
1,2015-03-09,-0.3604685200495213
1,2015-03-10,-0.36724629582089435
1,2015-03-11,-0.37370189594804026
1,2015-03-12,-0.3794843603631147
1,2015-03-13,-0.38461273174875704
1,2015-03-14,-0.3893486522806274
1,2015-03-15,-0.39378224792825306
1,2015-03-16,-0.397934345062034
1,2015-03-17,-0.4015958457776003
1,2015-03-18,-0.4046681858839844
1,2015-03-19,-0.40723177426804064
1,2015-03-20,-0.40942003944233674
1,2015-03-21,-0.4110028771040119
1,2015-03-22,-0.4116890201981131
1,2015-03-23,-0.4111135791456262
1,2015-03-24,-0.4093029167228257
1,2015-03-25,-0.4065254612080471
1,2015-03-26,-0.40344527313006
1,2015-03-27,-0.40041281321387123
1,2015-03-28,-0.3974386762320174
1,2015-03-29,-0.39457296386158924
1,2015-03-30,-0.39207620206650273
1,2015-03-31,-0.3900991234056041
1,2015-04-01,-0.3885865639736145
1,2015-04-02,-0.3874048315699845
1,2015-04-03,-0.3862883846918351
1,2015-04-04,-0.38513869519644484
1,2015-04-05,-0.3839817688184188
1,2015-04-06,-0.3830645270006041
1,2015-04-07,-0.3822070904096358
1,2015-04-08,-0.38172197484897935
1,2015-04-09,-0.3820398978201232
1,2015-04-10,-0.3832909370489149
1,2015-04-11,-0.3853337439839143
1,2015-04-12,-0.3879967674748541
1,2015-04-13,-0.39111746376819556
1,2015-04-14,-0.3944558952570548
1,2015-04-15,-0.39781934586378626
1,2015-04-16,-0.40139156119716324
1,2015-04-17,-0.405246377260015
1,2015-04-18,-0.4093141642349775
1,2015-04-19,-0.4134742498757836
1,2015-04-20,-0.41738213155920445
1,2015-04-21,-0.4207461444603206
1,2015-04-22,-0.4233025477799325
1,2015-04-23,-0.42507123571085825
1,2015-04-24,-0.4261981878555044
1,2015-04-25,-0.42681208057745135
1,2015-04-26,-0.4267320061317552
1,2015-04-27,-0.42586897575272636
1,2015-04-28,-0.42397084410901675
1,2015-04-29,-0.4207017904925826
1,2015-04-30,-0.41566713681388767
1,2015-05-01,-0.40862716333096355
1,2015-05-02,-0.39949140382610815
1,2015-05-03,-0.38830865105268764
1,2015-05-04,-0.37520248823953944
1,2015-05-05,-0.3601827614084188
1,2015-05-06,-0.34338088334382405
1,2015-05-07,-0.3254417153977344
1,2015-05-08,-0.3061335806494552
1,2015-05-09,-0.285215291837971
1,2015-05-10,-0.2628464825339898
1,2015-05-11,-0.2391764089325396
1,2015-05-12,-0.21451573313191544
1,2015-05-13,-0.18924394609856124
1,2015-05-14,-0.16339660647119397
1,2015-05-15,-0.13733499496429863
1,2015-05-16,-0.11147504418980443
1,2015-05-17,-0.08645211646057985
1,2015-05-18,-0.0621589845247206
1,2015-05-19,-0.03826280341682055
1,2015-05-20,-0.014228801869483195
1,2015-05-21,0.010566635552146379
1,2015-05-22,0.03484202128017339
1,2015-05-23,0.058382692838017516
1,2015-05-24,0.08105214251651104
1,2015-05-25,0.10327424330595412
1,2015-05-26,0.1250978345430291
1,2015-05-27,0.14651492898060203
1,2015-05-28,0.1678528728403661
1,2015-05-29,0.18921342259323876
1,2015-05-30,0.21076641635250282
1,2015-05-31,0.23330034623322723
1,2015-06-01,0.2563737141512207
1,2015-06-02,0.27910362679727196
1,2015-06-03,0.30195244979335806
1,2015-06-04,0.3251798139711739
1,2015-06-05,0.3491679501509898
1,2015-06-06,0.3732889315273528
1,2015-06-07,0.39620390800772665
1,2015-06-08,0.4168371349571245
1,2015-06-09,0.4344527529630917
1,2015-06-10,0.44862136592922075
1,2015-06-11,0.45984520388924677
1,2015-06-12,0.4685973375968757
1,2015-06-13,0.4750686961888914
1,2015-06-14,0.47889062567341756
1,2015-06-15,0.48038958475669913
1,2015-06-16,0.4804730442693674
1,2015-06-17,0.47930308295954205
1,2015-06-18,0.4769964236437524
1,2015-06-19,0.4736323226813482
1,2015-06-20,0.4694073791692365
1,2015-06-21,0.46482264711834237
1,2015-06-22,0.46024975021235803
1,2015-06-23,0.45598854756725177
1,2015-06-24,0.4522070459410796
1,2015-06-25,0.4486418217381051
1,2015-06-26,0.44511101699101696
1,2015-06-27,0.4415996126835604
1,2015-06-28,0.43820819195902133
