V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
375745.2523149738,-420078.6411937334,-49734.050155871606,506756.87573930545,-344617.2201215734,234679.94322713296,137691.23480587025,719063.4286639025,-58063.600342172496,7766.70848609548,319406.16877490515,-401820.06088934507,-28833.367584564432,-178725.76373902478,440749.497903254,-269145.72783550055,40550.756539035014,204519.29444769525,64374.12963517422,326871.90328091796,319141.6534861217,131568.21248768017,-31482.027385147725,38808.650299217254,-258267.74971785647,263229.45505385875,-152480.36441351427,182225.92868211123,109581.00469676693,154495.8173214011,439400.77347823605,172168.5115748952,10287.287917867572,-281555.6307436269,250510.1987654869,268098.2638434486,164559.89658143392,-270833.7550816905,-272405.39811205474,-567013.0949341601,569464.6537443956,160999.9672920489,-172109.58848531495,265957.9701390033,97992.6002664825,-99346.72294832626,-90703.87705687767,-399080.11094600573,-74821.09457051332,250880.87875653774,179753.65743300173,-77290.4054640118,-253827.93349263273,-136701.33889105453,-156647.6495787261,107432.08114914938
-420078.6411937334,469643.46244828234,55601.611512998636,-566548.1327097645,385278.40725089284,-262368.537902774,-153935.41012934124,-803904.7015799755,64914.484616700545,-8683.103953562944,-357091.9611406814,449230.6709430402,32234.66391858848,199813.03489562988,-492753.52852010133,300903.00710127613,-45336.140797367785,-228650.1138728644,-71970.07448818878,-365439.30655714276,-356796.6014071806,-147091.54175548835,35197.230046042256,-43387.72185890958,288740.0413440413,-294287.2964374137,170471.42116768291,-203725.61639306415,-122510.73479055979,-172725.45400920828,-491245.34966138785,-192483.00721440912,-11501.908684230746,314776.4021010219,-280067.4322501799,-299730.6451536939,-183976.38963884296,302788.47374387627,304545.29207357706,633914.3106693237,-636654.2351765289,-179996.45320340883,192417.0596122073,-297337.9725529558,-109555.22542101302,111068.64932595706,101406.56021522133,446168.19703482534,83649.28031412598,-280481.046125649,-200962.05677545647,86410.65118520129,283776.6150768145,152831.35105152728,175129.88324595787,-120109.05984378488
-49734.050155871606,55601.611512998636,6583.181010209351,-67074.83176591335,45613.527913135404,-31063.067518822023,-18226.207475171705,-95175.65922995716,7685.303132325368,-1027.9967242121663,-42277.14062540721,53184.829366065926,3816.9160860314646,23656.484248608187,-58337.41125115021,35623.45129915259,-5366.701412458874,-27070.38201336316,-8520.212289464991,-43264.77675265117,-42241.864835057204,-17414.60345594415,4166.485909818956,-5136.667426759775,34184.72690826546,-34841.3712640886,20182.306582701378,-24120.175342208233,-14503.900491503013,-20448.51109139992,-58159.12609409406,-22787.908478162713,-1361.0255602251784,37266.563484298495,-33157.75700149932,-35485.75360846307,-21781.02493159609,35848.12760273317,36056.340310400534,75050.08201298893,-75375.21391049783,-21309.813001899824,22780.16175740953,-35202.3540914506,-12969.912561820933,13149.484768906963,12005.141291061716,52821.61826826912,9903.255041931636,-33207.39864589151,-23792.647268218207,10229.582773930979,33596.89881838571,18093.28024126134,20734.264687922943,-14218.89261049294
506756.87573930545,-566548.1327097645,-67074.83176591335,683448.5184508037,-464775.458186746,316506.0236022585,185700.00977918203,969780.3495389946,-78308.73204677756,10474.739175615028,430773.9300790841,-541923.3213757208,-38886.649231918615,-241042.3001214084,594426.3607614948,-362989.3218075232,54689.75930163468,275829.32609933184,86819.62145828636,440842.8531223237,430417.2322295677,177442.27039675644,-42459.00081813896,52340.13143525099,-348318.3061847625,355010.0344624441,-205645.9329918656,245762.8008494724,147788.83168396036,208364.22122178972,592607.3363902674,232198.839023516,13874.28023872723,-379726.1067450917,337855.951647662,361576.4652058335,221937.28150262765,-365265.6891346663,-367385.28747577604,-764714.4173067547,768020.6462941059,217136.10853419753,-232119.36216369868,358689.932659951,132159.9077667305,-133986.11414537055,-122329.82102999832,-538228.1239196823,-100909.09710234174,338355.76953507855,242428.5737203617,-104239.4808555194,-342330.4841176159,-184365.30384680067,-211266.16882733538,144890.7453406657
-344617.2201215734,385278.40725089284,45613.527913135404,-464775.458186746,316068.3863923642,-215237.57787361727,-126282.96745264619,-659494.1522393242,53253.47947913232,-7123.302963986754,-292945.2359349875,368532.4968282634,26444.12955115787,163919.33314693658,-404237.0717510716,246849.89736604292,-37192.13822185376,-187576.22748354467,-59041.64091875897,-299793.1084043457,-292702.9416760505,-120668.54133922244,28874.540944196713,-35593.70999656108,236871.81136522695,-241422.57957646291,139848.55176913328,-167129.06026378114,-100503.35619218365,-141697.69348657088,-402999.80864082364,-157906.06420454502,-9435.765080951856,258231.11085188587,-229757.12311533507,-245888.10738258535,-150927.53903172383,248396.63005929196,249837.85358116205,520040.22693716997,-522287.9436093116,-147662.54491841065,157851.96150802742,-243925.24871888635,-89875.13142570846,91116.67911809734,83190.26376433048,366020.172116889,68622.82763024163,-230096.42131960113,-164861.9447631869,70888.16979795505,232800.00189158935,125377.29444590941,143670.1720568088,-98533.1254921278
234679.94322713296,-262368.537902774,-31063.067518822023,316506.0236022585,-215237.57787361727,146575.51674920847,86000.26610048211,449106.2166731093,-36264.79360625656,4850.8450489730185,199492.47023426066,-250964.64141662163,-18009.38920904761,-111627.35703780981,275278.5944319191,-168099.17064071275,25325.74174167302,127736.9887405976,40205.54363259019,204154.41768236083,199326.79827367899,82173.97523037995,-19661.89811503333,24238.640522388712,-161307.01294846242,164405.79290360617,-95234.67711895943,113814.17248911642,68440.58949602391,96492.48532002396,274436.62799241894,107530.74060395882,6424.080374299218,-175850.96638156901,156461.5626041086,167446.6119732769,102778.96546990162,-169155.65141798047,-170137.58552534902,-354139.7919127205,355672.0904024966,100555.50584901217,-107494.03072092879,166109.655344053,61202.56199393441,-62048.90329760734,-56650.18092767544,-249252.38464396555,-46730.8999668737,156694.09240310514,112269.54305619957,-48272.262980393774,-158533.73168253474,-85378.6685051123,-97838.09778172302,67097.4257982949
137691.23480587025,-153935.41012934124,-18226.207475171705,185700.00977918203,-126282.96745264619,86000.26610048211,50461.4692756607,263498.26714630355,-21277.0993417329,2846.045667974348,117046.60171610746,-147244.3750826412,-10567.843060278106,-65494.32746099463,161509.37754477313,-98624.33074117171,14857.320511960292,74945.7084351748,23588.20596459542,119780.37664818115,116948.66407421038,48213.30857724083,-11534.600165209564,14221.03109380944,-94642.2795612898,96460.14056175892,-55875.56702178433,66778.5004032524,40154.410352157465,56611.9934849282,161016.0340872417,63088.96103111921,3767.436668397647,-103173.90643134422,91798.88720924064,98244.07958357171,60301.560408578196,-99247.63984327413,-99824.28582133964,-207779.55546573945,208680.3546208071,58996.96806657827,-63067.568772763516,97459.36426742794,35907.351967412345,-36404.85799374631,-33236.30659684738,-146238.23350680384,-27417.512507314314,91936.91152934635,65871.4199951571,-28320.44332517026,-93014.67459085201,-50091.48260943236,-57404.08290549242,39364.76386822106
719063.4286639025,-803904.7015799755,-95175.65922995716,969780.3495389946,-659494.1522393242,449106.2166731093,263498.26714630355,1376071.5799807885,-111116.34128477606,14863.157927849023,611247.1530092198,-768963.3358632348,-55177.85163739642,-342027.2097625657,843462.7365254898,-515065.0521569817,77602.65095379938,391388.4476859278,123193.1806044903,625534.9144399491,610741.2366812113,251781.89899998624,-60247.688205891565,74268.18121896064,-494246.67702444334,503741.99199874187,-291801.7387545792,348725.03284920397,209705.4852294133,295659.32795392786,840881.4342408323,329479.31065311347,19687.440890453025,-538813.3008288065,479401.2469807792,513059.4875779302,314918.4904108654,-518294.0657805298,-521301.5157937499,-1085092.992773236,1089783.8362952445,308105.8720367316,-329366.4930934409,508963.7279850386,187528.9121687124,-190119.92738326357,-173580.5191792812,-763720.4876887876,-143185.23685083195,480109.98175315233,343994.17301434185,-147911.31809731026,-485750.38916857715,-261605.97334455597,-299776.27048693097,205593.7204876935
-58063.600342172496,64914.484616700545,7685.303132325368,-78308.73204677756,53253.47947913232,-36264.79360625656,-21277.0993417329,-111116.34128477606,8972.538121511208,-1200.1837720379829,-49357.53443910692,62093.01802195599,4455.510261340386,27618.318321365263,-68108.76492613998,41591.037941522016,-6266.384051436012,-31604.198868760246,-9947.75151314517,-50511.3096278597,-49316.703277771594,-20331.112778142124,4864.9793379594985,-5997.081683179009,39909.879921947555,-40676.62726745927,23562.686967563393,-28159.127182850494,-16933.52401878332,-23874.23811067203,-67900.31358995341,-26605.146379278944,-1589.791966217463,43508.63429225282,-38711.14527570251,-41429.00497982276,-25429.358324374058,41851.6640449668,42094.499817997246,87620.13339665845,-87998.85269608547,-24879.246340257705,26596.032693662895,-41098.28789360669,-15142.80406322585,15351.997575359019,14016.490104463935,61669.70464986322,11562.067669229453,-38768.31791076568,-27777.143339972554,11943.742912088348,39223.82976014557,21124.458038106895,24206.597028398075,-16601.557371081457
7766.70848609548,-8683.103953562944,-1027.9967242121663,10474.739175615028,-7123.302963986754,4850.8450489730185,2846.045667974348,14863.157927849023,-1200.1837720379829,160.5398190977606,6602.1637523022655,-8305.697494081296,-595.9691329333374,-3694.2810425495663,9110.383948323544,-5563.319906273968,838.2166619372387,4227.44376596877,1330.6399851806948,6756.502019033317,6596.707375725801,2719.5296266542446,-650.759086051435,802.1843630604883,-5338.425983618642,5440.988342253366,-3151.7985191233024,3766.612964860296,2265.0699257997735,3193.479990378475,9082.494779408478,3558.7681012750777,212.6648677877751,-5819.8137409539095,5178.082711674856,5541.630765115384,3401.488715334662,-5598.161717734403,-5630.639335760637,-11720.257204293395,11770.90623623384,3327.905466241787,-3557.5478543581557,5497.394640825456,2025.5408286508527,-2053.5166235384895,-1874.8827286035316,-8249.086105369484,-1546.5686390075853,5185.722477173389,3715.5223612195855,-1597.6296502515177,-5246.660996542837,-2825.663391944482,-3237.92018102556,2220.673988494724
