stats,fit,fit_clim,fore,fore_clim,change,type,roi
corr,0.966645096926961,0.9696330748230518,0.9533199513954604,0.9569757359173136,-0.013325145531500548,DB,alligatorriver_DB_1000
R2,0.9344027434129337,0.940188299790806,0.908818929728643,0.9158025591344837,-0.025583813684290746,DB,alligatorriver_DB_1000
RMSE,0.010576582690857733,0.010097693543674579,0.01276443050939519,0.012783837308574662,0.0021878478185374563,DB,alligatorriver_DB_1000
nRMSE,0.08996178953246202,0.08588847720394305,0.10857108052306279,0.1087361499442844,0.01860929099060077,DB,alligatorriver_DB_1000
corr,0.9653780935768952,0.9729181353256541,0.9203413151679737,0.9287500237977276,-0.04503677840892151,AG,arsmnswanlake1_AG_1000
R2,0.9319548635581606,0.9465696980455478,0.8470281364051154,0.8625766067042797,-0.08492672715304517,AG,arsmnswanlake1_AG_1000
RMSE,0.007245182570019068,0.006424640306385994,0.01103457430194325,0.010862214621198102,0.0037893917319241823,AG,arsmnswanlake1_AG_1000
nRMSE,0.08285700887467203,0.07347316285521828,0.12619306857051824,0.12422193706912132,0.04333605969584621,AG,arsmnswanlake1_AG_1000
corr,0.9712290985243592,0.9695408670775033,0.980307074279985,0.9575648101966002,0.009077975755625745,DB,bullshoals_DB_1000
R2,0.9432859618204394,0.9400094929333969,0.961001959883384,0.9169303657268509,0.01771599806294455,DB,bullshoals_DB_1000
RMSE,0.008170237799560368,0.008326661181207017,0.007803466242962599,0.010055477824932895,-3.6677155659776885e-4,DB,bullshoals_DB_1000
nRMSE,0.08156697681409235,0.0831286183056828,0.07790533956594659,0.10038813394697704,-0.003661637248145763,DB,bullshoals_DB_1000
corr,0.9689706793449792,0.9667738591577428,0.9718029740102299,0.9478889647184886,0.002832294665250701,GR,bullshoals_GR_1000
R2,0.9389041774302705,0.934651694750755,0.9444010202951275,0.898493489435088,0.005496842864856966,GR,bullshoals_GR_1000
RMSE,0.0075570419731508295,0.007759249574212576,0.01060430780940228,0.01215491978451147,0.0030472658362514504,GR,bullshoals_GR_1000
nRMSE,0.0765944880365571,0.07864396556168554,0.10748008685527792,0.1231963328148493,0.030885598818720814,GR,bullshoals_GR_1000
corr,0.814796538799054,0.8560838762220483,0.8045649934404601,0.792795529825177,-0.010231545358593941,SH,burnssagebrush_SH_1000
R2,0.663893399638918,0.7328796031273674,0.6473248286698473,0.6285247521107834,-0.016568570969070717,SH,burnssagebrush_SH_1000
RMSE,0.00382241139672258,0.003345434813397602,0.003592297729726074,0.003834542548953488,-2.3011366699650588e-4,SH,burnssagebrush_SH_1000
nRMSE,0.159918476156955,0.13996317557542073,0.15029119558728038,0.16042600796801496,-0.009627280569674629,SH,burnssagebrush_SH_1000
corr,0.9221088873090028,0.9326332963414065,0.909642790720438,0.8998979155719679,-0.01246609658856479,GR,butte_GR_1000
R2,0.8502848000542472,0.8698048654446376,0.8274500067096664,0.8098162584507725,-0.022834793344580828,GR,butte_GR_1000
RMSE,0.008531900143392142,0.007947342551475728,0.011817591159299928,0.012591036843003046,0.003285691015907786,GR,butte_GR_1000
